,precision,recall,f1-score,support
0,0.8125,0.65,0.7222222222222222,20.0
1,0.8636363636363636,0.9047619047619048,0.8837209302325582,84.0
2,0.8076923076923077,0.8076923076923077,0.8076923076923077,26.0
accuracy,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
macro avg,0.8279428904428906,0.7874847374847375,0.8045451533823625,130.0
weighted avg,0.8445804195804196,0.8461538461538461,0.8436692506459949,130.0
