path,sha256,classification,expected_checkpoint_id,fold,seed,parameter_count,architecture_hash,candidate,load_error
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer0_seed1201.pt,e605f51f4ea9bc10709985f00203bbd4a31ee137bad36f9ef944bdbf2471e243,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_0_seed_1201,0,1201,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer0_seed2026.pt,3fa3e66bd16067243d97afc74a5bc92456e69a56dc299c9cef380e38feed934a,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_0_seed_2026,0,2026,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer0_seed3407.pt,a2464db1f1ce3d1c9bb7b9d8dab13532544faa05a679126d1467aa1abd678fe4,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_0_seed_3407,0,3407,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer0_seed42.pt,623cf15c2d08b275054632e379c67b85619f5e84068dcd3bcb1a679d80549c53,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_0_seed_42,0,42,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer0_seed7319.pt,f9592dbc744d13eaaedd70cbfe65efd456a862d63de3af107fe1fbb296475372,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_0_seed_7319,0,7319,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer1_seed1201.pt,124bf20f3ffdb18cc97d69b1f76b7693b1629a1b01dbc57c61c87341c666162a,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_1_seed_1201,1,1201,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer1_seed2026.pt,f32d1d2dc60976f5513d16bccdd86fc54400ba88c803795b57fa4399612c2b0f,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_1_seed_2026,1,2026,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer1_seed3407.pt,11d6199d754e115e175b1e5a917c1121e1a638b7b270c738b3efb060cf95b34f,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_1_seed_3407,1,3407,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer1_seed42.pt,358dfdfba0932d4149aa986f2a822a1c67212b800c3f9b0a4fa9037ad1fac372,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_1_seed_42,1,42,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer1_seed7319.pt,fbd654fda245e238be33a6875e3f84f9e61f2a8da52feb2701011031c2fc69d6,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_1_seed_7319,1,7319,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer2_seed1201.pt,c49d3375a3c5d0ffb4b9a2d4a0c37606d006699b7c3742b4c1b9d738fe7f2368,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_2_seed_1201,2,1201,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer2_seed2026.pt,ee5644d2c7e0eb42077c1763f4bb1d17c06d4c4422e87d5b191c600377bdf6ef,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_2_seed_2026,2,2026,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer2_seed3407.pt,178a288ebc985036862b12f93c42087b900aa7c9e66716acd2162792c68eeb3e,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_2_seed_3407,2,3407,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer2_seed42.pt,48a70af3aa207e56f6f999c6ecf32ff1fc5f67b9b4ae545a36a2528d1dff08e0,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_2_seed_42,2,42,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_shared/outer2_seed7319.pt,321e9d31f70275fa482d890cc4659cf3a1896f7d8b770dbce38ee3bbfed795bd,EXACT_AUTHORITY_MATCH,recommend_hybrid_intervention_outer_2_seed_7319,2,7319,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_final/outer0_seed1201.pt,f5fc11b98010ac088651468d654d3eb32a1ef1f8ca6f0bb1738a3e4c99fdee70,EXACT_AUTHORITY_MATCH,recommend_hybrid_evaluation_outer_0_seed_1201,0,1201,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_final/outer0_seed2026.pt,ca0f0f1e645f46c37a769faf806df0b7a20d08f2113e3e275b6dda4a93f1ae17,EXACT_AUTHORITY_MATCH,recommend_hybrid_evaluation_outer_0_seed_2026,0,2026,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_final/outer0_seed3407.pt,a8fe8dcb5e58ac596107a345487a7fc5295180801e18d2de7c4313c5c6ecaba1,EXACT_AUTHORITY_MATCH,recommend_hybrid_evaluation_outer_0_seed_3407,0,3407,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_final/outer0_seed42.pt,d1dce6339748d181689657ae0b2683fee6d4fd863334ff16e7abe351021e8af0,EXACT_AUTHORITY_MATCH,recommend_hybrid_evaluation_outer_0_seed_42,0,42,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_final/outer0_seed7319.pt,9a8303d8566f8c54815d471d3d750a5ee05afe3cfec9d5f33d368971721424f5,EXACT_AUTHORITY_MATCH,recommend_hybrid_evaluation_outer_0_seed_7319,0,7319,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
artifacts/canonical_v3/checkpoints/oulad_h1_final/outer1_seed1201.pt,6f65586c3053db1f7d601ca52b154a55e16c681ff96405f0f2f74a739741ece7,EXACT_AUTHORITY_MATCH,recommend_hybrid_evaluation_outer_1_seed_1201,1,1201,160492,df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,H1_TABULAR_RESIDUAL_EXPERT,
