schema,table,row_count
catalog,dataset,3
catalog,dataset_version,3
catalog,record,16422
ml,artifact,81
ml,metric,891
ml,model,27
ml,run,27
recommendation,action,27355
recommendation,plan,15378
recommendation,policy,1
recommendation,review,0
recommendation,risk_profile,15378
system,schema_migration,10
