method,ndcg_at_1,ndcg_at_3,ndcg_all,precision_at_1,precision_at_3,recall_at_3,map_at_3,mrr,top1_relevance,groups,learners,action_diversity,top_action_concentration,repetitions,mean,std,ci95_low,ci95_high,p95,p99
model_score,0.41679444837618934,0.5432097879228124,0.5498628555203814,0.5734253361641897,0.4895317291814107,0.6975180860265786,0.6298319506697073,0.6401273885350318,0.04259249616799151,33912.0,13235.0,5.0,0.5760202878037273,,,,,,,
random_debug_score,0.3034569867107022,0.48999032557208233,0.5040446909908175,0.47935833923095067,0.4827986160257922,0.6858457183297949,0.5741183062042934,0.587609105921208,-0.0035583693228095833,33912.0,13235.0,5.0,0.4168730832743572,,,,,,,
popular_score,0.3047937799795549,0.48762194809797527,0.5022702079233442,0.4764685067232838,0.48246441770857906,0.6854599158606588,0.570003079866845,0.5848372257607926,0.004808624901509546,33912.0,13235.0,5.0,0.8059094125973106,,,,,,,
workload_score,0.3023855862231658,0.4840048704992702,0.5012304582735492,0.48089171974522293,0.48024298183533853,0.6798620940473382,0.5700587795863803,0.5847979083117086,-0.0018817927308329072,33912.0,13235.0,3.0,0.9318530313753244,,,,,,,
policy_score,0.31862369269481794,0.4960253298319962,0.5108340704258069,0.4949870252418023,0.4846760242195486,0.6905613548792955,0.5871766139812848,0.5983673429267907,-0.002419645259190495,33912.0,13235.0,3.0,0.9726350554376032,,,,,,,
counterfactual_score,0.29714817435978086,0.4859951424897486,0.5014483023564709,0.48121608870016513,0.4834571832979476,0.6889001926555004,0.57690329218107,0.5903416686325391,0.017066302992334456,33912.0,13235.0,4.0,0.457655107336636,,,,,,,
random_null_distribution,,,,,,,,,,,,,,1000.0,0.4919436133801937,0.0008825647793234026,0.49030396714806557,0.4936989553272724,0.49342099875211715,0.49398867309093475
