outer_fold,inner_fold,strategy,macro_f1,before,after
2,1,smote,0.9154922248981655,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 103, ""1"": 103, ""2"": 103}"
2,2,smote,0.8583976410063366,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
2,0,adasyn,0.6270482121349429,"{""0"": 69, ""1"": 103, ""2"": 38}","{""0"": 104, ""1"": 103, ""2"": 108}"
2,1,adasyn,0.908525641025641,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 103, ""1"": 103, ""2"": 106}"
2,2,adasyn,0.8896647407285706,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 103, ""1"": 102, ""2"": 101}"
3,0,none,0.8778510378510379,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 69, ""1"": 102, ""2"": 39}"
3,1,none,0.8477591237384607,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 69, ""1"": 103, ""2"": 39}"
3,2,none,0.8942152407892229,"{""0"": 70, ""1"": 103, ""2"": 38}","{""0"": 70, ""1"": 103, ""2"": 38}"
3,0,class_weight,0.850897662008773,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 69, ""1"": 102, ""2"": 39}"
3,1,class_weight,0.8352740091870526,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 69, ""1"": 103, ""2"": 39}"
3,2,class_weight,0.8485810485810487,"{""0"": 70, ""1"": 103, ""2"": 38}","{""0"": 70, ""1"": 103, ""2"": 38}"
3,0,random_oversampling,0.850897662008773,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
3,1,random_oversampling,0.8425601638504864,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 103, ""1"": 103, ""2"": 103}"
3,2,random_oversampling,0.9126461988304094,"{""0"": 70, ""1"": 103, ""2"": 38}","{""0"": 103, ""1"": 103, ""2"": 103}"
3,0,smote,0.8586956521739131,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
3,1,smote,0.8433855033855034,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 103, ""1"": 103, ""2"": 103}"
3,2,smote,0.9201896397282122,"{""0"": 70, ""1"": 103, ""2"": 38}","{""0"": 103, ""1"": 103, ""2"": 103}"
3,0,adasyn,0.850897662008773,"{""0"": 69, ""1"": 102, ""2"": 39}","{""0"": 106, ""1"": 102, ""2"": 100}"
3,1,adasyn,0.8345319821292362,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 104, ""1"": 103, ""2"": 110}"
3,2,adasyn,0.8931704562669568,"{""0"": 70, ""1"": 103, ""2"": 38}","{""0"": 107, ""1"": 103, ""2"": 102}"
4,0,none,0.506641366223909,"{""0"": 69, ""1"": 103, ""2"": 38}","{""0"": 69, ""1"": 103, ""2"": 38}"
4,1,none,0.8458605664488018,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 69, ""1"": 103, ""2"": 39}"
4,2,none,0.5238322971465008,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 70, ""1"": 102, ""2"": 39}"
4,0,class_weight,0.8432012432012432,"{""0"": 69, ""1"": 103, ""2"": 38}","{""0"": 69, ""1"": 103, ""2"": 38}"
4,1,class_weight,0.8921566464423608,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 69, ""1"": 103, ""2"": 39}"
4,2,class_weight,0.8679618484496534,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 70, ""1"": 102, ""2"": 39}"
4,0,random_oversampling,0.8547404407281595,"{""0"": 69, ""1"": 103, ""2"": 38}","{""0"": 103, ""1"": 103, ""2"": 103}"
4,1,random_oversampling,0.9154922248981655,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 103, ""1"": 103, ""2"": 103}"
4,2,random_oversampling,0.8754672437536888,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
4,0,smote,0.8626326061121469,"{""0"": 69, ""1"": 103, ""2"": 38}","{""0"": 103, ""1"": 103, ""2"": 103}"
4,1,smote,0.9154922248981655,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 103, ""1"": 103, ""2"": 103}"
4,2,smote,0.8758029928125368,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 102, ""1"": 102, ""2"": 102}"
4,0,adasyn,0.8511305853078005,"{""0"": 69, ""1"": 103, ""2"": 38}","{""0"": 107, ""1"": 103, ""2"": 108}"
4,1,adasyn,0.8767428142428142,"{""0"": 69, ""1"": 103, ""2"": 39}","{""0"": 107, ""1"": 103, ""2"": 108}"
4,2,adasyn,0.8754672437536888,"{""0"": 70, ""1"": 102, ""2"": 39}","{""0"": 106, ""1"": 102, ""2"": 97}"
