outer_fold,seed,epoch,train_loss,classification_loss,regression_loss,validation_macro_f1,validation_nll,gradient_norm,learning_rate
0,42,1,1.0950537621974945,1.0950537621974945,0.8914622589945793,0.6493903841729929,1.067416801318768,0.29861387982964516,0.0007990675076762157
0,42,2,1.0603014528751373,1.0603014528751373,0.8779503703117371,0.6724364386903087,1.0251916259332796,0.3291655480861664,0.0007962743784145323
0,42,3,1.0163131579756737,1.0163131579756737,0.7752582244575024,0.8073593073593073,0.9736333037070036,0.43065232038497925,0.0007916336350729293
0,42,4,0.9509256109595299,0.9509256109595299,0.7214624844491482,0.7737128022691216,0.9173722744283066,0.5294605083763599,0.0007851669149391198
0,42,5,0.872407890856266,0.872407890856266,0.7037912011146545,0.760498582357032,0.8548446114865323,0.5806598849594593,0.0007769043688475283
0,42,6,0.7855785340070724,0.7855785340070724,0.6785381510853767,0.7163586327673016,0.7964347644003527,0.6466995254158974,0.0007668845206021813
0,42,7,0.706962525844574,0.706962525844574,0.623906834051013,0.7712925643960126,0.7123352806329409,0.7689922824501991,0.00075515408736095
0,42,8,0.618839830160141,0.618839830160141,0.6373653262853622,0.8053191887142178,0.6361507209499717,0.9421356171369553,0.0007417677618185955
0,42,9,0.5415052957832813,0.5415052957832813,0.5928124263882637,0.8361870066788099,0.5588558339280774,0.8283443674445152,0.0007267879572041768
0,42,10,0.4894915707409382,0.4894915707409382,0.5660322122275829,0.8039880734656779,0.5338857690465676,1.1076357141137123,0.0007102845162817679
0,42,11,0.44421184808015823,0.44421184808015823,0.47803737316280603,0.8181861238891948,0.4919906210420858,inf,0.0006923343857112497
0,42,12,0.4196985624730587,0.4196985624730587,0.5091602504253387,0.8385097604972227,0.4257830150839135,2.1110951751470566,0.0006730212572874617
0,42,13,0.395117674022913,0.395117674022913,0.4616592489182949,0.8419061655612872,0.4043335644846243,1.873513050377369,0.0006524351777304212
0,42,14,0.36504947766661644,0.36504947766661644,0.4675016365945339,0.8385097604972227,0.41035145840229764,1.5480103194713593,0.0006306721288459469
0,42,15,0.35118306428194046,0.35118306428194046,0.45903370529413223,0.8122935141714485,0.4131761076651059,1.318939097225666,0.0006078335800141735
0,42,16,0.31677638925611973,0.31677638925611973,0.43957923725247383,0.8385097604972227,0.38569386298581293,1.2887757197022438,0.000584026015092461
0,42,17,0.284642843529582,0.284642843529582,0.46198151260614395,0.8385097604972227,0.38576903168130927,1.3550735414028168,0.0005593604359384967
0,42,18,0.2997577525675297,0.2997577525675297,0.40855326130986214,0.8385097604972227,0.396997993491766,1.580766685307026,0.0005339518448683947
0,42,19,0.30389986373484135,0.30389986373484135,0.4026169776916504,0.8385097604972227,0.37307303305508355,2.4711909890174866,0.0005079187084628099
0,42,20,0.2734338790178299,0.2734338790178299,0.4016213156282902,0.8385097604972227,0.40209202497670116,1.5157470032572746,0.00048138240522105363
0,42,21,0.28180309385061264,0.28180309385061264,0.40344593673944473,0.8385097604972227,0.39141079277045016,inf,0.00045446665963849877
0,42,22,0.290525883436203,0.290525883436203,0.36866798251867294,0.8385097604972227,0.3677172132775872,2.1402027904987335,0.00042729696534586864
0,42,23,0.2841350883245468,0.2841350883245468,0.38474462181329727,0.8385097604972227,0.3783435654594715,2.2771635726094246,0.00040000000000000013
0,42,24,0.28591993264853954,0.28591993264853954,0.34287282824516296,0.8385097604972227,0.36919814380067684,2.6473809108138084,0.0003727030346541318
0,42,25,0.25659919157624245,0.25659919157624245,0.3859189320355654,0.8385097604972227,0.3655164770749561,1.8187453374266624,0.00034553334036150143
0,42,26,0.2772640995681286,0.2772640995681286,0.3871440142393112,0.8486868831696418,0.3674640752680086,2.1557731851935387,0.00031861759477894657
0,42,27,0.27591534703969955,0.27591534703969955,0.4033127911388874,0.8486868831696418,0.37681986328442185,inf,0.0002920812915371904
0,42,28,0.28167616575956345,0.28167616575956345,0.3824807945638895,0.8385097604972227,0.37610564611974584,2.532910630106926,0.0002660481551316056
0,42,29,0.24800651986151934,0.24800651986151934,0.36152276303619146,0.8385097604972227,0.37656384112640034,2.0749740675091743,0.0002406395640615035
0,42,30,0.253991449251771,0.253991449251771,0.4476070124655962,0.8550984883188272,0.38942324164292896,3.545022502541542,0.00021597398490753918
0,42,31,0.2400150503963232,0.2400150503963232,0.3978092484176159,0.8385097604972227,0.3845078686223478,2.4904265701770782,0.0001921664199858267
0,42,32,0.2384944912046194,0.2384944912046194,0.3840443789958954,0.8385097604972227,0.3758766410701662,2.5508273541927338,0.0001693278711540532
0,42,33,0.2322967555373907,0.2322967555373907,0.3599354326725006,0.8486868831696418,0.36930292554418476,2.9862607046961784,0.00014756482226957888
0,42,34,0.21569599770009518,0.21569599770009518,0.36720873415470123,0.8486868831696418,0.37181116403707754,1.533301204442978,0.00012697874271253834
0,42,35,0.2645497340708971,0.2645497340708971,0.33856317587196827,0.8565599497802888,0.3751158868928638,2.7453213185071945,0.00010766561428875038
0,42,36,0.2174025448039174,0.2174025448039174,0.3386399820446968,0.8667576409664269,0.3718449552228622,2.774884432554245,8.971548371823217e-05
0,42,37,0.22211582027375698,0.22211582027375698,0.3412265870720148,0.8667576409664269,0.3678857244781999,2.1585565134882927,7.321204279582324e-05
