model,role,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,high_class_f1,macro_pr_auc,rmse_g3,r2_g3,validation_scope
R0,final overall model,0.8924107142857143,0.9077587824053344,0.8934841502583438,0.8988360425446519,0.8925291146842398,0.9245511010728402,0.846130111614201,2.008550147343428,0.8049569937846375,nested development OOF; no external confirmation
M1,practical-tie ML comparator,0.8923710317460318,0.9079077373929988,0.8924262905553226,0.8999548661053872,0.8919644884985343,0.9332467532467532,0.9526404161036516,2.4609356569455967,0.7065014297546226,nested development OOF; no external confirmation
M2,practical-tie ML comparator,0.8828869047619048,0.9034568074970551,0.8797770330028394,0.8901019612638916,0.882946200294245,0.9245511010728402,0.9601935232299096,2.360471528259109,0.7304786695431293,nested development OOF; no external confirmation
N0,final thesis hybrid model,0.8461904761904762,0.8606050267517622,0.8534937392356748,0.8503646133406478,0.8450281224654037,0.8693582037142515,0.9509656023226988,2.463168205107791,0.7067299485396937,nested development OOF; no external confirmation
N1,ordinal research comparator,0.8315178571428571,0.8434947319227039,0.8621265186426477,0.8383156147609316,0.8288829919922877,0.8701417174296994,0.9457245936993752,2.432923925714869,0.7127774237019274,nested development OOF; no external confirmation
