model,stage,prediction_stage,observation_percentage,protocol_id,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,nll,brier,ece,risk_precision,risk_recall,risk_f1
H1 Tabular Residual Hybrid,E1,E1_EARLY_20PCT,20,h1_final_outer_v1,0.7194262585591059,0.7125682201030493,0.715645170197003,0.7125682201030493,0.713634963506438,0.7184228504359091,0.7720284595427783,0.7844881105853928,0.550339447069886,0.1866490435942726,0.0538022006273807,0.6928785689831797,0.6541663875734333,0.6729436823393837
H1 Tabular Residual Hybrid,E2,E2_EARLY_35PCT,35,h1_final_outer_v1,0.7606347196798969,0.7479606174115271,0.7563779144156341,0.7479606174115271,0.7506320066458035,0.7586630465331643,0.8160994385097559,0.8308364685867401,0.4843847446925527,0.1603837437651309,0.0313344934314605,0.7360491966519301,0.6706443047642789,0.7012464769333787
H1 Tabular Residual Hybrid,M1,M1_MIDDLE_FROZEN,50,h1_final_outer_v1,0.80626334384366,0.7893989864052583,0.8022252023676643,0.7893989864052583,0.7939529749949714,0.8042237467085528,0.8614981669261308,0.8757708093252691,0.4078442130774767,0.1314677247044063,0.0176059179003302,0.7858564937895239,0.7071350035706702,0.7438176921103631
H1 Tabular Residual Hybrid,L1,L1_LATE_75PCT,75,h1_final_outer_v1,0.8663519707673771,0.8384508137538983,0.8730368549386095,0.8384508137538983,0.8503327120764504,0.863292195232812,0.9060904561571352,0.9194012429226516,0.3131228371262424,0.096264912288328,0.0136177231127155,0.8867002215346586,0.7335275212023228,0.8015496877602367
