model,model_id,macro_f1,accuracy,balanced_accuracy,pr_auc,roc_auc,nll,brier,ece,authority_status,feature_availability_protocol
H0 CNN-BiLSTM,cnn_bilstm,0.8280835945631038,0.840096241383795,0.8203325597306252,0.893354764945997,0.908155801278951,0.3587775601633183,0.113355264386113,0.0086833892280393,LEGACY_ENDPOINT_AUTHORITY_WITH_SCORE_PROXY_CAVEAT,legacy_score_availability_proxy
H1 Tabular Residual Hybrid,h1_tabular_residual,0.7984000886272689,0.8118090779034985,0.7921857359616526,0.8630392629373055,0.8761419406813589,0.4062919196580419,0.1307016724004196,0.0119878029416132,STRICT_NO_UNVERIFIED_SCORE_ENDPOINT_RESULT,strict_no_unverified_score
MLP,mlp,0.8282857900281345,0.8392508778774873,0.8219322369215367,0.8917099151142994,0.9073361577951828,0.3620183902919177,0.2286925344271401,0.0060305352676675,HISTORICAL_COMPARATOR_WITH_SCORE_PROXY_CAVEAT,legacy_score_availability_proxy
