dataset,model,model_family,prediction_stage,stage_label,protocol_id,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,nll,brier,ece
student_mat,CNN-BiLSTM,cnn_bilstm,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.4151898734177215,0.4395972368575108,0.4272467185356424,0.4395972368575108,0.4135582605142271,0.4238995627518076,0.4624081616421924,0.6444952182385374,1.0178269873296248,0.623101832524897,0.1029962004713919
student_mat,Decision Tree,decision_tree,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.4886075949367088,0.4097379551574757,0.4367389060887512,0.4097379551574757,0.4103904876874096,0.4683859366677162,0.4010480152166905,0.5817544702042333,3.0189208967475136,0.6798929004913539,0.1647379341775918
student_mat,HistGradientBoosting,hist_gradient_boosting,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.4734177215189873,0.4324544842524294,0.4482653111757257,0.4324544842524294,0.4378850969885695,0.4685967179697458,0.4512754091680242,0.6308231116959471,1.5610410978497626,0.7527636039088074,0.293387872091602
student_mat,Logistic Regression,logistic_regression,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.3949367088607595,0.4531813458611404,0.4280926583298125,0.4531813458611404,0.397920753696986,0.3927734552405948,0.4408629519076252,0.6308779765790441,1.06580938894453,0.6564080345197031,0.1381091449904408
student_mat,MLP,mlp,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.5037974683544304,0.4191908880693127,0.4835832083958021,0.4191908880693127,0.4218916160092631,0.4758355072576963,0.4557641223535322,0.6404319106266292,1.0175185089299266,0.6113465478574491,0.1191764033282688
student_mat,Random Forest,random_forest,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.4379746835443038,0.443419974241892,0.4282828282828283,0.443419974241892,0.4296116698045338,0.4424766810646234,0.4326244945304294,0.6220716096973858,1.0402685346889309,0.6316238833103949,0.0577082585841944
student_mat,SVM,svm,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.5037974683544304,0.4464535036880927,0.4688750969300015,0.4464535036880927,0.4522705036254504,0.4953264865070784,0.472452609614184,0.6413332625521423,1.0579717211781297,0.6379086450132219,0.1435731923441603
student_mat,XGBoost,xgboost,S0_EARLY_NO_GRADE,S0 — no G1/G2,unified_stage_aware_uci_v1,0.5012658227848101,0.4139324288724974,0.4514774183989642,0.4139324288724974,0.4116042279255048,0.4736633475900703,0.4366469252751142,0.6243831814950574,1.0422551268414797,0.6284323601203903,0.1242596564710194
student_mat,CNN-BiLSTM,cnn_bilstm,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7367088607594937,0.775411617492097,0.732069733630337,0.775411617492097,0.743811236189285,0.7321943698989083,0.8301186365547307,0.8998146655244067,0.5859908762463423,0.3703609852218586,0.0479047620369326
student_mat,Decision Tree,decision_tree,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7291139240506329,0.7321767796510947,0.7322109611095716,0.7321767796510947,0.7310114863445788,0.7289517135552901,0.7524853077993452,0.8624573719402978,2.3706736613534547,0.399223873943837,0.1323398290706544
student_mat,HistGradientBoosting,hist_gradient_boosting,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.6987341772151898,0.6873927965109473,0.7205613609975264,0.6873927965109473,0.7013662551440328,0.6985766526019691,0.76359946007293,0.8595660469884964,0.9533094470695932,0.473494003599488,0.1905616162655161
student_mat,Logistic Regression,logistic_regression,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7139240506329114,0.7543368018967334,0.7069754101347051,0.7543368018967334,0.7224065004705791,0.7104574339129004,0.8332899254484115,0.9003711751741313,0.5676806348376364,0.3673401316422411,0.0723139071559877
student_mat,MLP,mlp,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7291139240506329,0.7273445732349842,0.7351293847723311,0.7273445732349842,0.7305771725709844,0.7290272836257705,0.8044830174511657,0.8903415787371936,0.5804666744971884,0.3618564237018459,0.0652403797427657
student_mat,Random Forest,random_forest,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7012658227848101,0.7213594719587869,0.7063062314293432,0.7213594719587869,0.7117961402917009,0.7001137022240241,0.8078101573317902,0.8853283804046069,0.5786507628699443,0.3619589739077105,0.0453071824204409
student_mat,SVM,svm,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7265822784810126,0.7139419418100926,0.7378361650485438,0.7139419418100926,0.7244611493131897,0.7264354556997258,0.7822883340098382,0.8755502790143547,0.6083187870202922,0.3830202000370732,0.0521067772246565
student_mat,XGBoost,xgboost,S1_MID_G1_ONLY,S1 — G1 only,unified_stage_aware_uci_v1,0.7063291139240506,0.6979152031378059,0.7237531269543465,0.6979152031378059,0.7092246809574642,0.7063589522970952,0.802873255830869,0.8820369587930457,0.5976407611695032,0.382742282629178,0.0988418008310079
student_mat,CNN-BiLSTM,cnn_bilstm,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8405063291139241,0.8735086640908559,0.8359863039781238,0.8735086640908559,0.846139241860266,0.8383160787601404,0.9462193735288648,0.9671950932112452,0.419791382371922,0.2400132843591393,0.1053068300015318
student_mat,Decision Tree,decision_tree,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8531645569620253,0.8632811585294462,0.861273701026608,0.8632811585294462,0.8622592618128332,0.8530565698739297,0.8829894461920739,0.937666477322114,1.691736913519232,0.223184353365549,0.0693821752152805
student_mat,HistGradientBoosting,hist_gradient_boosting,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8455696202531645,0.847926545486477,0.8611512046901937,0.847926545486477,0.8541729476977635,0.8457583130149042,0.9133284026583428,0.9491781801289294,0.5320120300524087,0.253272571567745,0.0925063302840663
student_mat,Logistic Regression,logistic_regression,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8683544303797468,0.8896400450766889,0.8650226033367795,0.8896400450766889,0.875424555205976,0.8678193709943035,0.9570919924998228,0.9728332149001448,0.2913496294271631,0.1749326975897424,0.0367078829439999
student_mat,MLP,mlp,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8455696202531645,0.8564168422901299,0.8531610750728698,0.8564168422901299,0.8546948231773134,0.8453151805257405,0.9425130125840931,0.9643682652161176,0.3247743720196143,0.1982381200510097,0.040480925424524
student_mat,Random Forest,random_forest,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8810126582278481,0.8910044198571597,0.8878839428396237,0.8910044198571597,0.8892912179053084,0.8811114689077199,0.9603786698263408,0.9745990791211944,0.2911812490919843,0.1721303828234572,0.0619817517997888
student_mat,SVM,svm,S2_LATE_G1_G2,S2 — G1 and G2,unified_stage_aware_uci_v1,0.8455696202531645,0.8374341412012645,0.8660940121305974,0.8374341412012645,0.8501283386040068,0.845814168084993,0.926233376307032,0.9549130494548728,0.4424971550610398,0.2506837662029613,0.1138393566697703
