dataset,model_id,model_family,prediction_stage,class_name,precision,recall,f1,support
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S0_EARLY_NO_GRADE,Low,0.4330708661417323,0.4230769230769231,0.4280155642023346,130
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S0_EARLY_NO_GRADE,Medium,0.5188679245283019,0.5729166666666666,0.5445544554455446,192
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S0_EARLY_NO_GRADE,High,0.39285714285714285,0.3013698630136986,0.34108527131782945,73
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S1_MID_G1_ONLY,Low,0.7,0.6461538461538462,0.672,130
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S1_MID_G1_ONLY,Medium,0.6713615023474179,0.7447916666666666,0.7061728395061728,192
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S1_MID_G1_ONLY,High,0.7903225806451613,0.6712328767123288,0.725925925925926,73
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S2_LATE_G1_G2,Low,0.8267716535433071,0.8076923076923077,0.8171206225680934,130
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S2_LATE_G1_G2,Medium,0.8291457286432161,0.859375,0.8439897698209718,192
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S2_LATE_G1_G2,High,0.927536231884058,0.8767123287671232,0.9014084507042254,73
student_mat,logistic_regression_mat,logistic_regression,S0_EARLY_NO_GRADE,Low,0.5206611570247934,0.4846153846153846,0.50199203187251,130
student_mat,logistic_regression_mat,logistic_regression,S0_EARLY_NO_GRADE,Medium,0.5108695652173914,0.24479166666666666,0.33098591549295775,192
student_mat,logistic_regression_mat,logistic_regression,S0_EARLY_NO_GRADE,High,0.25274725274725274,0.6301369863013698,0.3607843137254902,73
student_mat,logistic_regression_mat,logistic_regression,S1_MID_G1_ONLY,Low,0.7062937062937062,0.7769230769230769,0.73992673992674,130
student_mat,logistic_regression_mat,logistic_regression,S1_MID_G1_ONLY,Medium,0.7548387096774194,0.609375,0.6743515850144092,192
student_mat,logistic_regression_mat,logistic_regression,S1_MID_G1_ONLY,High,0.6597938144329897,0.8767123287671232,0.7529411764705882,73
student_mat,logistic_regression_mat,logistic_regression,S2_LATE_G1_G2,Low,0.8285714285714286,0.8923076923076924,0.8592592592592593,130
student_mat,logistic_regression_mat,logistic_regression,S2_LATE_G1_G2,Medium,0.9022988505747126,0.8177083333333334,0.8579234972677595,192
student_mat,logistic_regression_mat,logistic_regression,S2_LATE_G1_G2,High,0.8641975308641975,0.958904109589041,0.9090909090909091,73
student_mat,mlp_mat,mlp,S0_EARLY_NO_GRADE,Low,0.5333333333333333,0.36923076923076925,0.43636363636363634,130
student_mat,mlp_mat,mlp,S0_EARLY_NO_GRADE,Medium,0.5036231884057971,0.7239583333333334,0.594017094017094,192
student_mat,mlp_mat,mlp,S0_EARLY_NO_GRADE,High,0.41379310344827586,0.1643835616438356,0.23529411764705882,73
student_mat,mlp_mat,mlp,S1_MID_G1_ONLY,Low,0.7563025210084033,0.6923076923076923,0.7228915662650602,130
student_mat,mlp_mat,mlp,S1_MID_G1_ONLY,Medium,0.7093596059113301,0.75,0.7291139240506329,192
student_mat,mlp_mat,mlp,S1_MID_G1_ONLY,High,0.7397260273972602,0.7397260273972602,0.7397260273972602,73
student_mat,mlp_mat,mlp,S2_LATE_G1_G2,Low,0.8267716535433071,0.8076923076923077,0.8171206225680934,130
student_mat,mlp_mat,mlp,S2_LATE_G1_G2,Medium,0.8393782383419689,0.84375,0.8415584415584415,192
student_mat,mlp_mat,mlp,S2_LATE_G1_G2,High,0.8933333333333333,0.9178082191780822,0.9054054054054054,73
student_mat,random_forest_mat,random_forest,S0_EARLY_NO_GRADE,Low,0.5,0.46153846153846156,0.48,130
student_mat,random_forest_mat,random_forest,S0_EARLY_NO_GRADE,Medium,0.48484848484848486,0.4166666666666667,0.4481792717086835,192
student_mat,random_forest_mat,random_forest,S0_EARLY_NO_GRADE,High,0.3,0.4520547945205479,0.36065573770491804,73
student_mat,random_forest_mat,random_forest,S1_MID_G1_ONLY,Low,0.6644295302013423,0.7615384615384615,0.7096774193548387,130
student_mat,random_forest_mat,random_forest,S1_MID_G1_ONLY,Medium,0.7176470588235294,0.6354166666666666,0.6740331491712708,192
student_mat,random_forest_mat,random_forest,S1_MID_G1_ONLY,High,0.7368421052631579,0.7671232876712328,0.7516778523489933,73
student_mat,random_forest_mat,random_forest,S2_LATE_G1_G2,Low,0.8444444444444444,0.8769230769230769,0.8603773584905661,130
student_mat,random_forest_mat,random_forest,S2_LATE_G1_G2,Medium,0.8877005347593583,0.8645833333333334,0.8759894459102903,192
student_mat,random_forest_mat,random_forest,S2_LATE_G1_G2,High,0.9315068493150684,0.9315068493150684,0.9315068493150684,73
student_mat,svm_mat,svm,S0_EARLY_NO_GRADE,Low,0.5533980582524272,0.43846153846153846,0.4892703862660944,130
student_mat,svm_mat,svm,S0_EARLY_NO_GRADE,Medium,0.5256410256410257,0.640625,0.5774647887323944,192
student_mat,svm_mat,svm,S0_EARLY_NO_GRADE,High,0.3275862068965517,0.2602739726027397,0.2900763358778626,73
student_mat,svm_mat,svm,S1_MID_G1_ONLY,Low,0.744,0.7153846153846154,0.7294117647058823,130
student_mat,svm_mat,svm,S1_MID_G1_ONLY,Medium,0.7038834951456311,0.7552083333333334,0.7286432160804021,192
student_mat,svm_mat,svm,S1_MID_G1_ONLY,High,0.765625,0.6712328767123288,0.7153284671532847,73
student_mat,svm_mat,svm,S2_LATE_G1_G2,Low,0.8412698412698413,0.8153846153846154,0.828125,130
student_mat,svm_mat,svm,S2_LATE_G1_G2,Medium,0.8195121951219512,0.875,0.8463476070528967,192
student_mat,svm_mat,svm,S2_LATE_G1_G2,High,0.9375,0.821917808219178,0.8759124087591241,73
student_mat,xgboost_mat,xgboost,S0_EARLY_NO_GRADE,Low,0.5346534653465347,0.4153846153846154,0.4675324675324675,130
student_mat,xgboost_mat,xgboost,S0_EARLY_NO_GRADE,Medium,0.5094339622641509,0.703125,0.5908096280087527,192
student_mat,xgboost_mat,xgboost,S0_EARLY_NO_GRADE,High,0.3103448275862069,0.1232876712328767,0.17647058823529413,73
student_mat,xgboost_mat,xgboost,S1_MID_G1_ONLY,Low,0.7073170731707317,0.6692307692307692,0.6877470355731226,130
student_mat,xgboost_mat,xgboost,S1_MID_G1_ONLY,Medium,0.6826923076923077,0.7395833333333334,0.71,192
student_mat,xgboost_mat,xgboost,S1_MID_G1_ONLY,High,0.78125,0.684931506849315,0.7299270072992701,73
student_mat,xgboost_mat,xgboost,S2_LATE_G1_G2,Low,0.860655737704918,0.8076923076923077,0.8333333333333334,130
student_mat,xgboost_mat,xgboost,S2_LATE_G1_G2,Medium,0.8423645320197044,0.890625,0.8658227848101265,192
student_mat,xgboost_mat,xgboost,S2_LATE_G1_G2,High,0.9428571428571428,0.9041095890410958,0.9230769230769231,73
student_por,bilstm_only_por,bilstm_only,S0_EARLY_NO_GRADE,Low,0.44,0.66,0.528,100
student_por,bilstm_only_por,bilstm_only,S0_EARLY_NO_GRADE,Medium,0.7457627118644068,0.42105263157894735,0.5382262996941896,418
student_por,bilstm_only_por,bilstm_only,S0_EARLY_NO_GRADE,High,0.34600760456273766,0.6946564885496184,0.4619289340101523,131
student_por,bilstm_only_por,bilstm_only,S1_MID_G1_ONLY,Low,0.5333333333333333,0.88,0.6641509433962264,100
student_por,bilstm_only_por,bilstm_only,S1_MID_G1_ONLY,Medium,0.9116719242902208,0.6913875598086124,0.7863945578231293,418
student_por,bilstm_only_por,bilstm_only,S1_MID_G1_ONLY,High,0.688622754491018,0.8778625954198473,0.7718120805369127,131
student_por,bilstm_only_por,bilstm_only,S2_LATE_G1_G2,Low,0.5947712418300654,0.91,0.7193675889328063,100
student_por,bilstm_only_por,bilstm_only,S2_LATE_G1_G2,Medium,0.9588235294117647,0.7799043062200957,0.8601583113456465,418
student_por,bilstm_only_por,bilstm_only,S2_LATE_G1_G2,High,0.8076923076923077,0.9618320610687023,0.8780487804878049,131
student_por,cnn_bilstm_por,cnn_bilstm,S0_EARLY_NO_GRADE,Low,0.4513888888888889,0.65,0.5327868852459017,100
student_por,cnn_bilstm_por,cnn_bilstm,S0_EARLY_NO_GRADE,Medium,0.7394957983193278,0.42105263157894735,0.5365853658536586,418
student_por,cnn_bilstm_por,cnn_bilstm,S0_EARLY_NO_GRADE,High,0.3408239700374532,0.6946564885496184,0.457286432160804,131
student_por,cnn_bilstm_por,cnn_bilstm,S1_MID_G1_ONLY,Low,0.5569620253164557,0.88,0.6821705426356589,100
student_por,cnn_bilstm_por,cnn_bilstm,S1_MID_G1_ONLY,Medium,0.9093655589123867,0.7200956937799043,0.8037383177570093,418
student_por,cnn_bilstm_por,cnn_bilstm,S1_MID_G1_ONLY,High,0.70625,0.8625954198473282,0.7766323024054983,131
student_por,cnn_bilstm_por,cnn_bilstm,S2_LATE_G1_G2,Low,0.6474820143884892,0.9,0.7531380753138075,100
