dataset,model_id,model_family,prediction_stage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,medium_to_low_errors,low_to_medium_errors,seed_macro_f1_mean,seed_macro_f1_std,low_recall,low_f1,rank_macro_f1,rank_balanced_accuracy,rank_pr_auc,rank_low_recall,rank_low_f1
student_mat,bilstm_only_mat,bilstm_only,S0_EARLY_NO_GRADE,0.43037974683544306,0.4751386693595598,0.4521858424160687,0.4751386693595598,0.431257914794549,0.43372915480608903,0.44098654315908226,0.6303846024588186,0.6368100498417957,1.0424978002696272,0.08640617310628744,48,29,0.40913949965945384,0.025025213906494783,0.5153846153846153,0.5275590551181102,3,1,6,1,1
student_mat,bilstm_only_mat,bilstm_only,S1_MID_G1_ONLY,0.6658227848101266,0.7345985540334855,0.673597276509898,0.7345985540334855,0.6684619184341329,0.64632681605181,0.7762311580016985,0.8723686256040892,0.43172168268276745,0.691909749354413,0.05278566494058872,65,12,0.6471556684159491,0.01815113468024486,0.9,0.75,10,4,8,1,3
student_mat,bilstm_only_mat,bilstm_only,S2_LATE_G1_G2,0.7518987341772152,0.8147468826835266,0.7550071024930061,0.8147468826835266,0.7547940947940948,0.7412563807500517,0.8810087936018268,0.9343768000153528,0.350336313918019,0.5919157766152138,0.10984900694991911,48,8,0.7406711838814848,0.022446278395117876,0.9384615384615385,0.8133333333333334,10,10,10,2,10
student_mat,cnn_bilstm_mat,cnn_bilstm,S0_EARLY_NO_GRADE,0.4151898734177215,0.4395972368575108,0.4272467185356424,0.4395972368575108,0.4135582605142271,0.4238995627518076,0.4624081616421924,0.6444952182385374,0.623101832524897,1.0178269873296248,0.10299620047139195,47,35,0.41495519500046363,0.03032826359495542,0.49230769230769234,0.5161290322580645,7,6,3,2,2
student_mat,cnn_bilstm_mat,cnn_bilstm,S1_MID_G1_ONLY,0.7367088607594937,0.775411617492097,0.732069733630337,0.775411617492097,0.743811236189285,0.7321943698989083,0.8301186365547307,0.8998146655244067,0.3703609852218586,0.5859908762463423,0.047904762036932634,47,19,0.7228526968004247,0.017190827837044873,0.8538461538461538,0.7708333333333334,2,1,3,2,2
student_mat,cnn_bilstm_mat,cnn_bilstm,S2_LATE_G1_G2,0.8405063291139241,0.8735086640908559,0.8359863039781238,0.8735086640908559,0.846139241860266,0.8383160787601404,0.9462193735288649,0.9671950932112451,0.24001328435913932,0.41979138237192204,0.10530683000153188,35,7,0.842592103953254,0.01577251080884913,0.9461538461538461,0.8541666666666666,9,4,4,1,4
student_mat,cnn_only_mat,cnn_only,S0_EARLY_NO_GRADE,0.4253164556962025,0.45620609413417634,0.4397065672754734,0.45620609413417634,0.4239012732907659,0.43302085977258575,0.46591629230710807,0.645816164560596,0.6262586460296256,1.0257445947737398,0.08501672005063919,46,35,0.41351978794548677,0.012474139338011487,0.47692307692307695,0.5,5,2,2,4,4
student_mat,cnn_only_mat,cnn_only,S1_MID_G1_ONLY,0.7468354430379747,0.7753860057370331,0.7388969806260692,0.7753860057370331,0.7522229502654812,0.7448688523547412,0.8471309612771462,0.9059526781568468,0.35937679001496176,0.5639404820611614,0.06354157568287452,38,24,0.7389405968439452,0.00543106636043612,0.8153846153846154,0.7737226277372263,1,2,1,3,1
student_mat,cnn_only_mat,cnn_only,S2_LATE_G1_G2,0.8481012658227848,0.876233023065215,0.838804753028891,0.876233023065215,0.8517849356878134,0.8467479572153555,0.95138448453016,0.9704587514460528,0.2204740692865613,0.38539872892425087,0.09141534228799854,28,10,0.852321705285021,0.012580095904530068,0.9230769230769231,0.8633093525179856,7,3,3,3,1
student_mat,decision_tree_mat,decision_tree,S0_EARLY_NO_GRADE,0.48860759493670886,0.40973795515747574,0.43673890608875127,0.40973795515747574,0.41039048768740966,0.4683859366677162,0.4010480152166905,0.5817544702042333,0.6798929004913539,3.0189208967475136,0.1647379341775918,43,68,0.40918177641075115,0.0013129924738993256,0.4307692307692308,0.4827586206896552,9,10,10,7,6
student_mat,decision_tree_mat,decision_tree,S1_MID_G1_ONLY,0.7291139240506329,0.7321767796510947,0.7322109611095716,0.7321767796510947,0.7310114863445788,0.7289517135552901,0.7524853077993452,0.8624573719402978,0.39922387394383707,2.3706736613534547,0.13233982907065445,27,41,0.729600099761133,0.0011523923197506837,0.6846153846153846,0.7235772357723578,3,5,10,8,6
