dataset,model_id,outer_fold,seed,runtime_seconds,cache_hit
student_mat,logistic_regression_mat,0,42,0.10187870007939637,False
student_mat,logistic_regression_mat,0,1201,0.09987719997297972,False
student_mat,logistic_regression_mat,0,2026,0.0960703999735415,False
student_mat,logistic_regression_mat,0,3407,0.1073519999627024,False
student_mat,logistic_regression_mat,0,7319,0.10663349996320903,False
student_mat,logistic_regression_mat,1,42,0.07946159993298352,False
student_mat,logistic_regression_mat,1,1201,0.07238510006573051,False
student_mat,logistic_regression_mat,1,2026,0.06709060003049672,False
student_mat,logistic_regression_mat,1,3407,0.06909210002049804,False
student_mat,logistic_regression_mat,1,7319,0.07230770005844533,False
student_mat,logistic_regression_mat,2,42,0.13124030001927167,False
student_mat,logistic_regression_mat,2,1201,0.13055050000548363,False
student_mat,logistic_regression_mat,2,2026,0.1288500000955537,False
student_mat,logistic_regression_mat,2,3407,0.1202773000113666,False
student_mat,logistic_regression_mat,2,7319,0.11011240002699196,False
student_mat,logistic_regression_mat,3,42,0.07047129992861301,False
student_mat,logistic_regression_mat,3,1201,0.07004690007306635,False
student_mat,logistic_regression_mat,3,2026,0.06533459993079305,False
student_mat,logistic_regression_mat,3,3407,0.06510829995386302,False
student_mat,logistic_regression_mat,3,7319,0.07170120009686798,False
student_mat,logistic_regression_mat,4,42,0.10075850004795939,False
student_mat,logistic_regression_mat,4,1201,0.11006950004957616,False
student_mat,logistic_regression_mat,4,2026,0.11084360000677407,False
student_mat,logistic_regression_mat,4,3407,0.10326340002939105,False
student_mat,logistic_regression_mat,4,7319,0.10111629997845739,False
student_mat,decision_tree_mat,0,42,0.03872329997830093,False
student_mat,decision_tree_mat,0,1201,0.038218799978494644,False
student_mat,decision_tree_mat,0,2026,0.03981989994645119,False
student_mat,decision_tree_mat,0,3407,0.039014600100927055,False
student_mat,decision_tree_mat,0,7319,0.039845700026489794,False
student_mat,decision_tree_mat,1,42,0.03812350006774068,False
student_mat,decision_tree_mat,1,1201,0.0390547999413684,False
student_mat,decision_tree_mat,1,2026,0.03861199994571507,False
student_mat,decision_tree_mat,1,3407,0.03960820008069277,False
student_mat,decision_tree_mat,1,7319,0.03837199998088181,False
student_mat,decision_tree_mat,2,42,0.038094399962574244,False
student_mat,decision_tree_mat,2,1201,0.0381054999306798,False
student_mat,decision_tree_mat,2,2026,0.03831740003079176,False
student_mat,decision_tree_mat,2,3407,0.0375554000493139,False
student_mat,decision_tree_mat,2,7319,0.04030130000319332,False
student_mat,decision_tree_mat,3,42,0.036886499961838126,False
student_mat,decision_tree_mat,3,1201,0.04071010008919984,False
student_mat,decision_tree_mat,3,2026,0.038281099987216294,False
student_mat,decision_tree_mat,3,3407,0.03935029997956008,False
student_mat,decision_tree_mat,3,7319,0.04035079991444945,False
student_mat,decision_tree_mat,4,42,0.04092830000445247,False
student_mat,decision_tree_mat,4,1201,0.0429123000940308,False
student_mat,decision_tree_mat,4,2026,0.04542149999178946,False
student_mat,decision_tree_mat,4,3407,0.04290519992355257,False
student_mat,decision_tree_mat,4,7319,0.04334940004628152,False
student_mat,random_forest_mat,0,42,0.8153102999785915,False
student_mat,random_forest_mat,0,1201,0.8586088999873027,False
student_mat,random_forest_mat,0,2026,0.8804448000155389,False
student_mat,random_forest_mat,0,3407,0.8681810999987647,False
student_mat,random_forest_mat,0,7319,0.8509236999088898,False
student_mat,random_forest_mat,1,42,0.6117309998953715,False
student_mat,random_forest_mat,1,1201,0.6303033999865875,False
student_mat,random_forest_mat,1,2026,0.6492913999827579,False
student_mat,random_forest_mat,1,3407,0.5963145000860095,False
student_mat,random_forest_mat,1,7319,0.6149569000117481,False
student_mat,random_forest_mat,2,42,0.5891256000613794,False
student_mat,random_forest_mat,2,1201,0.598545900080353,False
student_mat,random_forest_mat,2,2026,0.6185325999977067,False
student_mat,random_forest_mat,2,3407,0.5925472999224439,False
student_mat,random_forest_mat,2,7319,0.7290539999958128,False
student_mat,random_forest_mat,3,42,0.8105787999229506,False
student_mat,random_forest_mat,3,1201,0.7908859000308439,False
student_mat,random_forest_mat,3,2026,0.8032887000590563,False
student_mat,random_forest_mat,3,3407,0.8113064999924973,False
student_mat,random_forest_mat,3,7319,0.7857743999920785,False
student_mat,random_forest_mat,4,42,0.5923175000352785,False
student_mat,random_forest_mat,4,1201,0.6068514999933541,False
student_mat,random_forest_mat,4,2026,0.6204911000095308,False
student_mat,random_forest_mat,4,3407,0.6067009000107646,False
student_mat,random_forest_mat,4,7319,0.6236949999583885,False
student_mat,hist_gradient_boosting_mat,0,42,1.0890496999491006,False
student_mat,hist_gradient_boosting_mat,0,1201,1.0800640999805182,False
student_mat,hist_gradient_boosting_mat,0,2026,1.1062330999411643,False
student_mat,hist_gradient_boosting_mat,0,3407,1.2369020000332966,False
student_mat,hist_gradient_boosting_mat,0,7319,1.102876799996011,False
student_mat,hist_gradient_boosting_mat,1,42,1.0490524999331683,False
student_mat,hist_gradient_boosting_mat,1,1201,1.0878501000115648,False
student_mat,hist_gradient_boosting_mat,1,2026,1.0991077000508085,False
student_mat,hist_gradient_boosting_mat,1,3407,1.0903055999660864,False
student_mat,hist_gradient_boosting_mat,1,7319,1.1419811000814661,False
student_mat,hist_gradient_boosting_mat,2,42,1.6541597999166697,False
student_mat,hist_gradient_boosting_mat,2,1201,1.6981238999869674,False
student_mat,hist_gradient_boosting_mat,2,2026,1.775546699995175,False
student_mat,hist_gradient_boosting_mat,2,3407,1.7499804999679327,False
student_mat,hist_gradient_boosting_mat,2,7319,1.686941200052388,False
