dataset,prediction_stage,base_model_id,comparator_model_id,metric,delta,ci_95_low,ci_95_high,replicates,conclusion,cnn_bilstm_macro_f1,comparator_macro_f1,resampling_unit
student_por,S1_MID_G1_ONLY,cnn_bilstm_por,logistic_regression_por,macro_f1,-0.0030307996959151318,-0.023481188701925396,0.01661913511510855,5000,insufficient evidence of difference,0.7541803875993889,0.757211187295304,
student_por,S2_LATE_G1_G2,cnn_bilstm_por,logistic_regression_por,macro_f1,0.01150311184006969,-0.007660399913417321,0.030432934749205227,5000,insufficient evidence of difference,0.8519466776181582,0.8404435657780885,
student_por,S0_EARLY_NO_GRADE,cnn_bilstm_por,decision_tree_por,macro_f1,0.0776970365865659,0.03644012939282068,0.12038228942495645,5000,CNN-BiLSTM higher,0.5088862277534547,0.4311891911668888,
student_por,S1_MID_G1_ONLY,cnn_bilstm_por,decision_tree_por,macro_f1,0.03437391236139442,0.0013619365382183696,0.06623878028976839,5000,CNN-BiLSTM higher,0.7541803875993889,0.7198064752379945,
student_por,S2_LATE_G1_G2,cnn_bilstm_por,decision_tree_por,macro_f1,0.05651190048545196,0.02486642504586375,0.0883397289530431,5000,CNN-BiLSTM higher,0.8519466776181582,0.7954347771327063,
student_por,S0_EARLY_NO_GRADE,cnn_bilstm_por,random_forest_por,macro_f1,0.0006708362939686907,-0.02405222100614178,0.02506508532642692,5000,insufficient evidence of difference,0.5088862277534547,0.508215391459486,
student_por,S1_MID_G1_ONLY,cnn_bilstm_por,random_forest_por,macro_f1,-0.02936517879242917,-0.05072066488872134,-0.00862745069076147,5000,CNN-BiLSTM lower,0.7541803875993889,0.783545566391818,
student_por,S2_LATE_G1_G2,cnn_bilstm_por,random_forest_por,macro_f1,-0.005108779681484266,-0.023215729683659612,0.014298109831577076,5000,insufficient evidence of difference,0.8519466776181582,0.8570554572996425,
student_por,S0_EARLY_NO_GRADE,cnn_bilstm_por,hist_gradient_boosting_por,macro_f1,0.050252629903998536,0.0029213624806034948,0.09864501807581252,5000,CNN-BiLSTM higher,0.5088862277534547,0.4586335978494562,
student_por,S1_MID_G1_ONLY,cnn_bilstm_por,hist_gradient_boosting_por,macro_f1,0.0708911050051656,0.0312816907922114,0.11105717858483842,5000,CNN-BiLSTM higher,0.7541803875993889,0.6832892825942233,
student_por,S2_LATE_G1_G2,cnn_bilstm_por,hist_gradient_boosting_por,macro_f1,0.03377328223165976,0.0016503421355288238,0.06803281981741333,5000,CNN-BiLSTM higher,0.8519466776181582,0.8181733953864985,
student_por,S0_EARLY_NO_GRADE,cnn_bilstm_por,svm_por,macro_f1,0.059587069440211915,0.01246642949475069,0.10750857682810867,5000,CNN-BiLSTM higher,0.5088862277534547,0.4492991583132428,
student_por,S1_MID_G1_ONLY,cnn_bilstm_por,svm_por,macro_f1,0.001249673799109896,-0.031528814498265736,0.035054912937305886,5000,insufficient evidence of difference,0.7541803875993889,0.752930713800279,
student_por,S2_LATE_G1_G2,cnn_bilstm_por,svm_por,macro_f1,0.05213211836337128,0.016875860423885766,0.08979838417987661,5000,CNN-BiLSTM higher,0.8519466776181582,0.799814559254787,
student_por,S0_EARLY_NO_GRADE,cnn_bilstm_por,xgboost_por,macro_f1,0.05553917699899652,0.007737243829609763,0.10575732832839337,5000,CNN-BiLSTM higher,0.5088862277534547,0.4533470507544582,
student_por,S1_MID_G1_ONLY,cnn_bilstm_por,xgboost_por,macro_f1,-0.010570323888006716,-0.043581933604876645,0.023110358443078825,5000,insufficient evidence of difference,0.7541803875993889,0.7647507114873956,
student_por,S2_LATE_G1_G2,cnn_bilstm_por,xgboost_por,macro_f1,0.009112295015755723,-0.019321605545045164,0.040326504783647694,5000,insufficient evidence of difference,0.8519466776181582,0.8428343826024025,
student_por,S0_EARLY_NO_GRADE,cnn_bilstm_por,mlp_por,macro_f1,0.10864462306560263,0.05915158378645767,0.15883065024713378,5000,CNN-BiLSTM higher,0.5088862277534547,0.4002416046878521,
student_por,S1_MID_G1_ONLY,cnn_bilstm_por,mlp_por,macro_f1,0.0018432209820365975,-0.03290322447047438,0.038620063496471305,5000,insufficient evidence of difference,0.7541803875993889,0.7523371666173523,
student_por,S2_LATE_G1_G2,cnn_bilstm_por,mlp_por,macro_f1,-9.785502676185054e-05,-0.02652537746587139,0.027614920697797047,5000,insufficient evidence of difference,0.8519466776181582,0.8520445326449201,
student_por,S0_EARLY_NO_GRADE,cnn_bilstm_por,cnn_only_por,macro_f1,0.010467050223209207,-0.0106075832885096,0.03239180727326563,5000,insufficient evidence of difference,0.5088862277534547,0.4984191775302455,
