dataset,model_id,model_family,outer_fold,trial,state,params,S0_EARLY_NO_GRADE,S1_MID_G1_ONLY,S2_LATE_G1_G2,mean_stage_macro_f1,worst_stage_macro_f1,outer_rows_used_for_selection,selected_epochs
student_mat,logistic_regression_mat,logistic_regression,0,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}",0.34902100375033734,0.7503809779929184,0.856819435226816,0.6520738056566905,0.34902100375033734,False,
student_mat,logistic_regression_mat,logistic_regression,0,1,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.40056665788669993,0.7247317089524046,0.8696182471395502,0.6649722046595515,0.40056665788669993,False,
student_mat,logistic_regression_mat,logistic_regression,0,2,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.394489247311828,0.7193792141362474,0.8836802165236309,0.6658495593239021,0.394489247311828,False,
student_mat,logistic_regression_mat,logistic_regression,1,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}",0.38611560175805987,0.7763014353971212,0.8606986909054553,0.6743719093535455,0.38611560175805987,False,
student_mat,logistic_regression_mat,logistic_regression,1,1,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.4506231198968629,0.7517562234030825,0.8745343170131902,0.6923045534377118,0.4506231198968629,False,
student_mat,logistic_regression_mat,logistic_regression,1,2,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.437744100552574,0.7474998967752592,0.8804266700163822,0.6885568891147384,0.437744100552574,False,
student_mat,logistic_regression_mat,logistic_regression,2,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}",0.37098195710479026,0.7470699447130956,0.8698080159982872,0.6626199726053911,0.37098195710479026,False,
student_mat,logistic_regression_mat,logistic_regression,2,1,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.3973312083184108,0.7162096162096162,0.8682916237061883,0.6606108160780718,0.3973312083184108,False,
student_mat,logistic_regression_mat,logistic_regression,2,2,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.39433066988190824,0.7092939898695295,0.8899328478715458,0.6645191692076612,0.39433066988190824,False,
student_mat,logistic_regression_mat,logistic_regression,3,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}",0.3714562788881752,0.7534478309819389,0.8467671878878132,0.6572237659193091,0.3714562788881752,False,
student_mat,logistic_regression_mat,logistic_regression,3,1,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.4117206882303191,0.7419165664416988,0.8611828075722151,0.6716066874147444,0.4117206882303191,False,
student_mat,logistic_regression_mat,logistic_regression,3,2,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.40003529538235866,0.7446451392431354,0.8583313298430011,0.667670588156165,0.40003529538235866,False,
student_mat,logistic_regression_mat,logistic_regression,4,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}",0.3562437562437562,0.75856900047413,0.8831618783206499,0.6659915450128454,0.3562437562437562,False,
student_mat,logistic_regression_mat,logistic_regression,4,1,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.4233242750881247,0.7316407404580003,0.8613246534064123,0.6720965563175124,0.4233242750881247,False,
student_mat,logistic_regression_mat,logistic_regression,4,2,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.4289932360654001,0.7414742818352926,0.8777749617192038,0.6827474932066321,0.4289932360654001,False,
student_mat,decision_tree_mat,decision_tree,0,0,COMPLETE,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.21748400852878466,0.7554116732534569,0.7899283386282553,0.587608006803499,0.21748400852878466,False,
student_mat,decision_tree_mat,decision_tree,0,1,COMPLETE,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 5}",0.34286116303845304,0.7638047138047138,0.862267885216636,0.6563112540199344,0.34286116303845304,False,
student_mat,decision_tree_mat,decision_tree,0,2,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5}",0.3508301404853129,0.654600371758287,0.8333357605953179,0.6129220909463059,0.3508301404853129,False,
student_mat,decision_tree_mat,decision_tree,1,0,COMPLETE,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.21748400852878466,0.7111746839019566,0.7185273405674134,0.5490620109993849,0.21748400852878466,False,
student_mat,decision_tree_mat,decision_tree,1,1,COMPLETE,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 5}",0.33464696223316914,0.7408889929045199,0.8329093201718782,0.6361484251031891,0.33464696223316914,False,
student_mat,decision_tree_mat,decision_tree,1,2,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5}",0.43747358751396725,0.6823100595963915,0.8210109754924835,0.6469315408676141,0.43747358751396725,False,
student_mat,decision_tree_mat,decision_tree,2,0,COMPLETE,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.21843971631205672,0.7089555979717354,0.7352574623751634,0.5542175922196518,0.21843971631205672,False,
student_mat,decision_tree_mat,decision_tree,2,1,COMPLETE,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 5}",0.35344177375514096,0.6682293269880084,0.790988266155871,0.6042197889663402,0.35344177375514096,False,
student_mat,decision_tree_mat,decision_tree,2,2,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5}",0.39103240027780295,0.6886939906885284,0.8406797469573873,0.6401353793079062,0.39103240027780295,False,
student_mat,decision_tree_mat,decision_tree,3,0,COMPLETE,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.21843971631205672,0.7597478502489036,0.7681250074414031,0.5821041913341212,0.21843971631205672,False,
student_mat,decision_tree_mat,decision_tree,3,1,COMPLETE,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 5}",0.3646620919691231,0.7310690127644156,0.8347964187586613,0.6435091744974,0.3646620919691231,False,
student_mat,decision_tree_mat,decision_tree,3,2,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5}",0.3989449694207976,0.7123443698205097,0.8137874119417742,0.6416922503943604,0.3989449694207976,False,
student_mat,decision_tree_mat,decision_tree,4,0,COMPLETE,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.21843971631205672,0.7020467669610734,0.7806278500376195,0.5670381111035833,0.21843971631205672,False,
student_mat,decision_tree_mat,decision_tree,4,1,COMPLETE,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 5}",0.359349593495935,0.7280156914024191,0.8629179614401289,0.6500944154461609,0.359349593495935,False,
student_mat,decision_tree_mat,decision_tree,4,2,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5}",0.4349920053418905,0.6904827109537504,0.8046645082823715,0.6433797415260041,0.4349920053418905,False,
student_mat,random_forest_mat,random_forest,0,0,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.4140853971639609,0.7497496278585505,0.892231261712429,0.6853554289116467,0.4140853971639609,False,
student_mat,random_forest_mat,random_forest,0,1,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.3290905736948902,0.7408129811904277,0.8896297467192292,0.6531777672015157,0.3290905736948902,False,
student_mat,random_forest_mat,random_forest,0,2,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.36976477482002346,0.7491625449252569,0.8823064228023662,0.6670779141825488,0.36976477482002346,False,
student_mat,random_forest_mat,random_forest,1,0,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.43332500416458436,0.7631094019148339,0.9026096847651868,0.6996813636148683,0.43332500416458436,False,
student_mat,random_forest_mat,random_forest,1,1,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.33715608178615336,0.7743312027731536,0.9026096847651868,0.6713656564414979,0.33715608178615336,False,
student_mat,random_forest_mat,random_forest,1,2,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.4676292198680258,0.7533260182724913,0.8977405784618457,0.7062319388674543,0.4676292198680258,False,
