seed,standalone_macro_f1,joint_macro_f1,delta,delta_std
42,0.8637995078443669,0.8683355799007992,0.004536072056432405,0.01784386138157598
1201,0.8662627168828881,0.8680551156061684,0.001792398723280253,0.01887668936237867
2026,0.8642553156210764,0.8709405912819632,0.006685275660886769,0.017409553525456492
3407,0.8724786385679525,0.871549687823315,-0.000928950744637332,0.026240263735894394
7319,0.8732951125121038,0.8732423854438932,-5.272706821058589e-05,0.01622639944648101
