outer_fold,standalone_macro_f1,joint_macro_f1,delta
0,0.8543011397773871,0.860494615108016,0.006193475330628854
1,0.8928734065145126,0.8885438536869729,-0.004329552827539796
2,0.8808450812050744,0.8722677979332241,-0.008577283271850485
3,0.8512329226949713,0.8670968427677889,0.015863920072817523
4,0.860838741236442,0.8637202505601373,0.002881509323695412
