candidate,seed,records,threshold,threshold_scope,macro_f1,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,pr_auc,brier,nll,ece,confusion_matrix,evidence_status,evidence_source,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,at_risk_precision_mean,at_risk_precision_sd,at_risk_recall_mean,at_risk_recall_sd,at_risk_f1_mean,at_risk_f1_sd,pr_auc_mean,pr_auc_sd,brier_mean,brier_sd,ece_mean,ece_sd,new_outer_evaluation
current_frozen_cnn_bilstm_reference,-1,15378.0,,per_outer_fold,0.8274221017,0.8212317581,0.8367952522,0.7374959137,0.784013901,0.8935499912,0.1137572994,0.3612843946,0.0156731918,"[[8380, 880], [1606, 4512]]",REUSED_IMMUTABLE,,0.8274221017,,0.8212317581,,0.8367952522,,0.7374959137,,0.784013901,,0.8935499912,,0.1137572994,,0.0156731918,,False
xgboost_operational_cross_check,-1,,,,0.8283814220319712,0.8227174777962843,0.8333333333333334,0.7437070938215103,0.7859733978234583,0.8922181110668066,0.114485140882632,0.3623888914023748,0.0156563068262477,,REUSED_IMMUTABLE,immutable V4 comparator V4-XGB-ENS; same F2 data contract,0.8283814220319712,,0.8227174777962843,,0.8333333333333334,,0.7437070938215103,,0.7859733978234583,,0.8922181110668066,,0.114485140882632,,0.0156563068262477,,False
