dataset,scenario,deep_source,deep_model_variant,deep_prediction_mode,deep_macro_f1,deep_recall_low,deep_f1_low,baseline_model,baseline_macro_f1,baseline_recall_low,baseline_f1_low,comparison_source,note
student-mat,late,old_champion,sequence_cnn_bilstm_only,low_f1_tuned,0.9365,0.9615,0.8929,xgboost,0.9469,not_available,not_available,archive/old_reports/v29/v29_vs_baseline.csv; archive/old_reports/v30/v30_vs_baseline.csv,Baseline Macro F1 is higher; deep model is retained as thesis main model because the topic requires CNN-BiLSTM and Low-class recall is strong.
student-por,late,old_champion,sequence_cnn_bilstm_only,low_f1_tuned,0.8783,0.9000,0.8182,xgboost,0.8411,not_available,not_available,archive/old_reports/v29/v29_vs_baseline.csv,Deep model is higher on Macro F1 than the available same-scenario baseline comparison.
student-por,midterm,old_champion,sequence_cnn_bilstm_only,argmax,0.8228,0.6500,0.7429,xgboost,0.7659,not_available,not_available,archive/old_reports/v29/v29_vs_baseline.csv,Deep model is higher on Macro F1 than the available same-scenario baseline comparison.
xapi,xapi,v28_best_deep,gated_fusion_v28,low_f1_tuned,0.7541,0.8846,0.8214,random_forest,0.8465,not_available,not_available,archive/old_reports/v28/deep_v28_vs_baseline.csv; archive/old_reports/v29/v29_vs_baseline.csv; archive/old_reports/v30/v30_vs_baseline.csv,Baseline Macro F1 is higher; deep model keeps high Recall Low and is reported as behavior-data extension.
