stage,pr_auc_mean,accuracy_mean,risk_precision_mean,risk_recall_mean,risk_f1_mean,generalization_gap_mean,pr_auc_std,accuracy_std,risk_precision_std,risk_recall_std,risk_f1_std,generalization_gap_std
S0,0.4820433994079336,0.6380865940838486,0.3500068597570538,0.729412599449598,0.4670841131393173,0.17155451724535514,0.04020505647979457,0.0886622052958558,0.06102285639727828,0.0968797574739945,0.04803445266932889,0.06631660560211386
S1,0.8068191200498394,0.8529158107847504,0.6387753727393471,0.792302063547,0.6957373821789292,0.06526788773886899,0.029359975669827166,0.02491643505164427,0.07215296266946426,0.1327150411984953,0.02931990849242847,0.032267231916039044
S2,0.8887364054150741,0.9036920343683205,0.7580077172569788,0.8087231291776413,0.7808493247174066,0.04551939148804115,0.018981316920401718,0.009082323795128598,0.027307106860605886,0.06442262003473416,0.026872038642893187,0.01697867282535628
