fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,threshold_source,train_pr_auc,generalization_gap
0,42,S0,0.4644640774863626,0.7255752407557156,0.7077464788732394,0.39,0.639344262295082,0.484472049689441,0.39,stop_only,0.6857083636247013,0.22124428613833874
0,42,S1,0.7601854365353362,0.9263397779901492,0.8732394366197183,0.7358490566037735,0.639344262295082,0.6842105263157895,0.78,stop_only,0.8918266375661015,0.13164120103076526
0,42,S2,0.8807603592667593,0.9604499007571858,0.8873239436619719,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.64,stop_only,0.9495820931634685,0.0688217338967092
0,1201,S0,0.456605362305945,0.6847019039917666,0.573943661971831,0.27941176470588236,0.6229508196721312,0.38578680203045684,0.43,stop_only,0.5792218781199797,0.12261651581403471
0,1201,S1,0.7750740230359312,0.9250900536646328,0.8591549295774648,0.6842105263157895,0.639344262295082,0.6610169491525424,0.75,stop_only,0.8547592397862238,0.07968521675029261
0,1201,S2,0.8866366031477728,0.9588326104535764,0.9084507042253521,0.7611940298507462,0.8360655737704918,0.796875,0.39,stop_only,0.915026562527648,0.028389959379875207
0,2026,S0,0.5086903123344908,0.7457178563552158,0.6338028169014085,0.34074074074074073,0.7540983606557377,0.46938775510204084,0.39,stop_only,0.6876307616317612,0.17894044929727038
0,2026,S1,0.7822500416632077,0.9272954495331911,0.8591549295774648,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.72,stop_only,0.875533351935417,0.09328331027220937
0,2026,S2,0.87097358678729,0.9514812908917151,0.897887323943662,0.7666666666666667,0.7540983606557377,0.7603305785123967,0.87,stop_only,0.9429210312616694,0.0719474444743794
1,42,S0,0.5339126444743703,0.774727460810058,0.45955882352941174,0.2708333333333333,0.8813559322033898,0.41434262948207173,0.12,stop_only,0.6983256260006537,0.16441298152628347
1,42,S1,0.8353233562020166,0.9427866634837272,0.8602941176470589,0.6567164179104478,0.7457627118644068,0.6984126984126984,0.45,stop_only,0.908944828226467,0.07362147202445046
1,42,S2,0.9211734447432269,0.971273971512692,0.9044117647058824,0.7391304347826086,0.864406779661017,0.796875,0.35,stop_only,0.962680147742251,0.04150670299902404
1,1201,S0,0.513157593594912,0.7935068035330627,0.6139705882352942,0.3424657534246575,0.847457627118644,0.4878048780487805,0.38,stop_only,0.6292777883346364,0.11612019473972446
1,1201,S1,0.8406116348811249,0.9432641044004139,0.875,0.6582278481012658,0.8813559322033898,0.7536231884057971,0.77,stop_only,0.8765432440138682,0.03593160913274329
1,1201,S2,0.9030571992243777,0.9661812684013686,0.9044117647058824,0.7796610169491526,0.7796610169491526,0.7796610169491526,0.87,stop_only,0.9371557093166386,0.03409851009226095
1,2026,S0,0.5295371722001725,0.782923529879844,0.7647058823529411,0.4691358024691358,0.6440677966101694,0.5428571428571428,0.47,stop_only,0.6293756207188875,0.09983844851871504
1,2026,S1,0.8364532885858698,0.9411951937614387,0.8676470588235294,0.676923076923077,0.7457627118644068,0.7096774193548387,0.85,stop_only,0.8766523851940746,0.040199096608204865
1,2026,S2,0.9084380032556846,0.966817856290284,0.9117647058823529,0.8181818181818182,0.7627118644067796,0.7894736842105263,0.8,stop_only,0.9415529224914199,0.033114919235735285
2,42,S0,0.42790774546923394,0.7337699086425742,0.6386861313868614,0.3220338983050847,0.6666666666666666,0.4342857142857143,0.44,stop_only,0.6888638178102796,0.2609560723410457
2,42,S1,0.8131726790340272,0.948257741127011,0.8102189781021898,0.5242718446601942,0.9473684210526315,0.675,0.51,stop_only,0.8626073726148381,0.04943469358081087
2,42,S2,0.8870215011279091,0.967984477322338,0.9087591240875912,0.7352941176470589,0.8771929824561403,0.8,0.72,stop_only,0.9353321092841876,0.04831060815627852
2,1201,S0,0.4696970325860553,0.7632791656560757,0.7116788321167883,0.39215686274509803,0.7017543859649122,0.5031446540880503,0.46,stop_only,0.5779902517694353,0.10829321918338003
2,1201,S1,0.7985177631127365,0.9452663917859164,0.8613138686131386,0.6172839506172839,0.8771929824561403,0.7246376811594203,0.66,stop_only,0.8370913908118898,0.03857362769915329
2,1201,S2,0.8610797486048269,0.9565041636348937,0.8941605839416058,0.7413793103448276,0.7543859649122807,0.7478260869565218,0.72,stop_only,0.8880807765603405,0.027001027955513512
2,2026,S0,0.4344186542198597,0.7500202118198721,0.6386861313868614,0.34328358208955223,0.8070175438596491,0.4816753926701571,0.28,stop_only,0.7059871418692636,0.2715684876494039
2,2026,S1,0.8197838573983041,0.9515724795860618,0.8102189781021898,0.5233644859813084,0.9824561403508771,0.6829268292682927,0.3,stop_only,0.8648246199494949,0.04504076255119083
2,2026,S2,0.8794872025778196,0.9647505861427763,0.916058394160584,0.7428571428571429,0.9122807017543859,0.8188976377952756,0.76,stop_only,0.9359708197804139,0.056483617202594205
