outer_fold,precision_at_1,actionable_coverage,selective_accuracy,macro_action_precision,worst_stage_precision,action_diversity,top_action_concentration,issued_groups,total_groups,positive_groups,selected_config_id
0,0.2796218949219609,0.5397946084724005,0.5127223831195697,0.23209895892701088,0.12197028928850664,4,0.4976918003956914,4549,9668,3116,024ee54f2630b38f
1,0.2759903698840009,0.5286500485594043,0.5057578586990352,0.2538449900231648,0.11951588502269289,4,0.46158896913985553,4569,9639,3089,024ee54f2630b38f
2,0.2571362799263352,0.4872539528880284,0.5053410024650781,0.25455152295182804,0.11068702290076336,4,0.48572744014732966,4344,9736,3099,33a6352a37f2dfef
