outer_fold,method,precision_at_1,actionable_coverage,selective_accuracy,macro_action_precision,worst_stage_precision,action_diversity,top_action_concentration,issued_groups,total_groups,positive_groups
0,risk_reduction_only,0.24131728241317282,0.748395378690629,0.3517790649565577,0.22955095572099454,0.11704711024769306,4,0.5669018956690189,7227,9668,3116
0,evidence_only,0.23758129237581294,0.748395378690629,0.34898634671079853,0.21918169441689717,0.12821758135016997,4,0.6586412065864121,7227,9668,3116
0,lowest_workload,0.23951847239518473,0.748395378690629,0.35043442283822923,0.21980636128404646,0.1330743079164643,5,0.6586412065864121,7227,9668,3116
1,risk_reduction_only,0.23812839437404262,0.7355131110391713,0.34765017117958297,0.2424860165870284,0.11744639376218323,4,0.5412895139952653,7181,9639,3089
1,evidence_only,0.2382676507450216,0.7355131110391713,0.3477539163813674,0.24293393380277573,0.1301169590643275,4,0.6575685837627071,7181,9639,3089
1,lowest_workload,0.24160980364851692,0.7355131110391713,0.3502438012241934,0.24429511382040536,0.13499025341130605,5,0.6575685837627071,7181,9639,3089
2,risk_reduction_only,0.2341068241109433,0.7412068409164246,0.3447000821692687,0.2598955141018102,0.11953912626020163,4,0.5359055334340245,7283,9736,3099
2,evidence_only,0.2253192365783331,0.7412068409164246,0.338126540673788,0.23316863679596506,0.1301008161305809,4,0.6674447343127832,7283,9736,3099
2,lowest_workload,0.22875188795825896,0.7412068409164246,0.34069433032046015,0.2348664988480691,0.13682189150264043,5,0.6674447343127832,7283,9736,3099
