class_label,precision,recall,threshold,average_precision
0,0.3291139240506329,1.0,6.139919423731044e-05,0.9461929146299808
0,0.3333333333333333,1.0,8.317433093907312e-05,0.9461929146299808
0,0.3466666666666667,1.0,0.0001792869734345004,0.9461929146299808
0,0.3561643835616438,1.0,0.0004873885482084006,0.9461929146299808
0,0.3611111111111111,1.0,0.000872634060215205,0.9461929146299808
0,0.36619718309859156,1.0,0.000909751164726913,0.9461929146299808
0,0.3880597014925373,1.0,0.0016397071303799748,0.9461929146299808
0,0.3939393939393939,1.0,0.0026919215451925993,0.9461929146299808
0,0.4,1.0,0.0027646361850202084,0.9461929146299808
0,0.4126984126984127,1.0,0.004157294053584337,0.9461929146299808
0,0.4262295081967213,1.0,0.005691696889698505,0.9461929146299808
0,0.43333333333333335,1.0,0.008015301078557968,0.9461929146299808
0,0.4406779661016949,1.0,0.00862395204603672,0.9461929146299808
0,0.4482758620689655,1.0,0.015486195683479309,0.9461929146299808
0,0.4642857142857143,1.0,0.0219222791492939,0.9461929146299808
0,0.4727272727272727,1.0,0.02523125149309635,0.9461929146299808
0,0.52,1.0,0.026215119287371635,0.9461929146299808
0,0.5416666666666666,1.0,0.03765956684947014,0.9461929146299808
0,0.5652173913043478,1.0,0.08249275386333466,0.9461929146299808
0,0.5909090909090909,1.0,0.11003747582435608,0.9461929146299808
0,0.6190476190476191,1.0,0.13191673159599304,0.9461929146299808
0,0.65,1.0,0.15545104444026947,0.9461929146299808
0,0.6842105263157895,1.0,0.26435232162475586,0.9461929146299808
0,0.7222222222222222,1.0,0.3487844467163086,0.9461929146299808
0,0.7647058823529411,1.0,0.40772706270217896,0.9461929146299808
0,0.7575757575757576,0.9615384615384616,0.45907312631607056,0.9461929146299808
0,0.8064516129032258,0.9615384615384616,0.5031066536903381,0.9461929146299808
0,0.8333333333333334,0.9615384615384616,0.6364137530326843,0.9461929146299808
0,0.8275862068965517,0.9230769230769231,0.7319120764732361,0.9461929146299808
0,0.8148148148148148,0.8461538461538461,0.7829620242118835,0.9461929146299808
0,0.875,0.8076923076923077,0.8192139863967896,0.9461929146299808
0,0.95,0.7307692307692307,0.8455624580383301,0.9461929146299808
0,0.9473684210526315,0.6923076923076923,0.9127486348152161,0.9461929146299808
0,0.9444444444444444,0.6538461538461539,0.9295492172241211,0.9461929146299808
0,0.9411764705882353,0.6153846153846154,0.941031277179718,0.9461929146299808
0,1.0,0.5769230769230769,0.9578424692153931,0.9461929146299808
0,1.0,0.5384615384615384,0.9662612676620483,0.9461929146299808
0,1.0,0.46153846153846156,0.9718937277793884,0.9461929146299808
0,1.0,0.34615384615384615,0.9804623126983643,0.9461929146299808
0,1.0,0.3076923076923077,0.983727216720581,0.9461929146299808
0,1.0,0.2692307692307692,0.9911842942237854,0.9461929146299808
0,1.0,0.15384615384615385,0.9922277331352234,0.9461929146299808
0,1.0,0.11538461538461539,0.9936256408691406,0.9461929146299808
0,1.0,0.07692307692307693,0.9950306415557861,0.9461929146299808
0,1.0,0.038461538461538464,0.9974817633628845,0.9461929146299808
0,1.0,0.0,,0.9461929146299808
1,0.4810126582278481,1.0,0.0024774065241217613,0.9634696049390852
1,0.48717948717948717,1.0,0.004829610697925091,0.9634696049390852
1,0.4935064935064935,1.0,0.00632725702598691,0.9634696049390852
1,0.5,1.0,0.007699971087276936,0.9634696049390852
1,0.5066666666666667,1.0,0.008721535094082355,0.9634696049390852
1,0.5277777777777778,1.0,0.013953285291790962,0.9634696049390852
1,0.5352112676056338,1.0,0.016085797920823097,0.9634696049390852
1,0.5428571428571428,1.0,0.018969133496284485,0.9634696049390852
1,0.5671641791044776,1.0,0.019268693402409554,0.9634696049390852
1,0.5757575757575758,1.0,0.027813194319605827,0.9634696049390852
1,0.6031746031746031,1.0,0.0333155132830143,0.9634696049390852
1,0.6229508196721312,1.0,0.036970846354961395,0.9634696049390852
1,0.6440677966101694,1.0,0.041505053639411926,0.9634696049390852
1,0.6551724137931034,1.0,0.05844561755657196,0.9634696049390852
1,0.6607142857142857,0.9736842105263158,0.06969666481018066,0.9634696049390852
1,0.6727272727272727,0.9736842105263158,0.08609116822481155,0.9634696049390852
1,0.6851851851851852,0.9736842105263158,0.10473033785820007,0.9634696049390852
1,0.6981132075471698,0.9736842105263158,0.1533612459897995,0.9634696049390852
1,0.7115384615384616,0.9736842105263158,0.17299742996692657,0.9634696049390852
1,0.7254901960784313,0.9736842105263158,0.179256409406662,0.9634696049390852
1,0.7446808510638298,0.9210526315789473,0.1977112889289856,0.9634696049390852
1,0.813953488372093,0.9210526315789473,0.21473175287246704,0.9634696049390852
1,0.825,0.868421052631579,0.26437219977378845,0.9634696049390852
1,0.868421052631579,0.868421052631579,0.2764992117881775,0.9634696049390852
1,0.8918918918918919,0.868421052631579,0.3571018874645233,0.9634696049390852
1,0.9166666666666666,0.868421052631579,0.4737779498100281,0.9634696049390852
1,0.9705882352941176,0.868421052631579,0.4945293366909027,0.9634696049390852
1,0.9696969696969697,0.8421052631578947,0.5355353951454163,0.9634696049390852
1,0.96875,0.8157894736842105,0.5377521514892578,0.9634696049390852
1,0.9666666666666667,0.7631578947368421,0.5878019332885742,0.9634696049390852
1,1.0,0.7631578947368421,0.644582986831665,0.9634696049390852
1,1.0,0.7105263157894737,0.6916389465332031,0.9634696049390852
1,1.0,0.6578947368421053,0.7254436016082764,0.9634696049390852
1,1.0,0.6052631578947368,0.8289610147476196,0.9634696049390852
1,1.0,0.5526315789473685,0.8412312269210815,0.9634696049390852
1,1.0,0.5263157894736842,0.8621748089790344,0.9634696049390852
1,1.0,0.47368421052631576,0.8814021348953247,0.9634696049390852
1,1.0,0.42105263157894735,0.894332230091095,0.9634696049390852
1,1.0,0.39473684210526316,0.9045528769493103,0.9634696049390852
1,1.0,0.34210526315789475,0.9115831851959229,0.9634696049390852
1,1.0,0.3157894736842105,0.9329659938812256,0.9634696049390852
1,1.0,0.2631578947368421,0.9446093440055847,0.9634696049390852
1,1.0,0.23684210526315788,0.9447275400161743,0.9634696049390852
1,1.0,0.18421052631578946,0.945866584777832,0.9634696049390852
1,1.0,0.05263157894736842,0.9556459784507751,0.9634696049390852
1,1.0,0.0,,0.9634696049390852
2,0.189873417721519,1.0,4.0925944631453604e-05,1.0
2,0.19230769230769232,1.0,4.7124907723627985e-05,1.0
2,0.19480519480519481,1.0,7.224945875350386e-05,1.0
2,0.19736842105263158,1.0,9.415988461114466e-05,1.0
2,0.2054794520547945,1.0,0.00013968118582852185,1.0
2,0.20833333333333334,1.0,0.0001869707921287045,1.0
2,0.2112676056338028,1.0,0.0002690775436349213,1.0
2,0.21428571428571427,1.0,0.00029316337895579636,1.0
2,0.22388059701492538,1.0,0.00042317601037211716,1.0
2,0.23076923076923078,1.0,0.0005230766255408525,1.0
2,0.23809523809523808,1.0,0.0006523992051370442,1.0
2,0.24193548387096775,1.0,0.0007541640661656857,1.0
2,0.2459016393442623,1.0,0.0010762064484879375,1.0
2,0.25,1.0,0.001160271349363029,1.0
2,0.2542372881355932,1.0,0.0015296051278710365,1.0
2,0.2727272727272727,1.0,0.00230625132098794,1.0
2,0.28846153846153844,1.0,0.002363986801356077,1.0
2,0.29411764705882354,1.0,0.003174670273438096,1.0
2,0.30612244897959184,1.0,0.003715755883604288,1.0
2,0.3191489361702128,1.0,0.0044709485955536366,1.0
2,0.32608695652173914,1.0,0.005908424034714699,1.0
2,0.3409090909090909,1.0,0.006484294775873423,1.0
2,0.3488372093023256,1.0,0.006632568314671516,1.0
2,0.36585365853658536,1.0,0.008560392074286938,1.0
2,0.38461538461538464,1.0,0.010204172693192959,1.0
2,0.40540540540540543,1.0,0.012954371981322765,1.0
2,0.42857142857142855,1.0,0.015587922185659409,1.0
2,0.45454545454545453,1.0,0.017612924799323082,1.0
2,0.4838709677419355,1.0,0.018138907849788666,1.0
2,0.5172413793103449,1.0,0.02890218235552311,1.0
2,0.625,1.0,0.033468376845121384,1.0
2,0.6521739130434783,1.0,0.051547784358263016,1.0
2,0.7142857142857143,1.0,0.08040154725313187,1.0
2,0.75,1.0,0.09704384952783585,1.0
2,0.7894736842105263,1.0,0.15307699143886566,1.0
2,0.8333333333333334,1.0,0.3042037785053253,1.0
2,0.9375,1.0,0.46177271008491516,1.0
2,1.0,1.0,0.5234573483467102,1.0
2,1.0,0.8666666666666667,0.7218611240386963,1.0
2,1.0,0.8,0.8013789653778076,1.0
2,1.0,0.5333333333333333,0.8261299729347229,1.0
2,1.0,0.4666666666666667,0.894782304763794,1.0
2,1.0,0.4,0.9628498554229736,1.0
2,1.0,0.26666666666666666,0.980947732925415,1.0
2,1.0,0.06666666666666667,0.985985279083252,1.0
2,1.0,0.0,,1.0
