Feature,Importance
engagement_score,0.0
absence_risk,0.0
parent_support_signal,0.0
active_participation,0.0
resource_engagement_ratio,0.0
gender,0.0
NationalITy,0.0
PlaceofBirth,0.0
StageID,0.0
GradeID,0.0
Topic,0.0
Relation,0.0
ParentAnsweringSurvey,0.0
ParentschoolSatisfaction,0.0
StudentAbsenceDays,0.0
