Feature,Importance
age,0.014113061856816933
alcohol_risk,0.01076402465650339
Walc,0.01076402465650339
grade_growth,0.0
Medu,0.0
failures,0.0
traveltime,0.0
goout,0.0
Dalc,0.0
absences,0.0
studytime,0.0
higher,0.0
grade_avg,0.0
absence_study_ratio,0.0
social_risk,0.0
Mjob,0.0
schoolsup,-0.00026687070869968466
Fedu,-0.011073850954957165
failure_risk,-0.011073850954957165
