Feature,Importance
famsup,0.04105316888275279
failure_risk,0.03015226895823908
absence_study_ratio,0.03015226895823908
paid,0.02609376802469765
absences,0.01546079761619712
Dalc,0.01546079761619712
grade_avg,0.01546079761619712
failures,0.01546079761619712
Fedu,0.01479234841833621
alcohol_risk,0.01479234841833621
traveltime,0.01479234841833621
sex,0.010751728705676311
schoolsup,0.010751728705676311
Mjob,0.004167555327149075
address,0.0
age,0.0
goout,0.0
famrel,0.0
Walc,0.0
romantic,0.0
higher,0.0
grade_growth,0.0
school,0.0
internet,-0.004460159272305475
Medu,-0.01065030654953636
studytime,-0.01065030654953636
social_risk,-0.01065030654953636
