candidate_id,seed,records,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,pr_auc,brier,nll,ece,class_collapse,predicted_positive_rate,operational_feasible,operational_precision,operational_recall
V2-A0,42,15378,0.8269546559759169,0.8382104304851086,0.8203473163140738,0.8400149868864744,0.7329192546583851,0.7828212290502793,0.9077753779697624,0.890271249411018,0.11653410469875033,0.37308265177209093,0.031168584955081843,False,0.34711926128235143,True,0.7697224820704709,0.8069630598234717
V2-A0,2026,15378,0.8295138660045898,0.8396410456496294,0.824252797925888,0.831277213352685,0.7489375612945407,0.7879621668099742,0.8995680345572354,0.8909703705736256,0.1164545519182563,0.3710654585235023,0.028054308030156117,False,0.35843412667447,True,0.7512333682164748,0.8213468453743054
V2-A0,3407,15378,0.8247405602399424,0.8356743399661855,0.8188238226329275,0.8313341945008305,0.7363517489375613,0.7809655889746034,0.9012958963282938,0.8895818770227686,0.11703316449516978,0.372335418079703,0.028815414430273783,False,0.3523865262062687,True,0.7601955093936154,0.8135011441647597
V2-H2F,42,15378,0.814881132300944,0.8218233840551437,0.816335114243492,0.7688634192932188,0.7894736842105263,0.7790322580645161,0.8431965442764578,0.8856320122845781,0.12436792690505721,0.3895638537932928,0.06505135108257364,False,0.40850565743269607,True,0.7688634192932188,0.7894736842105263
V2-H2T,42,15378,0.8244408993314122,0.8362595916243984,0.8173686575816008,0.8415559772296015,0.7249101013403073,0.7788900597119776,0.9098272138228942,0.889244273535724,0.11651942671658294,0.36775286664033885,0.017326407311252852,False,0.3426973598647418,True,0.7437067569556897,0.8257600523046748
V2-H2T,2026,15378,0.8265865114227173,0.8378202627129666,0.8200510726059209,0.8389450056116723,0.7330827067669173,0.7824494068387997,0.9070194384449244,0.8889288599823776,0.11617485830977861,0.3689172842343819,0.021007924689199688,False,0.34763948497854075,True,0.7468167012140954,0.8244524354364171
V2-H2T,3407,15378,0.8223768246966155,0.8339185849915464,0.8158962294458091,0.8337078651685393,0.7276887871853547,0.7770989701518589,0.9041036717062635,0.8875829623691206,0.1170970827489553,0.37101006960659616,0.020564217698776192,False,0.34724931720639873,True,0.7467600178757634,0.819385420071919
V2-H3C,42,15378,0.8278463217256071,0.8382754584471322,0.8223147077949358,0.8315981735159818,0.7441974501471069,0.7854739929267661,0.9004319654427646,0.8897859469783886,0.11725386550051756,0.3749555294581048,0.029839645911546586,False,0.35602809207959424,True,0.753531710249474,0.8195488721804511
V2-H3C,2026,15378,0.8247800636565322,0.8354792560801144,0.8191887126963808,0.8285714285714286,0.7394573389996731,0.7814821212644671,0.8989200863930885,0.8880332508661911,0.11773429777924081,0.3754142356517594,0.028487484847455984,False,0.3550526726492392,True,0.7361312808597154,0.8285387381497221
V2-H3C,3407,15378,0.8256243113139167,0.8351541162699961,0.8216917716867057,0.8162400706090026,0.7558025498528931,0.7848595434099974,0.8875809935205183,0.8889724681319094,0.11760714429203871,0.3733289766882726,0.030370218562197123,False,0.36838340486409155,True,0.7374909354604786,0.8311539718862373
V2-MLF,42,15378,0.8257182665392502,0.8362595916243984,0.8202526164693356,0.8285870755750274,0.7419091206276561,0.7828561572956192,0.8985961123110151,0.8874514772495355,0.12031430118823397,0.3807353469581117,0.04660768049493648,False,0.3562231759656652,True,0.8285870755750274,0.7419091206276561
V2-T0,42,15378,0.8233384127026822,0.8358043958902328,0.8155764387492348,0.8471497584541062,0.7165740438051651,0.7764101655893031,0.9145788336933045,0.8881792919286434,0.1170053207938293,0.37009790384037444,0.016335491172953374,False,0.33651970347249316,True,0.7633410672853829,0.8066361556064073
V2-T0,2026,15378,0.8227090058367789,0.8337235011054753,0.8168989181094346,0.82808181315644,0.7345537757437071,0.7785188393243828,0.899244060475162,0.8863072307270069,0.11786098257715671,0.3735364245550647,0.02375486060546508,False,0.3529067499024581,True,0.7446396664681358,0.8174239947695325
V2-T0,3407,15378,0.8243284169000149,0.8350890883079725,0.8186983563707841,0.8283828382838284,0.7384766263484799,0.7808503283788455,0.8989200863930885,0.88753772228827,0.11754960562708097,0.3722711879551019,0.023716308377098854,False,0.35466250487709716,True,0.7437943262411347,0.8228179143510951
