Feature,Importance
StudentAbsenceDays,0.20938980028814558
ParentschoolSatisfaction,0.05895906771613002
gender,0.051654706310027776
PlaceofBirth,0.05069077013521461
Topic,0.049398543842988474
VisITedResources,0.031801145742005765
AnnouncementsView,0.030917071181949196
Relation,0.030452674897119336
engagement_score,0.020975550714112945
raisedhands,0.0188169849985389
NationalITy,0.010787771898883136
absence_risk,0.00983863980940014
ParentAnsweringSurvey,0.009712086657076124
parent_support_signal,0.0
Discussion,0.0
