Feature,Importance
goout,0.009899001470110913
health,0.009899001470110913
G2,0.009899001470110913
failure_risk,0.009899001470110913
age,0.0
failures,0.0
Dalc,0.0
Fedu,0.0
Medu,0.0
grade_avg,0.0
absences,0.0
grade_growth,0.0
G1,0.0
famsup,0.0
absence_study_ratio,0.0
Walc,-0.011719902501734158
reason,-0.01214522638587201
higher,-0.015614425828306189
Mjob,-0.02177215189873427
social_risk,-0.022352920308736146
activities,-0.023205149281098625
Pstatus,-0.02559731414754174
schoolsup,-0.03333880647357945
alcohol_risk,-0.035657160871041316
school,-0.05830167322143609
