Feature,Importance
guardian,0.02562028057857535
alcohol_risk,0.022425833733857092
famsup,0.022425833733857092
reason,0.020394556291992272
activities,0.017376835433030702
sex,0.008845411679419768
social_risk,0.003465564849562397
Fedu,0.0
Medu,0.0
age,0.0
traveltime,0.0
grade_growth,0.0
studytime,0.0
failures,0.0
famrel,0.0
freetime,0.0
goout,0.0
Walc,0.0
health,0.0
schoolsup,0.0
failure_risk,0.0
grade_avg,0.0
absence_study_ratio,0.0
G2,0.0
G1,0.0
absences,0.0
address,0.0
Pstatus,0.0
Fjob,0.0
famsize,-9.591682278697888e-05
higher,-0.0020687354020687554
school,-0.004730963403663191
Mjob,-0.007779361117457473
Dalc,-0.00918823452760098
paid,-0.012666701937957048
