candidate_id,class_name,precision,recall,f1,support
B-C0,Low,0.0,0.0,0.0,100
B-C0,Medium,0.6440677966101694,1.0,0.7835051546391752,418
B-C0,High,0.0,0.0,0.0,131
B-H0,Low,0.8292682926829268,0.68,0.7472527472527473,100
B-H0,Medium,0.9016018306636155,0.9425837320574163,0.9216374269005848,418
B-H0,High,0.9230769230769231,0.916030534351145,0.9195402298850575,131
B-H1,Low,0.7722772277227723,0.78,0.7761194029850746,100
B-H1,Medium,0.9021479713603818,0.9043062200956937,0.9032258064516129,418
B-H1,High,0.8682170542635659,0.8549618320610687,0.8615384615384616,131
B-L0,Low,0.8571428571428571,0.66,0.7457627118644068,100
B-L0,Medium,0.8688172043010752,0.9665071770334929,0.9150622876557192,418
B-L0,High,0.9719626168224299,0.7938931297709924,0.8739495798319328,131
B-L1,Low,0.8484848484848485,0.56,0.6746987951807228,100
B-L1,Medium,0.8565022421524664,0.9138755980861244,0.8842592592592593,418
B-L1,High,0.8102189781021898,0.8473282442748091,0.8283582089552238,131
B-M0,Low,0.0,0.0,0.0,100
B-M0,Medium,0.6786296900489397,0.9952153110047847,0.8069835111542192,418
B-M0,High,0.9444444444444444,0.2595419847328244,0.40718562874251496,131
B-O0,Low,0.8823529411764706,0.6,0.7142857142857143,100
B-O0,Medium,0.0,0.0,0.0,418
B-O0,High,0.22547332185886404,1.0,0.36797752808988765,131
B-R0,Low,0.6137931034482759,0.89,0.726530612244898,100
B-R0,Medium,0.8891625615763546,0.8636363636363636,0.8762135922330098,418
B-R0,High,0.9897959183673469,0.7404580152671756,0.8471615720524017,131
B-RF0,Low,0.8333333333333334,0.7,0.7608695652173914,100
B-RF0,Medium,0.9078341013824884,0.9425837320574163,0.9248826291079812,418
B-RF0,High,0.9236641221374046,0.9236641221374046,0.9236641221374046,131
B-S0,Low,0.7956989247311828,0.74,0.7668393782383419,100
B-S0,Medium,0.9088785046728972,0.930622009569378,0.9196217494089834,418
B-S0,High,0.921875,0.9007633587786259,0.9111969111969112,131
