candidate_id,prediction_contract,records,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,pr_auc,brier,nll,ece,class_collapse,predicted_positive_rate,operational_feasible,operational_precision,operational_recall,worst_eligible_module_macro_f1,worst_eligible_module_recall,eligible_module_count
V3-A0F-ENS,probability_ensemble,15378,0.8286716600730241,0.839510989725582,0.8224532537560447,0.8384643916913946,0.7389669826740765,0.7855777584708948,0.905939524838013,0.8918240393763003,0.11551925066343072,0.3678352825675678,0.025173411514924686,False,0.3506307712316296,True,0.7573928786964393,0.8205295848316443,0.7604661918416428,0.5185185185185185,7
V3-A1-ENS,probability_ensemble,15378,0.8263589232615651,0.8368448432826116,0.8209049598359689,0.8292282430213465,0.7428898332788493,0.7836882489869816,0.8989200863930885,0.8901543528786273,0.11698884169659496,0.3722607298358097,0.029865857751662478,False,0.35641825985173625,True,0.7558402411454408,0.8197123242889833,0.7314958592132506,0.5740740740740741,7
V3-D0-ENS,probability_ensemble,15378,0.8311261008483025,0.8417219404343868,0.8249823662358073,0.8406065088757396,0.7430532853873815,0.788825264619122,0.9069114470842332,0.8926916744364296,0.11446846405677608,0.36340575656132684,0.019527886498543583,False,0.3516712186240083,True,0.7581451735111381,0.8177508989865969,0.7567279509725553,0.5925925925925926,7
V3-H2TF-ENS,probability_ensemble,15378,0.8254654095889731,0.8369748992066589,0.8186835997873357,0.8399548107700998,0.7291598561621445,0.780645725785283,0.908207343412527,0.8912172835788215,0.11504925136548043,0.36465718028016997,0.01828379368873175,False,0.34536350630771234,True,0.7541057706795239,0.8180778032036613,0.7685212852845674,0.48148148148148145,7
V3-H3CF-ENS,probability_ensemble,15378,0.8273442090060797,0.8389907660293926,0.8201633532606047,0.8458032662362325,0.7280156914024191,0.7825017568517217,0.9123110151187905,0.8917607496437612,0.11555712783345791,0.36736772011587226,0.025759832892264533,False,0.34243724801664716,True,0.7604817807592621,0.8152991173586139,0.7638931220156456,0.46296296296296297,7
V3-MLD,deterministic,15378,0.8259606564438204,0.8370399271686826,0.8197081585548998,0.8356877323420074,0.7348806799607714,0.7820490520090451,0.9045356371490281,0.8892633948638378,0.11525811618378043,0.36590348522705035,0.011056234816712534,False,0.3498504356873456,True,0.7588770864946889,0.8174239947695325,0.7410509031198687,0.42592592592592593,7
V3-MLF,deterministic,15378,0.8257182665392502,0.8362595916243984,0.8202526164693356,0.8285870755750274,0.7419091206276561,0.7828561572956192,0.8985961123110151,0.8874514772495355,0.12031430118823397,0.3807353469581117,0.04660768049493648,False,0.3562231759656652,True,0.8285870755750274,0.7419091206276561,0.759555805906494,0.46296296296296297,7
V3-P0-ENS,probability_ensemble,15378,0.8291732494306192,0.8384055143711796,0.8253621187912028,0.8195250659630607,0.7615233736515201,0.789460306701686,0.8892008639308855,0.8922921375734137,0.11499335358832442,0.3644692087694731,0.02143587109166016,False,0.36968396410456494,True,0.7513046071268824,0.8236351748937562,0.7680892750660193,0.5925925925925926,7
