class_label,precision,recall,threshold
0,0.3291139240506329,1.0,6.1399194e-05
0,0.3333333333333333,1.0,8.317433e-05
0,0.3466666666666667,1.0,0.00017928697
0,0.3561643835616438,1.0,0.00048738855
0,0.3611111111111111,1.0,0.00087263406
0,0.36619718309859156,1.0,0.00090975116
0,0.3880597014925373,1.0,0.0016397071
0,0.3939393939393939,1.0,0.0026919215
0,0.4,1.0,0.0027646362
0,0.4126984126984127,1.0,0.004157294
0,0.4262295081967213,1.0,0.005691697
0,0.43333333333333335,1.0,0.008015301
0,0.4406779661016949,1.0,0.008623952
0,0.4482758620689655,1.0,0.015486196
0,0.4642857142857143,1.0,0.02192228
0,0.4727272727272727,1.0,0.025231251
0,0.52,1.0,0.02621512
0,0.5416666666666666,1.0,0.037659567
0,0.5652173913043478,1.0,0.082492754
0,0.5909090909090909,1.0,0.110037476
0,0.6190476190476191,1.0,0.13191673
0,0.65,1.0,0.15545104
0,0.6842105263157895,1.0,0.26435232
0,0.7222222222222222,1.0,0.34878445
0,0.7647058823529411,1.0,0.40772706
0,0.7575757575757576,0.9615384615384616,0.45907313
0,0.8064516129032258,0.9615384615384616,0.50310665
0,0.8333333333333334,0.9615384615384616,0.63641375
0,0.8275862068965517,0.9230769230769231,0.7319121
0,0.8148148148148148,0.8461538461538461,0.782962
0,0.875,0.8076923076923077,0.819214
0,0.95,0.7307692307692307,0.84556246
0,0.9473684210526315,0.6923076923076923,0.91274863
0,0.9444444444444444,0.6538461538461539,0.9295492
0,0.9411764705882353,0.6153846153846154,0.9410313
0,1.0,0.5769230769230769,0.95784247
0,1.0,0.5384615384615384,0.96626127
0,1.0,0.46153846153846156,0.9718937
0,1.0,0.34615384615384615,0.9804623
0,1.0,0.3076923076923077,0.9837272
0,1.0,0.2692307692307692,0.9911843
0,1.0,0.15384615384615385,0.99222773
0,1.0,0.11538461538461539,0.99362564
0,1.0,0.07692307692307693,0.99503064
0,1.0,0.038461538461538464,0.99748176
0,1.0,0.0,
1,0.4810126582278481,1.0,0.0024774065
1,0.48717948717948717,1.0,0.0048296107
1,0.4935064935064935,1.0,0.006327257
1,0.5,1.0,0.007699971
