outer_fold,number,state,value,params,fold_f1_macro
0,10,TrialState.COMPLETE,0.8045800290929143,"{'loss': 'weighted_ce', 'learning_rate': 0.0025224981661479237, 'weight_decay': 4.98755042781316e-06, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.8452197828062711, 'resampling_k_neighbors': 5, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.3071920491164516, 'sequence_dropout': 0.2854211046549958, 'max_epochs': 60, 'patience': 8, 'scheduler_patience': 5}","[0.7485507246376812, 0.7539357539357541, 0.9112536087053075]"
0,11,TrialState.PRUNED,0.44202552819971697,"{'loss': 'weighted_ce', 'learning_rate': 0.00043658362496451833, 'weight_decay': 0.000260561816413386, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.9122323604518496, 'resampling_k_neighbors': 6, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.4421203621062345, 'sequence_dropout': 0.1600439719948934, 'max_epochs': 60, 'patience': 8, 'scheduler_patience': 5}",
0,12,TrialState.COMPLETE,0.8119385416526402,"{'loss': 'weighted_ce', 'learning_rate': 0.0064760321165307, 'weight_decay': 3.1158038874955917e-07, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.9545855967401147, 'resampling_k_neighbors': 3, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.5176146864355335, 'sequence_dropout': 0.10912786072874489, 'max_epochs': 60, 'patience': 8, 'scheduler_patience': 3}","[0.769831223628692, 0.7475500578948854, 0.9184343434343435]"
0,13,TrialState.COMPLETE,0.7838741357713394,"{'loss': 'weighted_ce', 'learning_rate': 0.0010201085767815679, 'weight_decay': 3.9908240577456037e-07, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.8937140663112184, 'resampling_k_neighbors': 2, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.3889187016024961, 'sequence_dropout': 0.17085133235954142, 'max_epochs': 60, 'patience': 8, 'scheduler_patience': 3}","[0.6447799513344701, 0.7955888472742405, 0.9112536087053075]"
0,14,TrialState.COMPLETE,0.6838524041589177,"{'loss': 'focal', 'learning_rate': 0.0007632070982899816, 'weight_decay': 2.4896890706124656e-07, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.9679574344598341, 'resampling_k_neighbors': 4, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.5314576275755519, 'sequence_dropout': 0.1512869192867014, 'max_epochs': 60, 'patience': 8, 'scheduler_patience': 5, 'focal_gamma': 1.1885092610886128}","[0.7257014590347923, 0.8190476190476191, 0.5068081343943414]"
0,15,TrialState.COMPLETE,0.8629221541165358,"{'loss': 'weighted_ce', 'learning_rate': 0.014149821667265373, 'weight_decay': 1.863167356279579e-06, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.9825977934016774, 'resampling_k_neighbors': 3, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.4143284780224963, 'sequence_dropout': 0.10646906157365817, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.7978625753999475, 0.8572772256982782, 0.9336266612513819]"
0,16,TrialState.COMPLETE,0.7184956847623535,"{'loss': 'weighted_ce', 'learning_rate': 0.01052481992640639, 'weight_decay': 1.3428180167398427e-05, 'batch_size': 64, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.7369055353178421, 'resampling_k_neighbors': 2, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.4881479651586469, 'sequence_dropout': 0.053416025192185294, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.7535958664990923, 0.8572772256982782, 0.5446139620896903]"
0,17,TrialState.COMPLETE,0.8415320775028441,"{'loss': 'weighted_ce', 'learning_rate': 0.004894995754569775, 'weight_decay': 2.2838223995970745e-07, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.8051210355985177, 'resampling_k_neighbors': 6, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.3718748653787719, 'sequence_dropout': 0.10834116387986778, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.8403886059234106, 0.807876842359601, 0.8763307842255209]"
0,18,TrialState.COMPLETE,0.8280687664331211,"{'loss': 'weighted_ce', 'learning_rate': 0.015897792702431284, 'weight_decay': 1.64944262930713e-07, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.9089634561541052, 'resampling_k_neighbors': 4, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.33512681871475414, 'sequence_dropout': 0.31458988915527875, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.7978625753999475, 0.8359806068043528, 0.8503631170950632]"
0,19,TrialState.COMPLETE,0.8671231007113178,"{'loss': 'weighted_ce', 'learning_rate': 0.013180103850895707, 'weight_decay': 1.9457410911181128e-06, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.7478605020277157, 'resampling_k_neighbors': 6, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.34118536203813116, 'sequence_dropout': 0.15471626971424213, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.8543472014276424, 0.8472727272727273, 0.899749373433584]"
