forecast_id,outer_fold,scope,candidate_id,seed,seconds,status
F3_LATE,2,development_oof,C-H2,42,82.71716239998932,PASS
F1_EARLY,-1,future_presentation,C-O0,42,9.187474499995004,PASS
F1_EARLY,-1,future_presentation,C-L0,42,24.446962200003327,PASS
F1_EARLY,-1,future_presentation,C-R0,42,26.403323299993644,PASS
F1_EARLY,-1,future_presentation,C-H0,42,30.448095600004308,PASS
F1_EARLY,-1,future_presentation,C-M0,42,27.17233059999125,PASS
F1_EARLY,-1,future_presentation,C-C0,42,31.98340760001156,PASS
F1_EARLY,-1,future_presentation,C-L1,42,45.79673969998839,PASS
F1_EARLY,-1,future_presentation,C-H1,42,47.32757190000848,PASS
F1_EARLY,-1,future_presentation,C-H2,42,55.8077317999996,PASS
F2_MIDDLE,-1,future_presentation,C-O0,42,9.513803599998935,PASS
F2_MIDDLE,-1,future_presentation,C-L0,42,27.75749160000123,PASS
F2_MIDDLE,-1,future_presentation,C-R0,42,24.355693100005738,PASS
F2_MIDDLE,-1,future_presentation,C-H0,42,38.65698240000347,PASS
F2_MIDDLE,-1,future_presentation,C-M0,42,28.6007166000054,PASS
F2_MIDDLE,-1,future_presentation,C-C0,42,33.33403420000104,PASS
F2_MIDDLE,-1,future_presentation,C-L1,42,90.09208850000869,PASS
F2_MIDDLE,-1,future_presentation,C-H1,42,93.03722949999792,PASS
F2_MIDDLE,-1,future_presentation,C-H2,42,99.2934782999946,PASS
F3_LATE,-1,future_presentation,C-O0,42,7.333311800000956,PASS
F3_LATE,-1,future_presentation,C-L0,42,28.806794200005243,PASS
F3_LATE,-1,future_presentation,C-R0,42,26.167693399998825,PASS
F3_LATE,-1,future_presentation,C-H0,42,47.22703860000183,PASS
F3_LATE,-1,future_presentation,C-M0,42,26.298299999994924,PASS
F3_LATE,-1,future_presentation,C-C0,42,29.819569600003888,PASS
F3_LATE,-1,future_presentation,C-L1,42,118.85232890000044,PASS
F3_LATE,-1,future_presentation,C-H1,42,120.92933210000048,PASS
F3_LATE,-1,future_presentation,C-H2,42,98.1143643999967,PASS
