candidate_id,forecast_id,seed,records,prevalence,threshold,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,npv,pr_auc,roc_auc,brier,nll,ece,class_collapse,confusion_matrix
C-H1,F1_EARLY,42,16566,0.4412652420620548,fold_specific,0.7229279311474301,0.7276952794881082,0.722252966833655,0.6975857687420585,0.675923392612859,0.6865837559924963,0.7685825410544511,0.7501845407571444,0.7643640686686606,0.7950648494207034,0.18296095291584846,0.5460366823525119,0.03857552345185934,False,"[[7114, 2142], [2369, 4941]]"
C-H1,F1_EARLY,2026,16566,0.4412652420620548,fold_specific,0.7205289901684891,0.7264879874441628,0.7192599882710013,0.703232411876554,0.6577291381668947,0.679720081996183,0.780790838375108,0.7428307123034228,0.7630167592142396,0.7951677589690778,0.18184844830130475,0.5431721599593916,0.02877919169145767,False,"[[7227, 2029], [2502, 4808]]"
C-H1,F1_EARLY,3407,16566,0.4412652420620548,fold_specific,0.7200689815516567,0.7241941325606664,0.7198676467632339,0.6891649413388544,0.6830369357045144,0.6860872552387496,0.7566983578219534,0.7514215212959983,0.7612601319702963,0.795256775802319,0.1832182366592094,0.5463385967053663,0.04075860724300162,False,"[[7004, 2252], [2317, 4993]]"
C-H1,F2_MIDDLE,42,15378,0.39784107166081417,fold_specific,0.8162676844132046,0.8235141110677592,0.8170457425844637,0.7742507251047374,0.7853873814972213,0.7797792924375203,0.8487041036717062,0.8568469254252071,0.8851236575082712,0.8996470952477447,0.12520400325745035,0.3912027386156273,0.06282986942298359,False,"[[7859, 1401], [1313, 4805]]"
C-H1,F2_MIDDLE,2026,15378,0.39784107166081417,fold_specific,0.8222515229724405,0.8304070750422682,0.820911349648419,0.794166946027489,0.7744360902255639,0.78417742469381,0.8673866090712743,0.8533786655333616,0.886819353276771,0.9012412828484019,0.12181571592502506,0.3833364569016342,0.053588331698337405,False,"[[8032, 1228], [1380, 4738]]"
C-H1,F2_MIDDLE,3407,15378,0.39784107166081417,fold_specific,0.8187809037563026,0.827090648979061,0.8174643106027817,0.7898441427853192,0.7703497875122589,0.7799751758378155,0.8645788336933046,0.8507066199128679,0.8864359039261258,0.900347150390767,0.12254268492937717,0.3841675692726886,0.0524015879289521,False,"[[8006, 1254], [1405, 4713]]"
C-H1,F3_LATE,42,14549,0.36353013952848995,fold_specific,0.873002309143394,0.8845281462643481,0.8668822614440419,0.8700020504408448,0.8022310455662696,0.8347432618532363,0.9315334773218142,0.8918527708850289,0.9290797346978689,0.9428595026067795,0.08629658404024593,0.2820924059354897,0.04051605189743767,False,"[[8626, 634], [1046, 4243]]"
C-H1,F3_LATE,2026,14549,0.36353013952848995,fold_specific,0.8743640092184766,0.8864526771599422,0.8663265929083019,0.8830840530861597,0.7925883910001891,0.8353925866879235,0.9400647948164147,0.8880840644766375,0.929728935060582,0.9433708332261384,0.08496987057661948,0.27781932697139594,0.036675269388542465,False,"[[8705, 555], [1097, 4192]]"
C-H1,F3_LATE,3407,14549,0.36353013952848995,fold_specific,0.8762310789257941,0.8886521410406214,0.8667571699198835,0.8944313050956784,0.7865380979391189,0.8370221327967807,0.946976241900648,0.8859365528389573,0.9297839634053148,0.9429037588507383,0.0839334924615168,0.27637801936454937,0.03277937158940559,False,"[[8769, 491], [1129, 4160]]"
C-H2,F1_EARLY,42,16566,0.4412652420620548,fold_specific,0.7426731199813962,0.7480381504285887,0.7413058206338152,0.7284382284382285,0.6839945280437757,0.7055171440666008,0.7986171132238548,0.7619047619047619,0.7973553714815242,0.8144811676856627,0.1721222701832048,0.5185795607518372,0.03185276548419434,False,"[[7392, 1864], [2310, 5000]]"
C-H2,F1_EARLY,2026,16566,0.4412652420620548,fold_specific,0.7414838196959124,0.746770493782446,0.7401858017633698,0.7261507187454624,0.6841313269493844,0.7045150383883919,0.7962402765773552,0.7614422977580328,0.7994000748116447,0.8158693381274039,0.17114614275983234,0.5149103411079459,0.02542127595351341,False,"[[7370, 1886], [2309, 5001]]"
C-H2,F1_EARLY,3407,16566,0.4412652420620548,fold_specific,0.7431232922262263,0.7466497645780514,0.7431407970516702,0.7127819548872181,0.7132694938440493,0.713025641025641,0.7730121002592912,0.7734298994703276,0.8007492692944743,0.8173459490025031,0.17171178929396116,0.5164513497357107,0.03775986719348746,False,"[[7155, 2101], [2096, 5214]]"
