dataset,task,stage,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_f1_min,seed_macro_f1_max,rows
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,0.48860759493670886,0.40973795515747574,0.43673890608875127,0.40973795515747574,0.41039048768740966,0.47140912594218237,0.48860759493670886,0.4683859366677162,0.4013185157949391,0.5816034441442379,1.8586985818673776,0.6798928690597904,0.16473790870128502,0.40918177641075115,0.0013129924738993256,0.407778314028314,0.4112876194972264,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hist_gradient_boosting,0.47341772151898737,0.43245448425242944,0.4482653111757257,0.43245448425242944,0.43788509698856953,0.4673428494593179,0.47341772151898737,0.46859671796974584,0.4512754091680242,0.6308231116959471,1.561041097849762,0.7527636039088074,0.293387872091602,0.43788509698856953,0.0,0.43788509698856953,0.43788509698856953,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,0.4151898734177215,0.4395972368575108,0.4272467185356424,0.4395972368575108,0.4135582605142271,0.46461024123168687,0.4151898734177215,0.4238995627518076,0.4624081616421924,0.6444952182385374,1.0178269873296248,0.6231018325248971,0.10299620047139194,0.41495519500046363,0.03032826359495542,0.38501501251428377,0.4654200464333482,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,logistic_regression,0.3949367088607595,0.4531813458611404,0.4280926583298125,0.4531813458611404,0.397920753696986,0.4663884971785108,0.3949367088607595,0.39277345524059487,0.44086295190762526,0.6308779765790441,1.0658093889445304,0.6564080345197031,0.13810914499044089,0.397920753696986,0.0,0.397920753696986,0.397920753696986,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,mlp,0.5037974683544304,0.41919088806931276,0.4835832083958021,0.41919088806931276,0.4218916160092631,0.4967997014151152,0.5037974683544304,0.47583550725769636,0.4557641223535322,0.6404319106266292,1.0175185089299268,0.6113465478574491,0.11917640332826887,0.4376892907743023,0.016608818072123804,0.40900603889739306,0.458121538994453,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,random_forest,0.4379746835443038,0.44341997424189206,0.4282828282828283,0.44341997424189206,0.4296116698045338,0.45567318757192177,0.4379746835443038,0.4424766810646234,0.43262449453042934,0.6220531527851049,1.0402685346889309,0.6316238833103948,0.05770825858419444,0.42983282411320156,0.006323529951854062,0.42381951381951377,0.44000507702329644,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,svm,0.5037974683544304,0.4464535036880927,0.4688750969300015,0.4464535036880927,0.45227050362545046,0.49817371544136896,0.5037974683544304,0.4953264865070784,0.47245260961418406,0.6413332625521423,1.0579717211781297,0.6379086450132219,0.14357319234416036,0.45634299269684336,0.005348576529579508,0.44743529178905234,0.461749513065196,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,xgboost,0.5012658227848101,0.4139324288724974,0.4514774183989642,0.4139324288724974,0.4116042279255048,0.48094036370521415,0.5012658227848101,0.47366334759007034,0.4366469252751142,0.6243831814950574,1.0422551268414793,0.6284323601203903,0.12425965647101946,0.41028675922941205,0.007416615017444229,0.40042125726665034,0.41989231356255563,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,decision_tree,0.7291139240506329,0.7321767796510947,0.7322109611095716,0.7321767796510947,0.7310114863445788,0.7310092421417073,0.7291139240506329,0.7289517135552901,0.7526784532126909,0.8556721446595338,1.311340316286774,0.3992238369049779,0.1293017776696648,0.729600099761133,0.0011523923197506837,0.7286591753721693,0.7310114863445788,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hist_gradient_boosting,0.6987341772151898,0.6873927965109473,0.7205613609975264,0.6873927965109473,0.7013662551440328,0.7027720426273442,0.6987341772151898,0.6985766526019691,0.76359946007293,0.8595660469884964,0.9533094470695932,0.473494003599488,0.1905616162655161,0.7013662551440328,0.0,0.7013662551440328,0.7013662551440328,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,0.7367088607594937,0.775411617492097,0.732069733630337,0.775411617492097,0.743811236189285,0.7486850358509931,0.7367088607594937,0.7321943698989083,0.8301186365547307,0.8998146655244067,0.5859908762463422,0.3703609852218586,0.0479047620369326,0.7228526968004247,0.017190827837044873,0.6949600626711843,0.7421922331375207,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,logistic_regression,0.7139240506329114,0.7543368018967334,0.7069754101347051,0.7543368018967334,0.7224065004705791,0.7212966139996319,0.7139240506329114,0.7104574339129004,0.8332899254484115,0.9003711751741313,0.5676806384315443,0.36734013061635495,0.07231390360773497,0.7224065004705791,0.0,0.7224065004705791,0.7224065004705791,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,mlp,0.7291139240506329,0.7273445732349842,0.7351293847723311,0.7273445732349842,0.7305771725709844,0.7304211951039691,0.7291139240506329,0.7290272836257705,0.8044830174511657,0.8903415787371936,0.5804666744971884,0.3618564237018459,0.06524037974276573,0.731638285250815,0.008188500099042366,0.7254954819820946,0.7478632478632479,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,random_forest,0.7012658227848101,0.7213594719587869,0.7063062314293432,0.7213594719587869,0.7117961402917009,0.703679868112665,0.7012658227848101,0.7001137022240241,0.8077817945486697,0.8852815619392475,0.5786507654015898,0.36195897367303753,0.04416097198076729,0.7149040361561769,0.0038882085018171085,0.708365657046009,0.7203299444563864,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,svm,0.7265822784810126,0.7139419418100926,0.7378361650485438,0.7139419418100926,0.7244611493131897,0.7284968508049651,0.7265822784810126,0.7264354556997258,0.7822883340098382,0.8755502790143547,0.6083187870202923,0.38302020003707343,0.05210677722465654,0.722970171811776,0.0037105653552367817,0.7181604966077698,0.7281760117619859,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,xgboost,0.7063291139240506,0.6979152031378059,0.7237531269543465,0.6979152031378059,0.7092246809574642,0.7090111204787802,0.7063291139240506,0.7063589522970952,0.802873255830869,0.8820369587930457,0.597640761169503,0.382742282629178,0.09884180083100798,0.7071291845406874,0.003975782698724789,0.7002474179253498,0.71232493324587,395
student_mat,EARLY_WARNING,S2_LATE_G1_G2,decision_tree,0.8531645569620253,0.8632811585294462,0.861273701026608,0.8632811585294462,0.8622592618128332,0.8529722834403436,0.8531645569620253,0.8530565698739297,0.8833085209392952,0.9328154301383198,0.8846258446317744,0.22318432756401366,0.06622977522425175,0.8609083645171685,0.0011030030230947837,0.8600077663200586,0.8622592618128332,395
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hist_gradient_boosting,0.8455696202531645,0.847926545486477,0.8611512046901937,0.847926545486477,0.8541729476977635,0.8465479488295283,0.8455696202531645,0.8457583130149042,0.9133284026583429,0.9491781801289294,0.53201203091671,0.2532725712321011,0.09250632941978293,0.8541729476977636,1.1102230246251565e-16,0.8541729476977635,0.8541729476977635,395
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,0.8405063291139241,0.8735086640908559,0.8359863039781238,0.8735086640908559,0.846139241860266,0.8551532762545384,0.8405063291139241,0.8383160787601404,0.9462193735288649,0.9671950932112451,0.41979138237192204,0.24001328435913932,0.10530683000153179,0.842592103953254,0.01577251080884913,0.8145727815968412,0.8576435695106581,395
