dataset,task,stage,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,threshold,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,tn,fp,fn,tp,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_f1_min,seed_macro_f1_max,rows
oulad,EARLY_WARNING,E1_EARLY_20PCT,decision_tree,0.6667873958710612,0.6315809791585626,0.7153110015446955,0.6315809791585626,0.6126335808791684,0.7062680081870156,0.6667873958710612,0.6296473561413937,0.685275787836733,0.7166344646338766,0.9682118356542622,0.2294840580372226,0.10782737412603366,,0.7922926192031352,0.3318741450068399,0.46779791747011185,0.6383293838862559,0.9312878133102852,0.7574692442882249,0.9312878133102852,8620,636,4884,2426,0.6107576423028684,0.0004162544696294299,0.6103086819231176,0.6114968448037315,16566
oulad,EARLY_WARNING,E1_EARLY_20PCT,hist_gradient_boosting,0.7210551732464083,0.7010532303814172,0.7333722386136008,0.7010532303814172,0.7020393784508732,0.7296410727972003,0.7210551732464083,0.710881609435846,0.7740317478726624,0.7853857061105481,0.542411182990781,0.1829186218102533,0.014184703851566609,,0.7651350818379018,0.53077975376197,0.6267668201276149,0.7016093953892997,0.8713267070008643,0.7773119367741314,0.8713267070008643,8065,1191,3430,3880,0.7028972756508072,0.001348069278589089,0.7008101386792056,0.7043393021214985,16566
oulad,EARLY_WARNING,E1_EARLY_20PCT,hybrid,0.7104913678618858,0.7087557654767802,0.7071547480264075,0.7087557654767802,0.7076821065642934,0.712141738963305,0.7104913678618858,0.7110483765674428,0.7686047752571019,0.782038012537732,0.5568370212266528,0.18915184312323946,0.010640321184454786,,0.6647012578616353,0.6939808481532148,0.6790255655200107,0.7496082381911797,0.7235306828003457,0.7363386476085761,0.7235306828003457,6697,2559,2237,5073,0.7022161622020939,0.0025468799274344007,0.6973535778786576,0.7047136995367307,16566
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,0.7168296510925993,0.6974300841721184,0.72689911617395,0.6974300841721184,0.6984197672966153,0.7237588631213365,0.7168296510925993,0.707172670757887,0.7584179351468077,0.7766878466528016,0.5638445977208223,0.19175333646525894,0.010537640997567235,,0.7536316095293434,0.5322845417236662,0.6239076405034876,0.7001666228185566,0.8625756266205704,0.7729318940897429,0.8625756266205704,7984,1272,3419,3891,0.6984197672966153,0.0,0.6984197672966153,0.6984197672966153,16566
oulad,EARLY_WARNING,E1_EARLY_20PCT,mlp,0.7209344440420138,0.69914763758813,0.7379137590961897,0.69914763758813,0.6994098540374305,0.733138940151764,0.7209344440420138,0.7088587266178319,0.7707855842680266,0.7831154147655324,0.5474429208771203,0.18445484065749507,0.01534545958671602,,0.7785610615799295,0.5136798905608755,0.6189730487101294,0.69726645661245,0.8846153846153846,0.7798466593647316,0.8846153846153846,8188,1068,3555,3755,0.6947572589392509,0.0025330518682632787,0.6905566618523626,0.6980920625069316,16566
oulad,EARLY_WARNING,E1_EARLY_20PCT,random_forest,0.7161052758662321,0.696206638471352,0.7271480181836707,0.696206638471352,0.6969882847956819,0.7237776956382291,0.7161052758662321,0.705928843465062,0.7605992321502097,0.7772920763047033,0.5547171868635817,0.18791677665599932,0.02394536390592493,,0.7558390578999019,0.526812585499316,0.6208786779524386,0.6984569784674396,0.865600691443388,0.7730978916389251,0.865600691443388,8012,1244,3459,3851,0.6968562815646424,0.000989209090342528,0.6958218971151439,0.6985171226556547,16566
oulad,EARLY_WARNING,E1_EARLY_20PCT,svm,0.7196667873958711,0.7017233913122645,0.7272383231531083,0.7017233913122645,0.7032537954930143,0.7247179316745616,0.7196667873958711,0.7114518658839176,0.7517645167317077,0.7752197561503346,0.5640471843906949,0.1902660637200609,0.04256706205535557,,0.7486940298507463,0.5489740082079343,0.6334648776637727,0.7057826164554702,0.8544727744165946,0.7730427133222559,0.8544727744165946,7909,1347,3297,4013,0.7032537954930143,0.0,0.7032537954930143,0.7032537954930143,16566
oulad,EARLY_WARNING,E1_EARLY_20PCT,xgboost,0.7238319449474828,0.7054507033260933,0.7330204535082584,0.7054507033260933,0.707049906561616,0.7300323456106531,0.7238319449474828,0.7152864378854236,0.775694099080938,0.7874330563263878,0.5401453160316187,0.18222133173957614,0.00620837603978697,,0.7584577584577584,0.5489740082079343,0.6369335767002618,0.7075831485587584,0.8619273984442524,0.7771662364229701,0.8619273984442524,7978,1278,3297,4013,0.7067958124721244,0.002682611193066592,0.7023843851821153,0.7101981710174414,16566
oulad,EARLY_WARNING,E2_EARLY_35PCT,decision_tree,0.7211212843346294,0.6878649533546293,0.735705157593309,0.6878649533546293,0.6899372753588193,0.7307317126156739,0.7211212843346294,0.7057975227556521,0.7101563554624412,0.755801754642939,0.9860084786804207,0.2080085419883559,0.10093971968175719,,0.7665397429795335,0.4816808733363242,0.5916062080999174,0.7048705722070845,0.8940490333729344,0.7882683426177213,0.8940490333729344,8278,981,3466,3221,0.6898396973985597,0.0002687307549814223,0.689541428894749,0.6902709390536479,15946
oulad,EARLY_WARNING,E2_EARLY_35PCT,hist_gradient_boosting,0.7664618086040387,0.747450005316165,0.7676670025770953,0.747450005316165,0.7523852251144394,0.7670509932570035,0.7664618086040387,0.7619078376171351,0.8166545722040215,0.8303405254431915,0.48160117613301295,0.15936826230753662,0.006679430045288709,,0.7714861645592817,0.629579781665919,0.6933465085638999,0.763847840594909,0.865320228966411,0.8114239416649788,0.865320228966411,8012,1247,2477,4210,0.7493178857578573,0.0010631166606900942,0.7473796812161073,0.7504938909196306,15946
oulad,EARLY_WARNING,E2_EARLY_35PCT,hybrid,0.7576194656967264,0.7458384474065409,0.7522570779482503,0.7458384474065409,0.748207365275161,0.7560946019574546,0.7576194656967264,0.7560594321853998,0.8143162263070451,0.8300543828416966,0.4874879341786515,0.16143152508670175,0.013542141905737798,,0.7284650259067358,0.6727979662030806,0.699525771592941,0.7760491299897646,0.8188789286100011,0.7968889589573809,0.8188789286100011,7582,1677,2188,4499,0.7451791958478892,0.0028463832273915844,0.740960752871993,0.749184893642876,15946
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,0.7577448890003763,0.740151499477517,0.7563027637809826,0.740151499477517,0.7444045151433444,0.7570896000271177,0.7577448890003763,0.7538229728870407,0.8020184085396096,0.8221441425124372,0.5138392706108426,0.17155255195933486,0.016815798035788747,,0.7514245014245015,0.6310752205772394,0.6860115419003495,0.7611810261374637,0.8492277783777946,0.8027974883863392,0.8492277783777946,7863,1396,2467,4220,0.7444045151433444,0.0,0.7444045151433444,0.7444045151433444,15946
oulad,EARLY_WARNING,E2_EARLY_35PCT,mlp,0.7654584221748401,0.7441973812682636,0.7694331487110349,0.7441973812682636,0.7495743169356228,0.7675608050020435,0.7654584221748401,0.7597471054503806,0.815751201813265,0.8294055248351799,0.4833303185792952,0.1597541550089338,0.011278345895257115,,0.7810413885180241,0.6123822341857336,0.6865046102263203,0.7578249089040456,0.8760125283507938,0.8126440236449254,0.8760125283507938,8111,1148,2592,4095,0.744247989413863,0.002171656625388005,0.7402766642758399,0.7460845371869509,15946
oulad,EARLY_WARNING,E2_EARLY_35PCT,random_forest,0.7566787909193529,0.7376756912585207,0.7565108275465324,0.7376756912585207,0.7422243131874885,0.7565975748949046,0.7566787909193529,0.752069894947646,0.8076182078626701,0.8232467521203649,0.49331952332069917,0.16397319594798596,0.026280194157613592,,0.7559730074776582,0.6198594287423359,0.6811832374691865,0.7570486476154067,0.8554919537747057,0.8032653889057905,0.8554919537747057,7921,1338,2542,4145,0.7416864299955565,0.0010963345796036817,0.7402517688843575,0.7430139177339684,15946
oulad,EARLY_WARNING,E2_EARLY_35PCT,svm,0.7616330114135206,0.7436657566923314,0.7610386107146861,0.7436657566923314,0.7481543014381392,0.761356712794878,0.7616330114135206,0.7575517647226827,0.8043442042162706,0.8242672652169389,0.4973662863903889,0.16394594326876435,0.021771426139156377,,0.7590664272890485,0.6322715717062958,0.6898914905768132,0.7630107941403238,0.855059941678367,0.8064171122994652,0.855059941678367,7917,1342,2459,4228,0.7481543014381392,0.0,0.7481543014381392,0.7481543014381392,15946
oulad,EARLY_WARNING,E2_EARLY_35PCT,xgboost,0.7643296124419917,0.7484387328659469,0.7621140793102739,0.7484387328659469,0.7524298696689855,0.7634032990421241,0.7643296124419917,0.7611844859196069,0.8180142549738363,0.8323201528781432,0.4795955081360501,0.15876087260123822,0.008007668844491589,,0.754121117473538,0.6499177508598774,0.698152610441767,0.7701070411470097,0.8469597148720164,0.8067071288962041,0.8469597148720164,7842,1417,2341,4346,0.7512486071864632,0.0014348846686944735,0.7492492781527049,0.7533057736899484,15946
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,decision_tree,0.7748731954740539,0.7474846203215806,0.7745876876194655,0.7474846203215806,0.7546999839435875,0.7747456773480876,0.7748731954740539,0.7690728253559969,0.7662388849541208,0.807758097233882,0.8478685963898196,0.1758008604168195,0.0894198420304679,,0.7738144329896908,0.6134357633213469,0.6843544857768052,0.7753609422492401,0.8815334773218143,0.8250454821103699,0.8815334773218143,8163,1097,2365,3753,0.7544723014313066,0.0004464859213663134,0.7537026704042862,0.7550814265304049,15378
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,hist_gradient_boosting,0.8039406944986344,0.7916142890327519,0.7964934825916943,0.7916142890327519,0.7937704203598122,0.8028381517380082,0.8039406944986344,0.8031276681911972,0.8606241571843837,0.8743895257911894,0.40783156500582357,0.13171511377167072,0.011413412242592708,,0.7654405474764756,0.7312847335730631,0.7479729164925186,0.8275464177069128,0.8519438444924406,0.8395679242271058,0.8519438444924406,7889,1371,1644,4474,0.7900388095192723,0.0008323256596359872,0.7887915037017117,0.7909989229834107,15378
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,hybrid,0.8090128755364807,0.7886437852542898,0.8075668513252767,0.7886437852542898,0.7950714191879414,0.8084978775694577,0.8090128755364807,0.805992400451245,0.8600551791243944,0.874988420671361,0.4090832590651556,0.13197281460701699,0.00479088442309012,,0.8030100971613641,0.6889506374632233,0.74162048033782,0.8121236054891895,0.8883369330453563,0.8485223580380629,0.8883369330453563,8226,1034,1903,4215,0.7936874242544418,0.0010080454856943638,0.7923890226513135,0.7948789220941281,15378
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,0.7983482897645988,0.787414346505761,0.790030564654812,0.787414346505761,0.78863254025954,0.7976013329905449,0.7983482897645988,0.7978915287171969,0.8513077573599027,0.8686967677433796,0.4295681026849065,0.1391270371467159,0.019537768874932932,,0.752976689585779,0.7338999673095783,0.7433159506663356,0.8270844397238449,0.8409287257019439,0.8339491298527443,0.8409287257019439,7787,1473,1628,4490,0.78863254025954,0.0,0.78863254025954,0.78863254025954,15378
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,mlp,0.8030953309923267,0.7910787274317825,0.7954633738001675,0.7910787274317825,0.7930378161622833,0.8020548002701411,0.8030953309923267,0.8023595599959106,0.8616278585101207,0.8751920474018176,0.4073692715217839,0.13127083950972113,0.007735880773494182,,0.7632027257240205,0.7322654462242563,0.7474140807474141,0.8277240218763147,0.8498920086393088,0.8386615515771526,0.8498920086393088,7870,1390,1638,4480,0.7897599996325385,0.0016770496853828988,0.7868085966897153,0.7919527717158394,15378
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,random_forest,0.7996488490050722,0.7882446867473878,0.7915571910062709,0.7882446867473878,0.7897609182976342,0.7987635372172215,0.7996488490050722,0.7990766239296494,0.855869036946078,0.8704809640073513,0.4168856329716763,0.13409486343349294,0.02152231959551484,,0.7562869198312236,0.7324288983327885,0.7441667358631571,0.8268274621813181,0.844060475161987,0.8353551007321114,0.844060475161987,7816,1444,1637,4481,0.7871244993264911,0.0008399678067739549,0.7857930985101448,0.7883472139350491,15378
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,svm,0.8015346599037586,0.7913911927908794,0.7932078048115083,0.7913911927908794,0.7922557709533637,0.800999043256967,0.8015346599037586,0.8012263152863301,0.8521265598999039,0.8703299473211152,0.4231477690143916,0.1343485176809781,0.015467804993115212,,0.7550748752079867,0.7417456685191239,0.7483509234828496,0.8313407344150299,0.8410367170626349,0.836160618423878,0.8410367170626349,7788,1472,1580,4538,0.7922557709533637,0.0,0.7922557709533637,0.7922557709533637,15378
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,xgboost,0.8004942125113799,0.7902222277922245,0.7921362822338625,0.7902222277922245,0.7911305894986955,0.7999287501661948,0.8004942125113799,0.8001663706737122,0.8618979816065718,0.8758534459446579,0.40590116390695,0.131000471114819,0.010318690403898203,,0.7539973351099267,0.7399476953252697,0.7469064510806798,0.8302752293577982,0.8404967602591793,0.8353547279167114,0.8404967602591793,7783,1477,1591,4527,0.7913620658465519,0.0007875336409089244,0.7903905596138248,0.7924442610137712,15378
oulad,EARLY_WARNING,L1_LATE_75PCT,decision_tree,0.8176289716433208,0.8058912049826712,0.8034268104990308,0.8058912049826712,0.8046079409327623,0.8184568829712637,0.8176289716433208,0.8179977514966902,0.8438520891494019,0.873695745642674,0.6023636320679853,0.1286592557139035,0.05992875571771239,,0.7468077344035023,0.7616744186046511,0.7541678179976052,0.8600458865945592,0.8501079913606912,0.8550480638679194,0.8501079913606912,7872,1388,1281,4094,0.8040741993499477,0.0004336540075043514,0.8036127051200708,0.8047824645455957,14635
oulad,EARLY_WARNING,L1_LATE_75PCT,hist_gradient_boosting,0.837444482405193,0.835560851876036,0.8238976723439947,0.835560851876036,0.8284561458873385,0.842593713938224,0.837444482405193,0.8388799331625221,0.9062481485903863,0.9192018484102668,0.3124525248443488,0.09632803298838095,0.00456478164214272,,0.7534686971235195,0.8284651162790697,0.7891891891891892,0.8943266475644699,0.8426565874730022,0.8677231025854879,0.8426565874730022,7803,1457,922,4453,0.8273371521657925,0.0016996071901441044,0.8250844060061321,0.8302058453570107,14635
oulad,EARLY_WARNING,L1_LATE_75PCT,hybrid,0.8686709941920054,0.8399425385504043,0.8750810856896676,0.8399425385504043,0.8524909688936928,0.8707940818218044,0.8686709941920054,0.8654596914610426,0.9060284909680834,0.919789542418002,0.3117313767918802,0.09593831916602921,0.005896090424406721,,0.8912304554724677,0.7317209302325581,0.8036371066612178,0.8589317159068676,0.9481641468682506,0.9013448311261677,0.9481641468682506,8780,480,1442,3933,0.8511532804665732,0.0016989354118673568,0.8490969836917863,0.8537037219245122,14635
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,0.8348479672019132,0.8314015269476116,0.8211406406971582,0.8314015269476116,0.8253081651114832,0.8391619481323437,0.8348479672019132,0.8361450455563139,0.8998483884889074,0.9133107438846753,0.32965846282913414,0.10240210443858308,0.012406387899964724,,0.7532534246575342,0.8184186046511628,0.784485064645564,0.8890278567367823,0.8443844492440604,0.8661312655774024,0.8443844492440604,7819,1441,976,4399,0.8253081651114831,1.1102230246251565e-16,0.8253081651114832,0.8253081651114832,14635
oulad,EARLY_WARNING,L1_LATE_75PCT,mlp,0.8353262726340963,0.836423778190768,0.822061823535924,0.836423778190768,0.8271175715897708,0.8427326557647244,0.8353262726340963,0.8371178235675708,0.907409067544287,0.9209224169973379,0.30963774722182674,0.09530272011336192,0.006426674217431373,,0.7441937077911382,0.8405581395348837,0.789446094705574,0.89992993928071,0.8322894168466523,0.8647890484739676,0.8322894168466523,7707,1553,857,4518,0.821226086727969,0.007192362296507563,0.8082873085119768,0.827091809570387,14635
oulad,EARLY_WARNING,L1_LATE_75PCT,random_forest,0.8399043389135634,0.8361387312270832,0.8264154623838194,0.8361387312270832,0.8304493396433964,0.8437277469289318,0.8399043389135634,0.84107800635769,0.9035636378641514,0.916563996182631,0.3189638245766447,0.09838129325039212,0.0246194123480518,,0.7611991729841489,0.821953488372093,0.790410591287235,0.89163175178349,0.8503239740820734,0.8704880879995578,0.8503239740820734,7874,1386,957,4418,0.8281412067777898,0.001188057310411856,0.8264058602401734,0.8295639760309542,14635
oulad,EARLY_WARNING,L1_LATE_75PCT,svm,0.8415442432524769,0.8388005926967703,0.8281224795567426,0.8388005926967703,0.8324477595913704,0.84588859606711,0.8415442432524769,0.8428113487477923,0.896838180664879,0.9105486563865588,0.33980741601796044,0.10042056841670229,0.03938598668093354,,0.7611965811965812,0.8284651162790697,0.7934075723830735,0.8950483779169038,0.8491360691144708,0.8714879467996675,0.8491360691144708,7863,1397,922,4453,0.8324477595913704,0.0,0.8324477595913704,0.8324477595913704,14635
oulad,EARLY_WARNING,L1_LATE_75PCT,xgboost,0.8409292791253844,0.8389781003566226,0.8275019223898407,0.8389781003566226,0.8320391332687092,0.8458119543019457,0.8409292791253844,0.8422969938725652,0.9074285750424418,0.9206245215731579,0.3102473755928583,0.09565214160556153,0.010395451761530259,,0.758527066010521,0.8316279069767442,0.7933972310969116,0.8964767787691603,0.8463282937365011,0.8706810354405066,0.8463282937365011,7837,1423,905,4470,0.8296282857640367,0.0008345642258669107,0.8289406450751524,0.8310946911001607,14635
oulad,MAIN,FINAL,decision_tree,0.8939127992698167,0.856680348172989,0.9126733403891851,0.856680348172989,0.875871480205963,0.9004845458627475,0.8939127992698167,0.8900819261794626,0.8994442023102369,0.9151292797238472,0.33885521447487005,0.09198619362965968,0.020566933306924082,,0.9532637075718016,0.732691149909693,0.8285487348235561,0.8720829732065687,0.9806695464362851,0.9231942255883698,0.9806695464362851,9081,179,1332,3651,0.8758628242061718,3.358485579408006e-05,0.8757971093530912,0.8758870256329208,14243
