candidate_id,stage,runtime_seconds
R0,outer_evaluation,0.0
M1,outer_evaluation,0.21587439999893832
M2,outer_evaluation,0.04020459999992454
N0,outer_evaluation,6.915378099998634
N0,outer_evaluation,3.150830099999439
N0,outer_evaluation,3.2352769000008266
N1,outer_evaluation,8.58654359999855
N1,outer_evaluation,6.760348800000429
N1,outer_evaluation,5.573615299999801
N2,outer_evaluation,2.590565399999832
N2,outer_evaluation,3.1550466999997298
N2,outer_evaluation,1.8222223000011581
N3,outer_evaluation,7.121952499999679
N3,outer_evaluation,3.933781399999134
N3,outer_evaluation,3.43335450000086
A1,outer_evaluation,2.6227584000007482
A1,outer_evaluation,4.251756699999532
A1,outer_evaluation,4.151738999998997
A2,outer_evaluation,4.371797900001184
A2,outer_evaluation,6.679505599999175
A2,outer_evaluation,6.121106700000382
R0,outer_evaluation,0.0
M1,outer_evaluation,0.41253580000011425
M2,outer_evaluation,0.03924819999883766
N0,outer_evaluation,2.543667399999322
N0,outer_evaluation,3.334045100000367
N0,outer_evaluation,3.056119099999705
N1,outer_evaluation,4.747174000000086
N1,outer_evaluation,6.167292799998904
N1,outer_evaluation,5.786396999999852
N2,outer_evaluation,0.7760337999989133
N2,outer_evaluation,2.7303811000001588
N2,outer_evaluation,0.825820100000783
N3,outer_evaluation,0.399436899999273
N3,outer_evaluation,3.1411200999991706
N3,outer_evaluation,0.4397728999992978
A1,outer_evaluation,2.319998199998736
A1,outer_evaluation,0.49794110000038927
A1,outer_evaluation,1.3582797999988543
A2,outer_evaluation,1.744986699999572
A2,outer_evaluation,4.457910500001162
A2,outer_evaluation,2.372342299999218
R0,outer_evaluation,0.0
M1,outer_evaluation,0.14850899999873945
M2,outer_evaluation,0.040278100001160055
N0,outer_evaluation,8.811315200000536
N0,outer_evaluation,2.7406754000003275
N0,outer_evaluation,3.3516020999995817
N1,outer_evaluation,5.925881500001196
N1,outer_evaluation,5.727419799999552
N1,outer_evaluation,5.831581799999185
N2,outer_evaluation,4.081333600001017
N2,outer_evaluation,1.599938999999722
N2,outer_evaluation,3.3336602999988827
N3,outer_evaluation,2.1175366999996186
N3,outer_evaluation,2.7165732000012213
N3,outer_evaluation,2.9776536999997916
A1,outer_evaluation,4.486316099999385
A1,outer_evaluation,3.4312106000015774
A1,outer_evaluation,4.0447302000011405
A2,outer_evaluation,5.47952720000103
A2,outer_evaluation,4.344527199998993
A2,outer_evaluation,5.031076100000064
R0,outer_evaluation,0.0
M1,outer_evaluation,0.2631736000003002
M2,outer_evaluation,0.038676399999530986
N0,outer_evaluation,4.7822364999992715
N0,outer_evaluation,2.5172882999995636
N0,outer_evaluation,7.838440300000002
N1,outer_evaluation,3.3875785999989603
N1,outer_evaluation,3.5521425000006275
N1,outer_evaluation,3.579776700000366
N2,outer_evaluation,2.8217382000002544
N2,outer_evaluation,2.2758689999991475
N2,outer_evaluation,1.7358638999994582
N3,outer_evaluation,6.568449499998678
N3,outer_evaluation,3.1954492999993818
N3,outer_evaluation,5.300486100000853
A1,outer_evaluation,5.109786299999541
A1,outer_evaluation,4.7576224000004
A1,outer_evaluation,1.1195705000009184
A2,outer_evaluation,6.76665519999915
A2,outer_evaluation,6.793207900000198
A2,outer_evaluation,2.055955300000278
R0,outer_evaluation,0.0
M1,outer_evaluation,0.2653458999993745
M2,outer_evaluation,0.04022690000056173
N0,outer_evaluation,4.912323299999116
N0,outer_evaluation,3.4448018000002776
N0,outer_evaluation,1.6349555000015243
N1,outer_evaluation,5.091125999999349
N1,outer_evaluation,4.517859899999166
N1,outer_evaluation,5.014384600002813
N2,outer_evaluation,2.4708331000001635
N2,outer_evaluation,1.4388615999996546
N2,outer_evaluation,2.3587604999993346
N3,outer_evaluation,4.473980499999016
N3,outer_evaluation,2.7998938000018825
N3,outer_evaluation,1.730588499998703
A1,outer_evaluation,3.862321200002043
A1,outer_evaluation,3.914386700002069
A1,outer_evaluation,3.933442900000955
A2,outer_evaluation,5.43974629999866
A2,outer_evaluation,1.2365960999995878
A2,outer_evaluation,3.916401999998925
