stage,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,risk_precision_mean,risk_precision_std,risk_recall_mean,risk_recall_std,risk_f1_mean,risk_f1_std
20pct,0.7589808330917381,0.006627257794229301,0.6963211820840501,0.014861558643908016,0.6230666394964314,0.03224293300751311,0.7382987350484623,0.04888354669322119,0.673848971379656,0.008404012216026012
35pct,0.8014250406994685,0.006334926604544465,0.75184173424873,0.007895093689895787,0.685489725125581,0.013985306397332297,0.7061707745648644,0.02154414384404605,0.6952977840848432,0.005658577777526043
50pct,0.8438954723746925,0.009060369050618772,0.8048242224120679,0.007210307638285862,0.7664865273671471,0.02273822241004381,0.6941324960015588,0.028961721870388802,0.7278411644255154,0.012798480849052413
75pct,0.8850830059603901,0.008177811989096144,0.8621460770644718,0.0058263397084888915,0.8491447081128602,0.02804469086097524,0.7217920708951941,0.03206043935165209,0.779381124235846,0.012488631326078775
