representation,fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,threshold_source,train_pr_auc,generalization_gap
D3_both_safe,0,42,20pct,0.7613873402079986,0.7860880267597514,0.6741306191687871,0.5849480483010391,0.8246239113222487,0.6844093970757352,0.22,stop_only,0.7732663393208806,0.011878999112882
D3_both_safe,0,42,35pct,0.8075365945719202,0.8314614605054617,0.7492947813822285,0.6778360920468308,0.7290490664350847,0.702510460251046,0.3,stop_only,0.8107003631274838,0.0031637685555636
D3_both_safe,0,42,50pct,0.8544835299196281,0.8768383364916994,0.8119392052737594,0.7769110764430577,0.7141491395793499,0.7442092154420922,0.33,stop_only,0.8483529176516673,-0.0061306122679607
D3_both_safe,0,42,75pct,0.8960005585867633,0.91730660905583,0.8670306102554104,0.8420050761421319,0.7539772727272728,0.7955635491606715,0.38,stop_only,0.8898518324558844,-0.0061487261308789
D3_both_safe,0,1201,20pct,0.7621568364176247,0.7844542610222638,0.6868532654792197,0.6048088779284834,0.7767220902612827,0.6800693240901213,0.49,stop_only,0.7894997857998107,0.027342949382186
D3_both_safe,0,1201,35pct,0.8114518835544847,0.8321078227619272,0.7501763046544428,0.6802278275020341,0.7260095527572731,0.7023734509556816,0.46,stop_only,0.8265900415448906,0.0151381579904058
D3_both_safe,0,1201,50pct,0.8580524444600154,0.8786838381894986,0.8159677714704267,0.7968323320589842,0.6974187380497132,0.7438185062452205,0.49,stop_only,0.8598399319704472,0.0017874875104317
D3_both_safe,0,1201,75pct,0.896435233721591,0.9163258250357538,0.869175277831936,0.8474792597319719,0.7545454545454545,0.798316801923655,0.5,stop_only,0.8980333480198222,0.0015981142982312
D3_both_safe,0,2026,20pct,0.7601102583631614,0.7798691765331852,0.6868532654792197,0.6080737444373808,0.7573238321456849,0.6745416078984485,0.44,stop_only,0.7894842508154899,0.0293739924523285
D3_both_safe,0,2026,35pct,0.8097292751392807,0.8306300182489397,0.7535260930888575,0.6971677559912854,0.6947459834997829,0.6959547629404089,0.44,stop_only,0.8256200460978884,0.0158907709586076
D3_both_safe,0,2026,50pct,0.854342859441337,0.8757232601602623,0.807727522431789,0.7710718002081165,0.7084130019120459,0.7384155455904334,0.42,stop_only,0.8577545164391959,0.0034116569978588
D3_both_safe,0,2026,75pct,0.8946270910546766,0.9160752111497882,0.8641060635601482,0.840486867392697,0.7454545454545455,0.7901234567901234,0.39,stop_only,0.8950051425550627,0.000378051500386
D3_both_safe,1,42,20pct,0.7634940127198186,0.7827385360917026,0.7113678218650594,0.6545454545454545,0.7086067155538402,0.6805040770941438,0.35,stop_only,0.7848037654059086,0.0213097526860899
D3_both_safe,1,42,35pct,0.7982892936673345,0.8225536980141349,0.7493002099370188,0.7048658481127785,0.6640959725792631,0.6838738142510479,0.38,stop_only,0.827437844480556,0.0291485508132215
D3_both_safe,1,42,50pct,0.8355076124781196,0.86135491459929,0.7966502821773166,0.7820658342792282,0.6527711984841308,0.7115930802995094,0.37,stop_only,0.8644066357708646,0.028899023292745
D3_both_safe,1,42,75pct,0.8783436860248145,0.9037900341008888,0.8586935452607094,0.8797101449275362,0.6831738885762522,0.7690845739626228,0.47,stop_only,0.9020955668115144,0.0237518807866999
D3_both_safe,1,1201,20pct,0.7656162634570342,0.7835813639580762,0.7061778001004521,0.643840330350998,0.722115013508298,0.6807349463343642,0.33,stop_only,0.784833112908919,0.0192168494518848
D3_both_safe,1,1201,35pct,0.7978471445241245,0.8196101696718907,0.746850944716585,0.6881629189647858,0.6949443016281063,0.691536985717331,0.37,stop_only,0.8240760369929141,0.0262288924687895
D3_both_safe,1,1201,50pct,0.8364404258847018,0.8611523766276222,0.7948297833606408,0.7679738562091504,0.6679298910468972,0.714466683557132,0.39,stop_only,0.8642738046827203,0.0278333787980185
D3_both_safe,1,1201,75pct,0.8778156049042558,0.9019335706562632,0.8575305291723202,0.8842182890855457,0.674732695554305,0.7654005745292052,0.52,stop_only,0.901429810611017,0.0236142057067612
D3_both_safe,1,2026,20pct,0.7652894938495581,0.7826520907449045,0.7199062447681233,0.6827229299363057,0.6619065997684291,0.6721536351165981,0.36,stop_only,0.7793703262456075,0.0140808323960494
D3_both_safe,1,2026,35pct,0.7997897976482824,0.8198660735776937,0.7381035689293212,0.663924794359577,0.7262210796915167,0.6936771025168815,0.29,stop_only,0.820464159880651,0.0206743622323686
D3_both_safe,1,2026,50pct,0.8362070085058342,0.8609795330197123,0.7982887311123248,0.7854297097324986,0.6537186167693037,0.7135470527404343,0.36,stop_only,0.8596956276978569,0.0234886191920227
D3_both_safe,1,2026,75pct,0.8770423434745708,0.9020330745676988,0.8544291529366156,0.8547717842323651,0.6955543050084412,0.7669872789326714,0.4,stop_only,0.8959379984336581,0.0188956549590872
D3_both_safe,2,42,20pct,0.7464441452780473,0.7799327017148567,0.6898124683223518,0.6008527386028206,0.7474500203998368,0.6661818181818182,0.34,stop_only,0.7864076436134608,0.0399634983354135
D3_both_safe,2,42,35pct,0.7950930328757452,0.8241601146472873,0.7587178584008454,0.6818576388888888,0.7115036231884058,0.6963652482269503,0.34,stop_only,0.8281221010364717,0.0330290681607264
D3_both_safe,2,42,50pct,0.8383384496124879,0.8673333430857678,0.8033088235294118,0.7353556485355649,0.7137055837563452,0.7243688820195775,0.35,stop_only,0.8647945630922588,0.0264561134797708
D3_both_safe,2,42,75pct,0.8812590996548999,0.9077914436668038,0.8576699029126214,0.8045016077170418,0.7446428571428572,0.7734157650695518,0.38,stop_only,0.9024321352181116,0.0211730355632118
D3_both_safe,2,1201,20pct,0.7547750517126439,0.7839473754798196,0.7051866869403616,0.6321107784431138,0.6891064871481029,0.6593792699590084,0.37,stop_only,0.7858348635935676,0.0310598118809236
D3_both_safe,2,1201,35pct,0.7973034592597614,0.8246547790585976,0.7541387812610074,0.6723259762308998,0.717391304347826,0.694127957931639,0.35,stop_only,0.8259445694451543,0.0286411101853928
D3_both_safe,2,1201,50pct,0.840347911367931,0.8683254582425137,0.809375,0.752571737953438,0.7055837563451777,0.728320670683783,0.39,stop_only,0.8625162116933716,0.0221683003254405
D3_both_safe,2,1201,75pct,0.8826999840951302,0.90892565527652,0.870873786407767,0.8756476683937824,0.7041666666666667,0.7806004618937644,0.56,stop_only,0.9012574241544354,0.0185574400593052
D3_both_safe,2,2026,20pct,0.7515540958197561,0.7776873667363602,0.6866024666328772,0.5956968529222865,0.7568339453284374,0.6666666666666666,0.41,stop_only,0.785395344413342,0.0338412485935859
D3_both_safe,2,2026,35pct,0.7957848850542828,0.8207666384747108,0.7664670658682635,0.7030386740331491,0.6915760869565217,0.6972602739726027,0.45,stop_only,0.8246736650677556,0.0288887800134728
D3_both_safe,2,2026,50pct,0.8413390097021781,0.8699482145730627,0.8053308823529411,0.730166750884285,0.733502538071066,0.7318308432514561,0.39,stop_only,0.8633532742159792,0.022014264513801
D3_both_safe,2,2026,75pct,0.8815234521268096,0.907733120625772,0.8598058252427184,0.8134816753926701,0.7398809523809524,0.7749376558603491,0.4,stop_only,0.8986815061542837,0.017158054027474
