method,ndcg_at_1,ndcg_at_3,ndcg_all,precision_at_1,precision_at_3,recall_at_3,map_at_3,mrr,top1_relevance
model_score,0.5040932272885563,0.5868474209292702,0.5875882300912705,0.5327022882755367,0.41863253912086185,0.6349600927891799,0.5743604361615684,0.5841688291263663,0.3234137389612473
random_score,0.34926392118536487,0.5200613288624436,0.5269997484867002,0.41398325076669024,0.41401273885350315,0.6233442439254541,0.5104061001022252,0.5171866399308013,0.03343254228575382
popular_score,0.21452723575865823,0.45215175315376416,0.47360438027706997,0.26857749469214437,0.4026499960682551,0.593861071793662,0.43037911850279154,0.4320840213886923,-0.006548401980251302
workload_score,0.4508279131421382,0.5598964135012162,0.5640442289662879,0.5158056145317291,0.4169124007234411,0.6309226822363766,0.5646637702812508,0.5685548871589211,0.04645318561112554
policy_score,0.20741499005830213,0.4485970827836856,0.47016518342119085,0.2630042462845011,0.40251238499646147,0.593448238578281,0.4268511965610337,0.42885999056381224,-0.01233573760054607
counterfactual_score,0.3479369572787832,0.5003570890054958,0.5219442879010039,0.4175513092710545,0.4024730675473775,0.5933745183612487,0.4981787829938927,0.5069591884878508,0.020240621954632394
