candidate_id,partition,records,accuracy,balanced_accuracy,macro_f1,weighted_f1,class_collapse,probability_available,confusion_matrix,nll,brier,ece,macro_pr_auc
M1,all,649,0.8567026194144838,0.8200018262171738,0.8250163977436705,0.8580766947484975,False,True,"[[81, 19, 0], [39, 377, 2], [0, 33, 98]]",0.5577664173669366,0.22049320734761915,0.045153812430717664,0.9049711152382743
M1,conservative_matched,358,0.8798882681564246,0.8232605778060323,0.810456339349782,0.8817093801833704,False,True,"[[20, 6, 0], [15, 226, 1], [0, 21, 69]]",0.4962022584288598,0.18930406899836072,0.04111216131009972,0.8721531508274344
M1,conservative_unmatched,275,0.8290909090909091,0.7963924963924963,0.8165824581968598,0.8301345741328229,False,True,"[[58, 12, 0], [23, 142, 0], [0, 12, 28]]",0.5289847960086276,0.2599051851498136,0.06827888784511561,0.9059349362996895
M1,ambiguous_shared_key,16,0.8125,0.8560606060606061,0.7579365079365079,0.8184523809523809,False,True,"[[3, 1, 0], [1, 9, 1], [0, 0, 1]]",2.429948590702343,0.24095680943705794,0.13222931123790516,0.8846346414528233
M2,all,649,0.8443759630200308,0.8321622411337156,0.8180818421164903,0.8486219603661979,False,True,"[[89, 11, 0], [55, 362, 1], [0, 34, 97]]",0.30450776707978033,0.17893610047892713,0.08370896190474912,0.9288850287307097
M2,conservative_matched,358,0.8631284916201117,0.8469991288173105,0.7977346243345075,0.8691138509790513,False,True,"[[23, 3, 0], [23, 218, 1], [0, 22, 68]]",0.270106218875128,0.1529505404385912,0.09749057608368153,0.9169820663378841
M2,conservative_unmatched,275,0.8181818181818182,0.804040404040404,0.8115297967630065,0.8210118838147317,False,True,"[[63, 7, 0], [31, 134, 0], [0, 12, 28]]",0.34087165498274374,0.20976034761376958,0.07479409495906186,0.9292095639509128
M2,ambiguous_shared_key,16,0.875,0.8863636363636364,0.8863636363636364,0.875,False,True,"[[3, 1, 0], [1, 10, 0], [0, 0, 1]]",0.44923808482669453,0.2305712587513402,0.12372562037882621,0.8983972677154496
N0,all,649,0.8736517719568567,0.8362119385904038,0.8445369647555441,0.8731286054153516,False,True,"[[86, 14, 0], [30, 386, 2], [0, 36, 95]]",0.35662236222498483,0.1975085711657006,0.12249708204129811,0.9329841054518143
N0,conservative_matched,358,0.8938547486033519,0.8301476301476302,0.8335952380952382,0.893308459696728,False,True,"[[20, 6, 0], [10, 231, 1], [0, 21, 69]]",0.3284328809935904,0.17174016230626699,0.1407453805208206,0.9165660532899608
N0,conservative_unmatched,275,0.850909090909091,0.8032828282828284,0.8250183381762329,0.8490190227032333,False,True,"[[63, 7, 0], [19, 146, 0], [0, 15, 25]]",0.38497248508627535,0.22577413647150957,0.10730774244395164,0.9358861668645012
N0,ambiguous_shared_key,16,0.8125,0.8560606060606061,0.7579365079365079,0.8184523809523809,False,True,"[[3, 1, 0], [1, 9, 1], [0, 0, 1]]",0.5000942680990044,0.2882623157019375,0.12971650101244447,0.8870106745106745
R0,all,649,0.8428351309707242,0.8313647929678464,0.8166352588434366,0.847285837776198,False,False,"[[89, 11, 0], [56, 361, 1], [0, 34, 97]]",,,,
R0,conservative_matched,358,0.8603351955307262,0.845621718348991,0.7940590377090295,0.8669404852494618,False,False,"[[23, 3, 0], [24, 217, 1], [0, 22, 68]]",,,,
R0,conservative_unmatched,275,0.8181818181818182,0.804040404040404,0.8115297967630065,0.8210118838147317,False,False,"[[63, 7, 0], [31, 134, 0], [0, 12, 28]]",,,,
R0,ambiguous_shared_key,16,0.875,0.8863636363636364,0.8863636363636364,0.875,False,False,"[[3, 1, 0], [1, 10, 0], [0, 0, 1]]",,,,
