candidate_id,outer_fold,seconds,status
B-L0,0,0.1588564999983646,PASS
B-L0,1,0.1511908999964362,PASS
B-L0,2,0.14705109999340493,PASS
B-L0,3,0.13195330000598915,PASS
B-L0,4,0.14278059999924153,PASS
B-RF0,0,8.183682300004875,PASS
B-RF0,1,7.428069899993716,PASS
B-RF0,2,7.749978700012434,PASS
B-RF0,3,7.6831735000014305,PASS
B-RF0,4,7.315968700000667,PASS
B-S0,0,0.4247434999997495,PASS
B-S0,1,0.4026755999948364,PASS
B-S0,2,0.4184555999963777,PASS
B-S0,3,0.41453130000445526,PASS
B-S0,4,0.40131519999704324,PASS
B-H0,0,5.912137899998925,PASS
B-H0,1,4.600489000004018,PASS
B-H0,2,5.162465500005055,PASS
B-H0,3,4.2740658999973675,PASS
B-H0,4,4.4262005999917164,PASS
B-M0,0,8.261560700004338,PASS
B-M0,1,6.00617659999989,PASS
B-M0,2,5.204140999994706,PASS
B-M0,3,6.404772900001262,PASS
B-M0,4,6.221729500000947,PASS
B-C0,0,5.103938200001721,PASS
B-C0,1,5.041055699999561,PASS
B-C0,2,5.101706100002048,PASS
B-C0,3,5.279320700006792,PASS
B-C0,4,5.154454900010023,PASS
B-L1,0,11.433861099998467,PASS
B-L1,1,11.644977100004326,PASS
B-L1,2,11.438177199990605,PASS
B-L1,3,11.23335059999954,PASS
B-L1,4,11.664671200007433,PASS
B-H1,0,16.629943799998728,PASS
B-H1,1,16.60294110000541,PASS
B-H1,2,17.147680499998387,PASS
B-H1,3,15.863138300002902,PASS
B-H1,4,16.467170999996597,PASS
B-O0,0,7.096174999998766,PASS
B-O0,1,6.70485059999919,PASS
B-O0,2,6.962516100000357,PASS
B-O0,3,7.592272800000501,PASS
B-O0,4,6.570942999998806,PASS
