group_feature_dim,action_feature_dim,group_hidden_dim,action_embedding_dim,dropout,learning_rate,weight_decay,recommendability_loss_weight,listwise_loss_weight,candidate_binary_loss_weight,consistency_loss_weight,focal_gamma,trial_index,config_id,outer_fold,fixed_epoch,mean_best_epoch,mean_validation_loss,end_to_end_precision_at_1,positive_group_coverage,stage_a_precision,stage_a_recall,stage_b_conditional_precision_at_1,conditional_precision_at_1_all_positive,ndcg_at_3,mrr,abstention_rate,action_diversity,top_action_concentration,worst_stage_precision,selection_target_met
110,8,64,8,0.1,0.001,0.0001,1.0,1.0,1.0,0.25,0.0,0,531b87055aa5ea10,2,15,15.666666666666666,1.9336611462943678,0.6380662020905923,0.5012087026591459,0.6772648083623694,0.5012087026591459,0.9421221864951769,0.9356970185334408,0.97102615247036,0.9655116841257051,0.7621588025068629,4,0.40918989547038326,0.6160458452722063,False
110,8,64,16,0.1,0.001,0.0001,1.0,1.0,2.0,0.5,0.0,1,3860b1b10e41dabf,2,13,14.333333333333334,2.564948823198178,0.6356673960612691,0.5002417405318291,0.6792122538293217,0.5002417405318291,0.935889175257732,0.9298952457695407,0.9689032105525368,0.9624630674187484,0.7632982855958979,4,0.42910284463894965,0.6040462427745664,False
110,8,96,16,0.1,0.001,0.0001,1.0,1.0,2.0,1.0,0.0,2,5dcd32bc88a5fd7c,2,13,12.666666666666666,2.737793488958445,0.6447426308842938,0.5013698630136987,0.6843378794544654,0.5013698630136987,0.9421407907425265,0.9297340854149879,0.9686547413040218,0.9624362073596561,0.7645413580566633,4,0.39771227452705676,0.6123595505617978,False
110,8,96,16,0.2,0.001,0.0001,2.0,1.0,2.0,0.5,0.0,3,2af84a46e02f74c9,2,17,18.0,3.2926193460274433,0.6326885459682677,0.5008863819500403,0.6755053249293632,0.5008863819500403,0.9366151866151866,0.9292506043513296,0.9691468997311,0.9627048079505774,0.7616926503340757,4,0.3938274288198218,0.5972972972972973,False
110,8,64,8,0.2,0.0003,0.0001,1.0,1.0,2.0,1.0,1.0,4,65a3ef7a435ae488,2,44,44.666666666666664,2.212927190704137,0.6188436830835118,0.500402900886382,0.6648822269807281,0.500402900886382,0.9307568438003221,0.9313456889605157,0.9696257708419673,0.9633628793983345,0.7581188170093749,4,0.40599571734475376,0.5850515463917526,False
110,8,64,16,0.2,0.0003,0.0001,2.0,1.0,2.0,1.0,1.0,5,4954afbe40f22939,2,53,53.333333333333336,2.9414833288993427,0.6273706896551724,0.5036261079774376,0.6734913793103449,0.5036261079774376,0.93152,0.9313456889605157,0.9695895224259051,0.963443459575611,0.7596726575853318,4,0.3767241379310345,0.6122747199220653,False
110,8,96,8,0.1,0.0003,0.0001,1.0,1.0,4.0,0.5,1.0,6,b8557c691132ebfa,2,22,21.0,2.6033919031410027,0.6423898822503271,0.5024979854955681,0.6798953336240733,0.5024979854955681,0.9448364336112893,0.9292506043513296,0.968753945028141,0.9624496373892023,0.7624695706220541,4,0.4018752725686873,0.6062322946175638,False
110,8,96,16,0.2,0.0003,0.0001,2.0,1.0,4.0,1.0,1.0,7,bd586930891797b8,2,34,35.333333333333336,3.509185010275479,0.6476295479603087,0.5015310233682514,0.686218302094818,0.5015310233682514,0.9437660668380463,0.9253827558420629,0.9678567924066882,0.9605962933118453,0.765111099601181,4,0.39272326350606396,0.6149870801033591,False
110,8,64,8,0.1,0.0003,0.0001,2.0,1.0,4.0,2.0,2.0,8,f0c526b34b18f389,2,37,35.0,3.3728695649013596,0.6183368869936035,0.5028203062046737,0.6652452025586354,0.5028203062046737,0.9294871794871795,0.9282836422240129,0.9687252787274012,0.9619527262959979,0.7570829232920702,4,0.3699360341151386,0.5954587581093606,False
110,8,64,16,0.2,0.001,0.0001,1.0,1.0,4.0,2.0,2.0,9,706c84c678f2e548,2,21,21.333333333333332,2.605193492959844,0.6299674267100978,0.5002417405318291,0.6740499457111835,0.5002417405318291,0.9346005154639175,0.9318291700241741,0.9700600656634794,0.9637389202256245,0.7614854715906147,4,0.3728555917480999,0.617816091954023,False
110,8,96,8,0.2,0.001,0.0001,2.0,1.0,4.0,2.0,2.0,10,20725458d4b36f0e,2,15,16.666666666666668,3.3435805864621435,0.6347502191060473,0.5013698630136987,0.6816389132340053,0.5013698630136987,0.9312118289938927,0.9276390008058018,0.9678298861780217,0.9614155251141554,0.7636090537110892,4,0.38847502191060473,0.6255165289256198,False
110,8,96,16,0.1,0.0003,0.0001,2.0,1.0,4.0,2.0,2.0,11,50828303b250b19d,2,23,25.333333333333332,3.360274511681451,0.6271076523994812,0.5028203062046737,0.6744487678339819,0.5028203062046737,0.9298076923076923,0.9269943593875907,0.9684663920789525,0.9614423851732474,0.760397783187445,4,0.382187635105923,0.6054389312977099,False
