group_feature_dim,action_feature_dim,group_hidden_dim,action_embedding_dim,dropout,learning_rate,weight_decay,recommendability_loss_weight,listwise_loss_weight,candidate_binary_loss_weight,consistency_loss_weight,focal_gamma,trial_index,config_id,outer_fold,fixed_epoch,mean_best_epoch,mean_validation_loss,end_to_end_precision_at_1,positive_group_coverage,stage_a_precision,stage_a_recall,stage_b_conditional_precision_at_1,conditional_precision_at_1_all_positive,ndcg_at_3,mrr,abstention_rate,action_diversity,top_action_concentration,worst_stage_precision,selection_target_met
110,8,64,8,0.1,0.001,0.0001,1.0,1.0,1.0,0.25,0.0,0,531b87055aa5ea10,0,14,15.333333333333334,1.9455177565306687,0.6252155172413794,0.5008080155138979,0.6678879310344827,0.5008080155138979,0.936108422071636,0.9350355526826115,0.97139793455003,0.965174531351002,0.7605161290322581,4,0.4359913793103448,0.5932203389830508,False
110,8,64,16,0.1,0.001,0.0001,1.0,1.0,2.0,0.5,0.0,1,3860b1b10e41dabf,0,17,17.0,2.5808031330252383,0.6331154684095861,0.5,0.674074074074074,0.5,0.9392372333548804,0.9314802844214609,0.970096229827199,0.9635046326222796,0.7630967741935484,4,0.43594771241830066,0.6048387096774194,False
110,8,96,16,0.1,0.001,0.0001,1.0,1.0,2.0,1.0,0.0,2,5dcd32bc88a5fd7c,0,13,12.333333333333334,2.7472775980679494,0.6309523809523809,0.5004848093083387,0.6703463203463204,0.5004848093083387,0.9412334517274782,0.9335811247575954,0.9708823057972885,0.9645954535660418,0.7615483870967742,4,0.38852813852813856,0.6030150753768844,False
110,8,96,16,0.2,0.001,0.0001,2.0,1.0,2.0,0.5,0.0,3,2af84a46e02f74c9,0,18,18.0,3.3142061086187797,0.6259952657628578,0.5030704589528119,0.6698945556272864,0.5030704589528119,0.934468358496627,0.9301874595992243,0.9700271390261612,0.9629659556130143,0.7601548387096775,4,0.3996126533247256,0.6155473294553147,False
110,8,64,8,0.2,0.0003,0.0001,1.0,1.0,2.0,1.0,1.0,4,65a3ef7a435ae488,0,45,45.666666666666664,2.225384435992986,0.6183450930083387,0.5019392372333549,0.6641009193927732,0.5019392372333549,0.9311010946555055,0.9318034906270201,0.9705828162485938,0.963706636500754,0.7586064516129032,4,0.42227923882830876,0.5882352941176471,False
110,8,64,16,0.2,0.0003,0.0001,2.0,1.0,2.0,1.0,1.0,5,4954afbe40f22939,0,49,49.0,2.968658825736594,0.6218003412969283,0.5058177117000646,0.6676621160409556,0.5058177117000646,0.9313099041533547,0.9308338720103426,0.9699360189434277,0.9632352941176471,0.7580387096774194,4,0.4020904436860068,0.6085858585858586,False
110,8,96,8,0.1,0.0003,0.0001,1.0,1.0,4.0,0.5,1.0,6,b8557c691132ebfa,0,21,21.0,2.616459794329747,0.6285714285714286,0.5017776341305753,0.6670247046186896,0.5017776341305753,0.9423510466988728,0.9300258564964448,0.9693930439052119,0.9626562163326868,0.759741935483871,4,0.3810955961331901,0.6014319809069213,False
110,8,96,16,0.2,0.0003,0.0001,2.0,1.0,4.0,1.0,1.0,7,bd586930891797b8,0,33,29.333333333333332,3.539338210238544,0.6227583262169086,0.5009696186166774,0.6618274978650726,0.5009696186166774,0.9409677419354838,0.9279250161603103,0.9690046296025483,0.9617539323421676,0.7582451612903226,4,0.3731853116994022,0.6073808303434136,False
110,8,64,8,0.1,0.0003,0.0001,2.0,1.0,4.0,2.0,2.0,8,f0c526b34b18f389,0,33,29.333333333333332,3.403138785688459,0.6127031650983746,0.5,0.6616766467065869,0.5,0.9259857789269554,0.9256625727213963,0.9680274368011819,0.9604341736694678,0.758658064516129,4,0.38943541488451666,0.5804988662131519,False
110,8,64,16,0.2,0.001,0.0001,1.0,1.0,4.0,2.0,2.0,9,706c84c678f2e548,0,21,19.666666666666668,2.628349265814542,0.6153682869879007,0.5037168713639302,0.6616429632774358,0.5037168713639302,0.9300609560474815,0.9271170006464124,0.9686698428033909,0.9614037922861453,0.7568516129032258,4,0.3778390999787731,0.5886524822695035,False
110,8,96,8,0.2,0.001,0.0001,2.0,1.0,4.0,2.0,2.0,10,20725458d4b36f0e,0,18,17.0,3.3733120879094187,0.6260250323694433,0.5012928248222366,0.6694000863185153,0.5012928248222366,0.9352030947775629,0.9297026502908856,0.9697697533523453,0.9626966171083818,0.7608258064516129,4,0.3877859300820026,0.6070588235294118,False
110,8,96,16,0.1,0.0003,0.0001,2.0,1.0,4.0,2.0,2.0,11,50828303b250b19d,0,25,24.333333333333332,3.388416393888285,0.6174568965517241,0.5006464124111183,0.6676724137931035,0.5006464124111183,0.9247901872175597,0.9293794440853265,0.9694891796132378,0.9625484809308339,0.7605161290322581,4,0.39375,0.5764192139737991,False
