stage,pr_auc_mean,roc_auc_mean,accuracy_mean,risk_precision_mean,risk_recall_mean,risk_f1_mean,recall_fail_mean,recall_withdrawn_mean,generalization_gap_mean,pr_auc_std,roc_auc_std,accuracy_std,risk_precision_std,risk_recall_std,risk_f1_std,recall_fail_std,recall_withdrawn_std,generalization_gap_std
20pct,0.7321844468707055,0.7638965937767477,0.6629061173230808,0.5781122131802358,0.7797829144985587,0.6631952133852108,0.7848795512912363,0.7709213963592426,0.01840059160648559,0.010315317542199517,0.00940834154122018,0.01789828656831396,0.021295433307834417,0.029278589721692984,0.004904839355330019,0.03397493580184168,0.0238909959115989,0.013733359188132642
35pct,0.7918001065834014,0.8181360074631905,0.739137471526485,0.6608084584587274,0.7225372522321852,0.6896791227097298,0.7337280177806983,0.6974670406924847,0.019516883826484248,0.0049384704255758275,0.0013455269646890857,0.013036414642012255,0.0200358366446543,0.024594976510926393,0.003514496743069763,0.023099014433452233,0.029773141020095185,0.009578337404976964
50pct,0.8366000830009972,0.8631859291655617,0.77741544084421,0.6923879840975313,0.7539664073065956,0.7180059512056595,0.7621718033047412,0.7268395610908035,0.017235583546068703,0.007901427100937653,0.005424627892591454,0.01543517160167434,0.05323389196006619,0.059570846699953696,0.011279284392237186,0.057996487071980254,0.0664325673146016,0.013703654552656154
75pct,0.8811317046475617,0.9059444315382152,0.8570579463309091,0.8365198219929088,0.7216574205354453,0.7730847621469604,0.7279747591653052,0.6614586559732093,0.013113112565462845,0.00743401009010672,0.005267647709421844,0.005547904315501149,0.037809025563574294,0.041161276622302664,0.007821696033266117,0.041695484113909116,0.0503523697040339,0.011790134584517713
FINAL-100,0.9633641764581488,0.9496719808715538,0.8806748707777448,0.8953128180777765,0.877515431765626,0.8862124478975916,0.8084755627522224,0.9255999519015958,0.00458469831228123,0.001523962696038291,0.0022038203622166564,0.004987267000287358,0.008149401768079314,0.014054085440758795,0.004720484178703422,0.011804857438320906,0.016620463321132716,0.0022714775952359456
