fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,threshold_source,train_pr_auc,generalization_gap,recall_fail,recall_withdrawn
0,42,20pct,0.7211015512433958,0.7505002882459347,0.6315521628498728,0.5475040257648953,0.8076009501187649,0.6525911708253359,0.39,stop_only,0.7237401154831402,0.002638564239744401,0.8224705152079453,0.7814207650273224
0,42,35pct,0.7959623403435567,0.8182122586629619,0.7404795486600846,0.6700777732296357,0.7108119843682154,0.6898440792246102,0.47,stop_only,0.8041992639035302,0.008236923559973519,0.7225325884543762,0.6835260115606936
0,42,50pct,0.8458289925658858,0.8683146498810717,0.7980223402307269,0.7456532538499752,0.7174952198852772,0.7313032886723508,0.5,stop_only,0.8452111967361733,-0.000617795829712553,0.7299813780260708,0.6756756756756757
0,42,75pct,0.8900047361923266,0.9116856735206023,0.852017937219731,0.7925189947399182,0.7704545454545455,0.7813310285220397,0.46,stop_only,0.8890577071861507,-0.0009470290061758257,0.7783985102420856,0.6845637583892618
0,42,FINAL-100,0.9658590352723423,0.9525487195740905,0.8833981121599112,0.8836792211119652,0.899348109517601,0.8914448177823727,0.36,stop_only,0.9685486565336603,0.002689621261317998,0.8283767038413878,0.9509230076542098
0,1201,20pct,0.7486693110928749,0.7703514790788445,0.6432569974554707,0.556505476890195,0.8246239113222487,0.6645397990110066,0.4,stop_only,0.7540560694062308,0.005386758313355888,0.8330229671011794,0.8098360655737705
0,1201,35pct,0.8000536668616922,0.8201437411705175,0.7406558533145275,0.6676067687348912,0.7194963091619626,0.6925809822361546,0.54,stop_only,0.806955732029972,0.006902065168279736,0.7318435754189944,0.6907514450867052
0,1201,50pct,0.8475357335664024,0.8686746837519234,0.7751327595678447,0.6785123966942149,0.7848948374760994,0.7278368794326241,0.51,stop_only,0.8466931922783654,-0.0008425412880370686,0.7963997517070143,0.7463617463617463
0,1201,75pct,0.8921073148972303,0.913419732723495,0.8475336322869955,0.7710643015521065,0.790340909090909,0.7805836139169473,0.52,stop_only,0.8900366091448277,-0.002070705752402535,0.7995034140285537,0.6912751677852349
0,1201,FINAL-100,0.9641596854228928,0.9509708698413288,0.8835369239311494,0.8973474801061008,0.8821382007822686,0.8896778435239974,0.47,stop_only,0.9672462995231306,0.0030866141002378056,0.8166047087980174,0.929761368752814
0,2026,20pct,0.7420123936230497,0.7678684865290561,0.6586938083121289,0.5735546651402404,0.7933491686460807,0.66578073089701,0.47,stop_only,0.7529638043698144,0.010951410746764645,0.8106765983860956,0.7628415300546448
0,2026,35pct,0.7955742294909921,0.818040647228369,0.7383638928067701,0.6708385481852316,0.6982197134172818,0.6842553191489362,0.54,stop_only,0.8049721053693631,0.009397875878371043,0.7119801365611421,0.6661849710982659
0,2026,50pct,0.8458162303587757,0.8682396635162462,0.7883171580296648,0.7113821138211383,0.752868068833652,0.7315373896888063,0.54,stop_only,0.8469142540960335,0.0010980237372577584,0.7672253258845437,0.7047817047817048
0,2026,75pct,0.8902649343188628,0.9122473623141477,0.8594267888477286,0.8236760124610591,0.7511363636363636,0.7857355126300148,0.59,stop_only,0.8877374784832784,-0.0025274558355843357,0.7603972687771571,0.6510067114093959
