fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,threshold_source,train_pr_auc,generalization_gap,recall_fail,recall_withdrawn
0,2026,FINAL-100,0.9633660834139093,0.949595882079997,0.8750694058856191,0.8820619630304608,0.8834419817470665,0.8827514330380406,0.48,stop_only,0.9657636444644521,0.0023975610505427847,0.8184634448574969,0.9306618640252139
1,42,20pct,0.7210593334242027,0.7513483191715122,0.6641553658128244,0.5872353116611989,0.7599382477807797,0.6625168236877523,0.49,stop_only,0.7351354883862866,0.01407615496208392,0.7648171500630517,0.7522388059701492
1,42,35pct,0.7907759411372394,0.817381778729774,0.7127361791462561,0.6178474114441417,0.7772065124250214,0.6884250474383302,0.5,stop_only,0.8120704635692118,0.021294522431972385,0.7851291745431632,0.7603748326639893
1,42,50pct,0.8284733079241997,0.8562655527731875,0.7720735481521938,0.6834686031610423,0.757934628138323,0.7187780772686433,0.53,stop_only,0.8583828207194182,0.029909512795218474,0.7599243856332704,0.7519083969465649
1,42,75pct,0.875025453075705,0.9008822902006617,0.8548168249660787,0.8645390070921986,0.6859876195835678,0.7649827423909633,0.7,stop_only,0.8991903455475352,0.02416489247183018,0.6950220541902962,0.6105263157894737
1,42,FINAL-100,0.9616658497509135,0.9470846355106088,0.8761537401845985,0.906608410704533,0.8563322156306422,0.8807534155723571,0.56,stop_only,0.9692866266194973,0.007620776868583756,0.7948395217117684,0.8990384615384616
1,1201,20pct,0.7396170277582025,0.7646711162530717,0.68943579440817,0.6209730440499671,0.7290621381705905,0.6706905734067105,0.5,stop_only,0.7533436894343221,0.013726661676119578,0.7276166456494325,0.7313432835820896
1,1201,35pct,0.7914360584641842,0.815363431686579,0.726557032890133,0.6441121495327102,0.7382176520994002,0.6879616689958076,0.49,stop_only,0.8118329710825909,0.020396912618406704,0.7435412728418399,0.7269076305220884
1,1201,50pct,0.8271867475671784,0.8550249726797847,0.791734935372292,0.7866034380557202,0.6286120322122217,0.6987888362295945,0.64,stop_only,0.8601471495962826,0.03296040202910422,0.6402016383112792,0.5935114503816794
1,1201,75pct,0.8737587993205247,0.8999038905363793,0.8565613490986626,0.8754525706010138,0.6803601575689364,0.7656744775174161,0.67,stop_only,0.8993496025417773,0.025590803221252623,0.6906112161310649,0.5947368421052631
1,1201,FINAL-100,0.9618772836650034,0.9472065847397662,0.8773935803829729,0.9000803643182427,0.86664947124065,0.8830486202365309,0.46,stop_only,0.9698949853530453,0.008017701688041945,0.7967275015733165,0.9152097902097902
1,2026,20pct,0.7231353276203649,0.754857943191884,0.6599698643897539,0.5811123986095017,0.774218448475492,0.6639086546417342,0.41,stop_only,0.7339289350849478,0.01079360746458291,0.776796973518285,0.7701492537313432
1,2026,35pct,0.7931546814684209,0.8183605478269198,0.7426522043386984,0.6730846369835539,0.7189374464438731,0.6952558524963746,0.49,stop_only,0.8123925430525311,0.019237861584110116,0.7265280403276623,0.7028112449799196
1,2026,50pct,0.8303080893490646,0.8578397042217262,0.7786273438922264,0.7002237136465325,0.7413548081477973,0.7202024850437183,0.49,stop_only,0.8593325626003603,0.029024473251295646,0.741650913673598,0.7404580152671756
1,2026,75pct,0.8750331456340681,0.9007590750728725,0.8555921690250049,0.8717579250720461,0.6809229037703995,0.764612954186414,0.68,stop_only,0.8991708302763531,0.02413768464228505,0.6906112161310649,0.6
1,2026,FINAL-100,0.9615698121173692,0.9469197485603661,0.8738118198098912,0.8987341772151899,0.8607170492648956,0.8793148880105401,0.48,stop_only,0.9684524621706045,0.006882650053235295,0.7967275015733165,0.9051573426573427
2,42,20pct,0.7234121695985254,0.7665770438542373,0.6666666666666666,0.571258199165176,0.7817217462260302,0.6601205857019811,0.44,stop_only,0.7610805905043425,0.037668420905817124,0.7825229960578186,0.7804090419806243
2,42,35pct,0.7864046781342269,0.8179319764649376,0.7518492426910884,0.6743780008729813,0.6997282608695652,0.6868192931762613,0.52,stop_only,0.8153741986987117,0.028969520564484874,0.7115637319316689,0.673469387755102
2,42,50pct,0.8346452968216959,0.8642711274301847,0.7584558823529411,0.6267387944358578,0.8233502538071066,0.711715664765248,0.41,stop_only,0.8561746848946153,0.021529388072919486,0.8286277084701248,0.8053691275167785
2,42,75pct,0.87829035840317,0.9048447577878413,0.8601941747572815,0.8221476510067114,0.7291666666666666,0.7728706624605678,0.54,stop_only,0.8959879507725765,0.01769759236940649,0.7281680892974393,0.7388535031847133
2,42,FINAL-100,0.9647532155425084,0.9518990557118612,0.8858912594631796,0.8906743940990516,0.8909090909090909,0.8907917270451851,0.41,stop_only,0.9683181399884737,0.003564924445965345,0.8156167979002624,0.9414354909731396
2,1201,20pct,0.7342126501656543,0.7735375764052712,0.683054570028721,0.5921769798012183,0.7535699714402285,0.6631956912028726,0.48,stop_only,0.770548848838859,0.0363361986732047,0.7529566360052562,0.7545748116254036
2,1201,35pct,0.7847774943014061,0.8182100457336174,0.7419866150052835,0.6490172482952267,0.7327898550724637,0.6883641778345033,0.53,stop_only,0.8170877610935892,0.03231026679218307,0.7490144546649146,0.6967930029154519
2,1201,50pct,0.8331847935110138,0.8639144809022953,0.7838235294117647,0.6831180811808119,0.7517766497461928,0.7158047365877236,0.52,stop_only,0.8552723739370884,0.022087580426074616,0.762967826657912,0.7136465324384788
2,1201,75pct,0.8771228008425622,0.9041954851104708,0.8605825242718447,0.834958217270195,0.7136904761904762,0.769576379974326,0.62,stop_only,0.8941797452596683,0.017056944417106035,0.7150361129349967,0.7006369426751592
2,1201,FINAL-100,0.9626666354721669,0.9492962452491335,0.8845147969717825,0.8998917748917749,0.8764163372859025,0.8879989320517955,0.48,stop_only,0.9668700191741126,0.004203383701945729,0.80249343832021,0.9260237780713342
2,2026,20pct,0.7364402573100792,0.775357091260917,0.669369825984119,0.5726898175397293,0.7939616483068136,0.6654128910924945,0.43,stop_only,0.7704678047867763,0.03402754747669712,0.7930354796320631,0.7954790096878364
2,2026,35pct,0.7880618690488937,0.8195796396650379,0.7569566748855231,0.6803135888501742,0.707427536231884,0.6936056838365897,0.56,stop_only,0.8169678748894705,0.028906005840576787,0.721419185282523,0.6763848396501457
2,2026,50pct,0.8364215553447586,0.8661285273336357,0.7505514705882353,0.6157914620324896,0.8274111675126904,0.7060862031622266,0.43,stop_only,0.8563927640652563,0.019971208720497735,0.8325673013788575,0.8098434004474273
2,2026,75pct,0.8785777991436059,0.9055616165774667,0.8667961165048543,0.8725637181409296,0.6928571428571428,0.7723954877239548,0.68,stop_only,0.8934930857050538,0.014915286561447916,0.6940249507550886,0.6815286624203821
2,2026,FINAL-100,0.9643599874662332,0.9515260865768321,0.8863041982105988,0.8987375772226699,0.8816864295125165,0.8901303538175046,0.46,stop_only,0.9671590391068936,0.0027990516406604105,0.8064304461942258,0.9321884632320564
