candidate,outer_fold,seed,epoch,encoder_frozen,train_loss,classification_loss,regression_loss,ordinal_loss,validation_macro_f1,validation_nll,gradient_norm,encoder_learning_rate,head_learning_rate,transfer_method
cnn_bilstm_v5_1,0,42,1,False,1.118056446313858,1.0747475326061249,0.4330892890691757,0.7215622425079345,0.5648550113260418,0.9967902415790505,1.0908811330795287,0.0014709457573137213,0.0014709457573137213,
cnn_bilstm_v5_1,0,42,2,False,1.006421309709549,0.9674356818199158,0.3898562341928482,0.6972609341144562,0.5716492002206288,0.8384068885203606,1.189222264289856,0.0014438371681872238,0.0014438371681872238,
cnn_bilstm_v5_1,0,42,3,False,0.7753119349479676,0.7438843786716461,0.31427552103996276,0.7215234816074372,0.6361357328319456,0.6646502202098339,1.4083720207214356,0.0013993984705744221,0.0013993984705744221,
cnn_bilstm_v5_1,0,42,4,False,0.6158356308937073,0.5913276195526123,0.2450801134109497,0.7640608191490174,0.6967829705505761,0.5767183773112179,inf,0.0013387238926941254,0.0013387238926941254,
cnn_bilstm_v5_1,0,42,5,False,0.5173103123903274,0.49616203606128695,0.21148275658488275,0.7976014256477356,0.8263491605638618,0.464120890798155,1.8355384588241577,0.0012633074440211254,0.0012633074440211254,
cnn_bilstm_v5_1,0,42,6,False,0.4155918300151825,0.3969722867012024,0.18619539588689804,0.8041463077068329,0.782441209635038,0.44199562586583596,1.8605947613716125,0.0011750061278145948,0.0011750061278145948,
cnn_bilstm_v5_1,0,42,7,False,0.3785771429538727,0.3603145331144333,0.1826261341571808,0.8156216025352478,0.8374576152783823,0.37208544339732647,2.5702482223510743,0.0010759942155348053,0.0010759942155348053,
cnn_bilstm_v5_1,0,42,8,False,0.4052014321088791,0.38896411955356597,0.162373149394989,0.8285283863544464,0.8653272450532724,0.38515766277678837,3.4473573327064515,0.0009687097090637827,0.0009687097090637827,
cnn_bilstm_v5_1,0,42,9,False,0.3995773196220398,0.3814131200313568,0.1816420115530491,0.8399330914020539,0.8263491605638618,0.40281182348192973,inf,0.0008557943090077068,0.0008557943090077068,
cnn_bilstm_v5_1,0,42,10,False,0.38756505250930784,0.3709765672683716,0.16588484942913057,0.8275453925132752,0.8697449732142367,0.3120196209506066,3.773004484176636,0.0007400283672606858,0.0007400283672606858,
