dataset,split,stage,pr_auc,f1,precision,recall,accuracy,macro_f1,balanced_accuracy,minority_recall,threshold,n_train,n_valid,hpo_on_outer
uci,OUTER_FOLD0_CONFIRM,S0,0.4997123083212862,0.45714285714285713,0.46153846153846156,0.4528301886792453,0.7336448598130841,0.6403361344537815,0.6394585726004922,0.4528301886792453,0.65,658,214,False
uci,OUTER_FOLD0_CONFIRM,S1,0.7917356449566727,0.7716535433070866,0.6621621621621622,0.9245283018867925,0.8644859813084113,0.8376540141784603,0.8846243993906012,0.9245283018867925,0.3,658,214,False
uci,OUTER_FOLD0_CONFIRM,S2,0.9141596393642744,0.8037383177570093,0.7962962962962963,0.8113207547169812,0.9018691588785047,0.8691588785046729,0.8714988866752608,0.8113207547169812,0.8,658,214,False
