dropout,lr_scale,stage,pr_auc,used_for_selection
0.3,1.0,S0,0.3557174467223561,False
0.3,1.0,S1,0.7749634599098063,False
0.3,1.0,S2,0.8739833472590997,False
0.4061978796339918,1.0,S0,0.35005547059670844,False
0.4061978796339918,1.0,S1,0.7897843577786644,False
0.4061978796339918,1.0,S2,0.885447818440025,False
0.5,1.0,S0,0.34951755070941554,False
0.5,1.0,S1,0.7924488655306936,False
0.5,1.0,S2,0.8856000286640473,False
0.4061978796339918,0.5,S0,0.3479639976455877,False
0.4061978796339918,0.5,S1,0.780943863372675,False
0.4061978796339918,0.5,S2,0.8821903220415495,False
0.4061978796339918,1.0,S0,0.35005547059670844,False
0.4061978796339918,1.0,S1,0.7897843577786644,False
0.4061978796339918,1.0,S2,0.885447818440025,False
0.4061978796339918,2.0,S0,0.35747262484129305,False
0.4061978796339918,2.0,S1,0.7713827493266933,False
0.4061978796339918,2.0,S2,0.8810702830623793,False
