dataset,fold,seed,information_level,model,split,train_pr_auc,overfit_gap,pr_auc,roc_auc,f1,precision,recall,specificity,accuracy,balanced_accuracy,brier,ece,h2_mean,h2_p50,threshold,tp,fp,tn,fn,n,prevalence
uci,0,42,S0,Hybrid,VALID,0.6196584765974518,0.28502014588078506,0.3346383307166667,0.6591555977229601,0.38961038961038963,0.3488372093023256,0.4411764705882353,0.7741935483870968,0.7025316455696202,0.607685009487666,0.22886338337727144,0.22036411594363706,0.8182847330429698,0.8526461998574402,0.6,15.0,28.0,96.0,19.0,158.0,0.21518987341772153
uci,0,42,S0,LR,VALID,,,0.3766763467740745,0.6634250474383302,0.43410852713178294,0.29473684210526313,0.8235294117647058,0.4596774193548387,0.5379746835443038,0.6416034155597723,0.22203802802084396,0.19277868827781344,0.7049081181600222,0.7890194330235272,0.24,28.0,67.0,57.0,6.0,158.0,0.21518987341772153
uci,0,42,S0,RF,VALID,,,0.37374374365496327,0.7208254269449715,0.4594594594594595,0.425,0.5,0.8145161290322581,0.7468354430379747,0.657258064516129,0.1609332377700524,0.10092745627029032,0.7472610073650142,0.8081860465829993,0.41,17.0,23.0,101.0,17.0,158.0,0.21518987341772153
uci,0,42,S0,Hybrid-tabular,ABLATION,,,0.3346383307166667,0.6591555977229601,0.38961038961038963,,,,,,,,,,,,,,,,
uci,0,42,S0,Hybrid-cnn,ABLATION,,,0.3346383307166667,0.6591555977229601,0.38961038961038963,,,,,,,,,,,,,,,,
uci,0,42,S0,Hybrid-bilstm,ABLATION,,,0.3346383307166667,0.6591555977229601,0.38961038961038963,,,,,,,,,,,,,,,,
uci,0,42,S1,Hybrid,VALID,0.8472500032786063,0.059684427749683966,0.7875655755289224,0.9316888045540798,0.7246376811594203,0.7142857142857143,0.7352941176470589,0.9193548387096774,0.879746835443038,0.8273244781783682,0.0911041557795628,0.07428081679051812,0.37742256243434813,0.24969983972822554,0.41,25.0,10.0,114.0,9.0,158.0,0.21518987341772153
uci,0,42,S1,LR,VALID,,,0.6705430387433768,0.8875711574952563,0.5769230769230769,0.42857142857142855,0.8823529411764706,0.6774193548387096,0.7215189873417721,0.77988614800759,0.1283099666328946,0.1394791764065718,0.5994228914397446,0.6549204117262578,0.34,30.0,40.0,84.0,4.0,158.0,0.21518987341772153
uci,0,42,S1,RF,VALID,,,0.7239105740682386,0.9345351043643264,0.7407407407407407,0.6382978723404256,0.8823529411764706,0.8629032258064516,0.8670886075949367,0.872628083491461,0.09775717918864962,0.11060842760408275,0.6202809985977551,0.733300111385506,0.42,30.0,17.0,107.0,4.0,158.0,0.21518987341772153
uci,0,42,S1,Hybrid-tabular,ABLATION,,,0.4173111367842661,0.719876660341556,0.4482758620689655,,,,,,,,,,,,,,,,
uci,0,42,S1,Hybrid-cnn,ABLATION,,,0.7527467527095226,0.9301470588235294,0.3,,,,,,,,,,,,,,,,
uci,0,42,S1,Hybrid-bilstm,ABLATION,,,0.7527467527095226,0.9301470588235293,0.7088607594936709,,,,,,,,,,,,,,,,
uci,0,42,S2,Hybrid,VALID,0.9195082593497198,0.036945315752774044,0.8825629435969458,0.963235294117647,0.8,0.7317073170731707,0.8823529411764706,0.9112903225806451,0.9050632911392406,0.8968216318785578,0.06769736777038611,0.06839396569972174,0.3530018310592544,0.19149969851134008,0.31,30.0,11.0,113.0,4.0,158.0,0.21518987341772153
uci,0,42,S2,LR,VALID,,,0.7901138721996435,0.9153225806451613,0.725,0.6304347826086957,0.8529411764705882,0.8629032258064516,0.8607594936708861,0.8579222011385199,0.10898414474351262,0.12890829228320091,0.5499457906356197,0.5474502659271636,0.48,29.0,17.0,107.0,5.0,158.0,0.21518987341772153
uci,0,42,S2,RF,VALID,,,0.8772571063092472,0.9663187855787476,0.8055555555555556,0.7631578947368421,0.8529411764705882,0.9274193548387096,0.9113924050632911,0.8901802656546489,0.07087304800275523,0.08920758914296761,0.5413127693657559,0.4786833903849052,0.5,29.0,9.0,115.0,5.0,158.0,0.21518987341772153
uci,0,42,S2,Hybrid-tabular,ABLATION,,,0.38311825518767995,0.7032732447817837,0.40764331210191085,,,,,,,,,,,,,,,,
uci,0,42,S2,Hybrid-cnn,ABLATION,,,0.9034781043595439,0.9702324478178369,0.45454545454545453,,,,,,,,,,,,,,,,
uci,0,42,S2,Hybrid-bilstm,ABLATION,,,0.9015018942950985,0.9702324478178368,0.7727272727272727,,,,,,,,,,,,,,,,
