candidate_id,seed,code_module,records,positive,negative,eligible,macro_f1,at_risk_recall
V3-A0F,42,AAA,332,54,278,True,0.7486118122160526,0.5185185185185185
V3-A0F,42,BBB,4205,1605,2600,True,0.8230274138462191,0.7003115264797508
V3-A0F,42,CCC,1133,499,634,True,0.835860536990535,0.751503006012024
V3-A0F,42,DDD,2943,1369,1574,True,0.8181206985345756,0.7567567567567568
V3-A0F,42,EEE,1173,401,772,True,0.8445080728545296,0.7506234413965087
V3-A0F,42,FFF,3956,1582,2374,True,0.8387611939045472,0.7635903919089759
V3-A0F,42,GGG,1636,608,1028,True,0.7961244113232935,0.6776315789473685
V3-A0F,2026,AAA,332,54,278,True,0.7602614776527821,0.5
V3-A0F,2026,BBB,4205,1605,2600,True,0.821569248918639,0.712772585669782
V3-A0F,2026,CCC,1133,499,634,True,0.843619780551183,0.7875751503006012
V3-A0F,2026,DDD,2943,1369,1574,True,0.8214917829650487,0.7983929875821768
V3-A0F,2026,EEE,1173,401,772,True,0.8533542413702602,0.7630922693266833
V3-A0F,2026,FFF,3956,1582,2374,True,0.839922027873177,0.7781289506953224
V3-A0F,2026,GGG,1636,608,1028,True,0.7952632514462699,0.6381578947368421
V3-A0F,3407,AAA,332,54,278,True,0.7397536394176931,0.48148148148148145
V3-A0F,3407,BBB,4205,1605,2600,True,0.8201047146463705,0.7015576323987539
V3-A0F,3407,CCC,1133,499,634,True,0.8412942989214176,0.7935871743486974
V3-A0F,3407,DDD,2943,1369,1574,True,0.8178778795515643,0.7677136596055515
V3-A0F,3407,EEE,1173,401,772,True,0.8440639983882328,0.7556109725685786
V3-A0F,3407,FFF,3956,1582,2374,True,0.8315198907473758,0.7699115044247787
V3-A0F,3407,GGG,1636,608,1028,True,0.793477803492531,0.6332236842105263
V3-A1,42,AAA,332,54,278,True,0.7320419693301049,0.6111111111111112
V3-A1,42,BBB,4205,1605,2600,True,0.8219608440876605,0.7283489096573209
V3-A1,42,CCC,1133,499,634,True,0.8437060692685221,0.7895791583166333
V3-A1,42,DDD,2943,1369,1574,True,0.8117469359168904,0.7626004382761139
V3-A1,42,EEE,1173,401,772,True,0.8577241580986688,0.7630922693266833
V3-A1,42,FFF,3956,1582,2374,True,0.8343882648859497,0.7724399494310998
V3-A1,42,GGG,1636,608,1028,True,0.7994587224628504,0.6644736842105263
V3-A1,2026,AAA,332,54,278,True,0.770198842184747,0.6666666666666666
V3-A1,2026,BBB,4205,1605,2600,True,0.82464916178192,0.7271028037383177
V3-A1,2026,CCC,1133,499,634,True,0.8447361544001887,0.7935871743486974
V3-A1,2026,DDD,2943,1369,1574,True,0.8108083179607579,0.7735573411249087
V3-A1,2026,EEE,1173,401,772,True,0.8611235530857431,0.773067331670823
V3-A1,2026,FFF,3956,1582,2374,True,0.8365281211864726,0.7711757269279393
V3-A1,2026,GGG,1636,608,1028,True,0.7989943723186815,0.649671052631579
V3-A1,3407,AAA,332,54,278,True,0.7299551771282211,0.5185185185185185
V3-A1,3407,BBB,4205,1605,2600,True,0.8243435510332162,0.7071651090342679
V3-A1,3407,CCC,1133,499,634,True,0.8467047205490965,0.7995991983967936
V3-A1,3407,DDD,2943,1369,1574,True,0.8045468440276189,0.7552958363769174
V3-A1,3407,EEE,1173,401,772,True,0.8547616338605075,0.7481296758104738
V3-A1,3407,FFF,3956,1582,2374,True,0.8353835566378093,0.7610619469026548
V3-A1,3407,GGG,1636,608,1028,True,0.794268293973812,0.6398026315789473
V3-D0,42,AAA,332,54,278,True,0.7493246530982063,0.5740740740740741
V3-D0,42,BBB,4205,1605,2600,True,0.8157961716889002,0.6878504672897197
V3-D0,42,CCC,1133,499,634,True,0.8352524032315796,0.7735470941883767
V3-D0,42,DDD,2943,1369,1574,True,0.8087737880307904,0.745799853907962
V3-D0,42,EEE,1173,401,772,True,0.8445164727155408,0.7406483790523691
V3-D0,42,FFF,3956,1582,2374,True,0.8367561392742775,0.7484197218710493
V3-D0,42,GGG,1636,608,1028,True,0.7976499690785406,0.6381578947368421
V3-D0,2026,AAA,332,54,278,True,0.7716069061561435,0.6111111111111112
V3-D0,2026,BBB,4205,1605,2600,True,0.8219152487481627,0.7009345794392523
V3-D0,2026,CCC,1133,499,634,True,0.8429307608467025,0.7915831663326653
V3-D0,2026,DDD,2943,1369,1574,True,0.8260376495733023,0.7837837837837838
V3-D0,2026,EEE,1173,401,772,True,0.8657048516625738,0.7755610972568578
V3-D0,2026,FFF,3956,1582,2374,True,0.8381768181799772,0.7699115044247787
V3-D0,2026,GGG,1636,608,1028,True,0.8030640167286129,0.6875
V3-D0,3407,AAA,332,54,278,True,0.7456701305622169,0.5740740740740741
V3-D0,3407,BBB,4205,1605,2600,True,0.8198715656711573,0.7015576323987539
V3-D0,3407,CCC,1133,499,634,True,0.8326200914982844,0.7915831663326653
V3-D0,3407,DDD,2943,1369,1574,True,0.8200550290431061,0.7640613586559533
V3-D0,3407,EEE,1173,401,772,True,0.8613114062829432,0.7755610972568578
V3-D0,3407,FFF,3956,1582,2374,True,0.8371888610830669,0.7699115044247787
V3-D0,3407,GGG,1636,608,1028,True,0.8047591271318485,0.6694078947368421
V3-ENS,-1,AAA,332,54,278,True,0.760465779627175,0.5925925925925926
V3-ENS,-1,BBB,4205,1605,2600,True,0.8205201890914683,0.6984423676012461
V3-ENS,-1,CCC,1133,499,634,True,0.8429307608467025,0.7915831663326653
V3-ENS,-1,DDD,2943,1369,1574,True,0.8214312812110365,0.7655222790357925
V3-ENS,-1,EEE,1173,401,772,True,0.8653339323150644,0.770573566084788
V3-ENS,-1,FFF,3956,1582,2374,True,0.8389241662989526,0.7661188369152971
V3-ENS,-1,GGG,1636,608,1028,True,0.8066215816601024,0.6644736842105263
V3-H2TF,42,AAA,332,54,278,True,0.7137931034482758,0.3888888888888889
V3-H2TF,42,BBB,4205,1605,2600,True,0.8212146619894708,0.7009345794392523
