candidate_id,outer_fold,trial_id,inner_fold,epoch,train_loss,validation_nll,learning_rate,gradient_norm_mean,seed,stage
V3-A1,0,0.0,0.0,1,0.7337498009204865,0.4715420668501854,0.0005,0.5446819096803666,,
V3-A1,0,0.0,0.0,2,0.5905281692743302,0.4315589001114998,0.0005,0.5548749387264251,,
V3-A1,0,0.0,0.0,3,0.5269961923360824,0.4229999883502356,0.0005,0.6592302650213242,,
V3-A1,0,0.0,0.0,4,0.4977606996893883,0.4298759410529228,0.0005,0.7387569785118103,,
V3-A1,0,0.0,0.0,5,0.4827010557055473,0.4129386839781167,0.0005,0.7323254883289337,,
V3-A1,0,0.0,0.0,6,0.4852235645055771,0.4104248330821831,0.0005,0.7403749585151672,,
V3-A1,0,0.0,0.0,7,0.4698830783367157,0.4265825265437845,0.0005,0.7555861890316009,,
V3-A1,0,0.0,0.0,8,0.4643955364823341,0.4135077987811681,0.0005,0.7564566195011139,,
V3-A1,0,0.0,0.0,9,0.4562849342823029,0.4200907095820242,0.0005,0.7760929197072983,,
V3-A1,0,0.0,0.0,10,0.4577704459428787,0.4184886779508636,0.0005,0.7645221561193466,,
V3-A1,0,0.0,0.0,11,0.4423245817422866,0.4234635625314628,0.0005,0.7610458940267563,,
V3-A1,0,0.0,0.0,12,0.4427177831530571,0.4190801500442926,0.0005,0.8023104727268219,,
V3-A1,0,0.0,1.0,1,0.6918605622791109,0.4572867522322884,0.0005,0.6007231942244938,,
V3-A1,0,0.0,1.0,2,0.5627200915699914,0.434750196679751,0.0005,0.6930647776240394,,
V3-A1,0,0.0,1.0,3,0.5137127084391457,0.4273071216487429,0.0005,0.7918232991581872,,
V3-A1,0,0.0,1.0,4,0.4911064633301326,0.4124637824475377,0.0005,0.7929439232462928,,
V3-A1,0,0.0,1.0,5,0.4773528221107664,0.4210571096722316,0.0005,0.8208780203546796,,
V3-A1,0,0.0,1.0,6,0.4689592137223198,0.4240579100817129,0.0005,0.8250838660058522,,
V3-A1,0,0.0,1.0,7,0.4612152335189637,0.411373745776998,0.0005,0.8519170341037569,,
V3-A1,0,0.0,1.0,8,0.4474634457202184,0.4320541480828757,0.0005,0.8461923769542149,,
V3-A1,0,0.0,1.0,9,0.4416789000942593,0.4348112879574219,0.0005,0.9698517294157118,,
V3-A1,0,0.0,1.0,10,0.4391949219363076,0.4246944896473735,0.0005,0.9151910174460638,,
V3-A1,0,0.0,1.0,11,0.4336157597246624,0.4289884901317555,0.0005,0.8912429440589178,,
V3-A1,0,0.0,1.0,12,0.4348575557981218,0.4278508731059252,0.0005,0.8928541030202594,,
V3-A1,0,0.0,1.0,13,0.4300840880189623,0.4328822482910771,0.0005,0.8853897736186073,,
V3-A1,0,1.0,0.0,1,0.5654285445809364,0.4242699405543536,0.001,0.6738411337137222,,
V3-A1,0,1.0,0.0,2,0.4576710633933544,0.4196114450331319,0.001,0.6898072138428688,,
V3-A1,0,1.0,0.0,3,0.4311848893761635,0.4012085773436041,0.001,0.6936047479510308,,
V3-A1,0,1.0,0.0,4,0.4239947184920311,0.4014434282992101,0.001,0.7085330635309219,,
V3-A1,0,1.0,0.0,5,0.41560630351305,0.4121801244045428,0.001,0.6353095084428787,,
V3-A1,0,1.0,0.0,6,0.406683586537838,0.41002909287939,0.001,0.6442629978060722,,
V3-A1,0,1.0,0.0,7,0.3996741242706775,0.400094686147164,0.001,0.6792652025818825,,
V3-A1,0,1.0,0.0,8,0.3973087504506111,0.4030248558658958,0.001,0.6483451426029205,,
V3-A1,0,1.0,0.0,9,0.3955054208636284,0.3940699325643127,0.001,0.6754579409956932,,
V3-A1,0,1.0,0.0,10,0.3835432879626751,0.3973927357627855,0.001,0.6597313433885574,,
V3-A1,0,1.0,0.0,11,0.3860481306910515,0.4172921269029002,0.001,0.6496509723365307,,
V3-A1,0,1.0,0.0,12,0.3847979269921779,0.4124455156543181,0.001,0.6216048009693622,,
V3-A1,0,1.0,0.0,13,0.3739981181919575,0.4045993659384772,0.001,0.6602689519524574,,
V3-A1,0,1.0,0.0,14,0.37552245631814,0.407229221976976,0.001,0.6912221163511276,,
V3-A1,0,1.0,0.0,15,0.3715675137937069,0.4197434403370588,0.001,0.6341123498976231,,
V3-A1,0,1.0,1.0,1,0.5385605031397285,0.4219350470609743,0.001,0.733460000375422,,
V3-A1,0,1.0,1.0,2,0.4496715868391642,0.4024743468509242,0.001,0.7909894193091044,,
V3-A1,0,1.0,1.0,3,0.4314830448569321,0.408869418375806,0.001,0.7574541278001738,,
V3-A1,0,1.0,1.0,4,0.4242225231193914,0.4181403782415007,0.001,0.7210821698351604,,
V3-A1,0,1.0,1.0,5,0.4136705885573131,0.4147964134304859,0.001,0.6669407981198009,,
V3-A1,0,1.0,1.0,6,0.4001459828237207,0.4042499824929565,0.001,0.6882853507995605,,
V3-A1,0,1.0,1.0,7,0.3989016958853094,0.4126879890140468,0.001,0.682878480451863,,
V3-A1,0,1.0,1.0,8,0.3954175339966285,0.4140515994240955,0.001,0.6759424216863585,,
V3-A1,0,2.0,0.0,1,0.5794086486101151,0.4577936191117731,0.0004992293334332,0.474114578962326,,
V3-A1,0,2.0,0.0,2,0.4474138230085372,0.4103464903402642,0.0004969220851487,0.3384002417325973,,
V3-A1,0,2.0,0.0,3,0.404257544875145,0.3903490054876334,0.0004930924800994,0.3660863369703293,,
V3-A1,0,2.0,0.0,4,0.3822647750377655,0.3891566507959773,0.0004877641290737,0.3811530157923698,,
V3-A1,0,2.0,0.0,5,0.3700811848044395,0.3846262486577063,0.0004809698831278,0.4063124626874924,,
V3-A1,0,2.0,0.0,6,0.3571872532367706,0.3861459223668681,0.000472751631047,0.43630361109972,,
V3-A1,0,2.0,0.0,7,0.3526689186692238,0.3867556140329453,0.0004631600410885,0.4597118258476257,,
V3-A1,0,2.0,0.0,8,0.3480510905385017,0.3836566688448565,0.0004522542485937,0.4674380183219909,,
V3-A1,0,2.0,0.0,9,0.3394035652279853,0.3886951665154087,0.0004401014914,0.4797292858362197,,
V3-A1,0,2.0,0.0,10,0.3363863140344619,0.3881165672326584,0.0004267766952966,0.5064299881458283,,
V3-A1,0,2.0,0.0,11,0.3329638734459877,0.3912127993351682,0.0004123620120825,0.5123280987143517,,
V3-A1,0,2.0,0.0,12,0.329366847872734,0.3894126371111061,0.0003969463130731,0.5492964714765549,,
V3-A1,0,2.0,0.0,13,0.3252134531736373,0.3876841206593423,0.0003806246411789,0.5678985819220543,,
V3-A1,0,2.0,0.0,14,0.313099168241024,0.3963903356851743,0.0003634976249348,0.5742854759097099,,
V3-A1,0,2.0,1.0,1,0.5355053771109808,0.437281090964594,0.0004992293334332,0.5007388804640088,,
V3-A1,0,2.0,1.0,2,0.4307056693803696,0.4111324810373123,0.0004969220851487,0.4350366507257734,,
V3-A1,0,2.0,1.0,3,0.3927931657859257,0.3976702000654468,0.0004930924800994,0.4403772339934394,,
V3-A1,0,2.0,1.0,4,0.3727118628365652,0.3883398333224669,0.0004877641290737,0.4514358554567609,,
V3-A1,0,2.0,1.0,5,0.3648669932569776,0.3943928772380793,0.0004809698831278,0.4937164073898679,,
V3-A1,0,2.0,1.0,6,0.363396840436118,0.388474826745484,0.000472751631047,0.5034467393443698,,
V3-A1,0,2.0,1.0,7,0.3488333324591319,0.3847819671769724,0.0004631600410885,0.5222772090207963,,
V3-A1,0,2.0,1.0,8,0.3448525610424223,0.3883802054883185,0.0004522542485937,0.5526226063569387,,
V3-A1,0,2.0,1.0,9,0.3363528563862755,0.3921105350806422,0.0004401014914,0.6203349317823138,,
V3-A1,0,2.0,1.0,10,0.3291287606670743,0.3907485010963014,0.0004267766952966,0.5607402466592335,,
V3-A1,0,2.0,1.0,11,0.3243642477762131,0.3944276732091846,0.0004123620120825,0.6183332772482009,,
V3-A1,0,2.0,1.0,12,0.3280000048024313,0.398133458180265,0.0003969463130731,0.6441940537520817,,
V3-A1,0,2.0,1.0,13,0.3265565435091654,0.399253246645193,0.0003806246411789,0.6512183036123004,,
V3-A1,0,3.0,0.0,1,0.5654284812510013,0.4242700401559202,0.001,0.6738429859280586,,
V3-A1,0,3.0,0.0,2,0.457671146094799,0.4196116463302067,0.001,0.6898088499903678,,
V3-A1,0,3.0,0.0,3,0.431184970587492,0.4012088658914426,0.001,0.6936059385538101,,
V3-A1,0,3.0,0.0,4,0.423994966596365,0.4014441940147605,0.001,0.7085334107279777,,
V3-A1,0,3.0,0.0,5,0.41560645326972,0.4121808147471987,0.001,0.6353094063699245,,
V3-A1,0,3.0,0.0,6,0.406683711707592,0.4100292290757421,0.001,0.6442627646028996,,
V3-A1,0,3.0,0.0,7,0.3996740333735943,0.400095275465531,0.001,0.6792625293135643,,
