left,right,mean_delta,median_delta,lower_95,upper_95,probability_delta_gt_zero,resamples,group
V3-P0,V3-H3CF,-0.0012884164844135662,-0.0012824098207495638,-0.004985305403166768,0.002350244655691471,0.2405,2000,id_student
V3-D0,V3-P0,-0.0037955157740251905,-0.0038353856248893314,-0.007634487708651929,-1.6936465527078954e-05,0.0235,2000,id_student
V3-D0,V3-A1,-0.002912682243689258,-0.002940851884218443,-0.007090394724396956,0.0013824141159513134,0.094,2000,id_student
V3-D0,V3-MLD,-0.003176364930009104,-0.003228806021874031,-0.0075336522651318575,0.0010737110522282245,0.0775,2000,id_student
V3-D0,V3-MLF,-0.002917890977511755,-0.0029790256578426932,-0.007040483613738174,0.0013577195346273312,0.0895,2000,id_student
V3-ENS,V3-A0F,0.0033815315888549124,0.0034039471741920124,0.00024226562508626316,0.006607796151411281,0.981,2000,id_student
V3-ENS,V3-MLD,0.0043402773098810635,0.0043320515639415635,0.0005231069064005667,0.008119652124008368,0.988,2000,id_student
