candidate_id,seed,records,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,pr_auc,brier,nll,ece,class_collapse,predicted_positive_rate,operational_feasible,operational_precision,operational_recall
V3-A0F,42,15378,0.8269546559759169,0.8382104304851086,0.8203473163140738,0.8400149868864744,0.7329192546583851,0.7828212290502793,0.9077753779697624,0.890271249411018,0.11653410469875033,0.37308265177209093,0.031168584955081843,False,0.34711926128235143,True,0.7697224820704709,0.8069630598234717
V3-A0F,2026,15378,0.8295138660045898,0.8396410456496294,0.824252797925888,0.831277213352685,0.7489375612945407,0.7879621668099742,0.8995680345572354,0.8909703705736256,0.1164545519182563,0.3710654585235023,0.028054308030156117,False,0.35843412667447,True,0.7512333682164748,0.8213468453743054
V3-A0F,3407,15378,0.8247405602399424,0.8356743399661855,0.8188238226329275,0.8313341945008305,0.7363517489375613,0.7809655889746034,0.9012958963282938,0.8895818770227686,0.11703316449516978,0.372335418079703,0.028815414430273783,False,0.3523865262062687,True,0.7601955093936154,0.8135011441647597
V3-A1,42,15378,0.8257260959183398,0.8358694238522565,0.8208437447266396,0.8237837837837838,0.7473030402092187,0.7836818649297224,0.8943844492440605,0.8876633198870212,0.11923308746427815,0.3801692426773521,0.03674535171365545,False,0.3609051892313695,True,0.7395437262357415,0.8265773128473357
V3-A1,2026,15378,0.8278148534113492,0.8378852906749903,0.8228226449304781,0.8271070203934308,0.7491010134030729,0.786173771335449,0.8965442764578834,0.889072456278239,0.11791274818272683,0.376326654332043,0.03426942177856819,False,0.36031993757315645,True,0.7430870519385516,0.8301732592350441
V3-A1,3407,15378,0.8251150068180291,0.8362595916243984,0.8188660977733092,0.834696913350688,0.7337365152010461,0.7809672929714684,0.9039956803455723,0.889175070628833,0.11740157326792702,0.3734477755910039,0.029483249738052032,False,0.34972037976329823,True,0.7541647906348492,0.8213468453743054
V3-D0,42,15378,0.8228030616946906,0.8348940044219014,0.8155692193202511,0.8413122258249094,0.7209872507355345,0.7765161517472053,0.9101511879049676,0.8880031226040176,0.11776821336025974,0.3740689223349826,0.028404862718470873,False,0.3409416048901027,True,0.7733693064592921,0.7965021248774109
V3-D0,2026,15378,0.8312498151855582,0.8415268565483158,0.8255690992906248,0.8367795059469351,0.7474664923177509,0.789605456272123,0.9036717062634989,0.8909772612220765,0.11547380900783412,0.36726747371757107,0.023234650287362935,False,0.3553778124593575,True,0.761248852157943,0.8130107878391631
V3-D0,3407,15378,0.8279388881450738,0.8386005982572506,0.8220578090921735,0.8346833578792342,0.7410918600849951,0.7851082251082251,0.9030237580993521,0.8912814860015155,0.11547293943193987,0.3677380950578085,0.023444034477436867,False,0.3532318897125764,True,0.7613584212941716,0.8135011441647597
V3-ENS,-1,15378,0.8303219965359786,0.8412017167381974,0.8238571414450295,0.8425270219903094,0.7389669826740765,0.7873563218390804,0.9087473002159827,0.8926916744364296,0.11446846405677608,0.36340575656132684,0.019527886498543583,False,0.3489400442190142,True,0.766306027820711,0.810395554102648
V3-H2TF,42,15378,0.8244408993314122,0.8362595916243984,0.8173686575816008,0.8415559772296015,0.7249101013403073,0.7788900597119776,0.9098272138228942,0.889244273535724,0.11651942671658294,0.36775286664033885,0.017326407311252852,False,0.3426973598647418,True,0.7437067569556897,0.8257600523046748
V3-H2TF,2026,15378,0.8265865114227173,0.8378202627129666,0.8200510726059209,0.8389450056116723,0.7330827067669173,0.7824494068387997,0.9070194384449244,0.8889288599823776,0.11617485830977861,0.3689172842343819,0.021007924689199688,False,0.34763948497854075,True,0.7468167012140954,0.8244524354364171
V3-H2TF,3407,15378,0.8223768246966155,0.8339185849915464,0.8158962294458091,0.8337078651685393,0.7276887871853547,0.7770989701518589,0.9041036717062635,0.8875829623691206,0.1170970827489553,0.37101006960659616,0.020564217698776192,False,0.34724931720639873,True,0.7467600178757634,0.819385420071919
V3-H3CF,42,15378,0.8278463217256071,0.8382754584471322,0.8223147077949358,0.8315981735159818,0.7441974501471069,0.7854739929267661,0.9004319654427646,0.8897859469783886,0.11725386550051756,0.3749555294581048,0.029839645911546586,False,0.35602809207959424,True,0.753531710249474,0.8195488721804511
V3-H3CF,2026,15378,0.8247800636565322,0.8354792560801144,0.8191887126963808,0.8285714285714286,0.7394573389996731,0.7814821212644671,0.8989200863930885,0.8880332508661911,0.11773429777924081,0.3754142356517594,0.028487484847455984,False,0.3550526726492392,True,0.7361312808597154,0.8285387381497221
V3-H3CF,3407,15378,0.8256243113139167,0.8351541162699961,0.8216917716867057,0.8162400706090026,0.7558025498528931,0.7848595434099974,0.8875809935205183,0.8889724681319094,0.11760714429203871,0.3733289766882726,0.030370218562197123,False,0.36838340486409155,True,0.7374909354604786,0.8311539718862373
V3-MLD,42,15378,0.8259606564438204,0.8370399271686826,0.8197081585548998,0.8356877323420074,0.7348806799607714,0.7820490520090451,0.9045356371490281,0.8892633948638378,0.11525811618378043,0.36590348522705035,0.011056234816712534,False,0.3498504356873456,True,0.7588770864946889,0.8174239947695325
V3-MLF,42,15378,0.8257182665392502,0.8362595916243984,0.8202526164693356,0.8285870755750274,0.7419091206276561,0.7828561572956192,0.8985961123110151,0.8874514772495355,0.12031430118823397,0.3807353469581117,0.04660768049493648,False,0.3562231759656652,True,0.8285870755750274,0.7419091206276561
V3-P0,42,15378,0.8266003361168661,0.8371049551307062,0.8210932121834307,0.8299543378995434,0.7427263811703171,0.7839213318381782,0.8994600431965443,0.8901867521826762,0.11607200990080657,0.36865714120730564,0.0191601865176288,False,0.35602809207959424,True,0.7642076081934391,0.8110493625367767
V3-P0,2026,15378,0.8264334665361686,0.8351541162699961,0.8237438193568247,0.808188542921039,0.7678980058842759,0.7875282876540105,0.8795896328293736,0.8905246188554479,0.11722120623837366,0.3709137295281607,0.031911192575492874,False,0.37800754324359476,True,0.7368649587494572,0.8321346845374306
