outer_fold,strategy_name,ensemble_method,seed_count,seed_list,seed_weights,calibration_policy,threshold_policy,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_macro_min,cv_f1_macro_max,accuracy,brier_score,ece,class0_f1,class1_precision,class1_recall,class1_f1,class2_f1
0,single_seed_42_argmax,mean_probability,1,[42],null,"{""type"": ""none""}","{""type"": ""argmax""}",0.8187303558103408,0.04970470600182756,0.7485507246376812,0.8572772256982782,0.8333333333333334,0.22482083299760475,0.03375648695325092,0.8715083798882681,0.8347107438016529,0.8211382113821138,0.8278688524590164,0.7654320987654321
1,single_seed_42_argmax,mean_probability,1,[42],null,"{""type"": ""none""}","{""type"": ""argmax""}",0.8313595550016354,0.04824610746732408,0.7660414210757459,0.8810974499089254,0.83399209486166,0.21258873994725577,0.058581445999296294,0.8426966292134831,0.847457627118644,0.8064516129032258,0.8264462809917356,0.8372093023255814
2,single_seed_42_argmax,mean_probability,1,[42],null,"{""type"": ""none""}","{""type"": ""argmax""}",0.8073973161119667,0.10542728757839362,0.6584685156113727,0.8879877864970779,0.8379446640316206,0.23677880318465863,0.04577030753900881,0.8604651162790697,0.8106060606060606,0.8699186991869918,0.8392156862745098,0.7848101265822784
3,single_seed_42_argmax,mean_probability,1,[42],null,"{""type"": ""none""}","{""type"": ""argmax""}",0.8403563915823266,0.0601941124526597,0.7607456775813773,0.9062691694270643,0.8379446640316206,0.2839254003791409,0.15343947478905023,0.872093023255814,0.91,0.7398373983739838,0.8161434977578476,0.8288288288288288
4,single_seed_42_argmax,mean_probability,1,[42],null,"{""type"": ""none""}","{""type"": ""argmax""}",0.8846282366860002,0.06173187104568705,0.8021135952170435,0.9505783966990863,0.8853754940711462,0.1834020715901021,0.038917473417968106,0.8914285714285715,0.8916666666666667,0.8699186991869918,0.8806584362139918,0.8863636363636364
