candidate_id,forecast_id,outer_fold,inner_fold,epoch,train_loss,validation_nll
C-H2,F1_EARLY,0,0,1,0.729729950428009,0.6292443272576739
C-H2,F1_EARLY,0,0,2,0.6741392395713113,0.6009956775792922
C-H2,F1_EARLY,0,0,3,0.6402546709234064,0.5655469933620124
C-H2,F1_EARLY,0,0,4,0.622711103070866,0.5547802430722718
C-H2,F1_EARLY,0,0,5,0.6065287915143099,0.5497052641909473
C-H2,F1_EARLY,0,0,6,0.6023768863894723,0.5461959968534879
C-H2,F1_EARLY,0,0,7,0.5907812416553497,0.5373260359705918
C-H2,F1_EARLY,0,0,8,0.5769028230146929,0.5306217274654083
C-H2,F1_EARLY,0,0,9,0.5800025463104248,0.5320196025081604
C-H2,F1_EARLY,0,0,10,0.5714625824581493,0.5319755302963978
C-H2,F1_EARLY,0,0,11,0.5690715990283273,0.526033506249334
C-H2,F1_EARLY,0,0,12,0.5650034939700906,0.5314329904925769
C-H2,F1_EARLY,0,1,1,0.7469505884430625,0.6268528881950426
C-H2,F1_EARLY,0,1,2,0.6882407854903828,0.5799865411693775
C-H2,F1_EARLY,0,1,3,0.648118948394602,0.5545861705210534
C-H2,F1_EARLY,0,1,4,0.6273866160349413,0.5462082343018855
C-H2,F1_EARLY,0,1,5,0.6126626215197823,0.5538954148138504
C-H2,F1_EARLY,0,1,6,0.6064793521707709,0.5377967906524745
C-H2,F1_EARLY,0,1,7,0.5955688140609048,0.5374947448498122
C-H2,F1_EARLY,0,1,8,0.5961830155415968,0.5306216271163521
C-H2,F1_EARLY,0,1,9,0.5855744752016935,0.5249204868566323
C-H2,F1_EARLY,0,1,10,0.5812468542294069,0.5279991992701102
C-H2,F1_EARLY,0,1,11,0.5754117450930856,0.531459785832623
C-H2,F1_EARLY,0,1,12,0.5751056291840293,0.5224767454391253
C-H2,F1_EARLY,0,refit,1,0.7101727737621828,
C-H2,F1_EARLY,0,refit,2,0.6417016129602086,
C-H2,F1_EARLY,0,refit,3,0.6184110844677145,
C-H2,F1_EARLY,0,refit,4,0.6018267151984301,
C-H2,F1_EARLY,0,refit,5,0.5918137322772633,
C-H2,F1_EARLY,0,refit,6,0.5832472423260863,
C-H2,F1_EARLY,0,refit,7,0.5809869569810954,
C-H2,F1_EARLY,0,refit,8,0.5772241679104891,
C-H2,F1_EARLY,0,refit,9,0.5756990313529968,
C-H2,F1_EARLY,0,refit,10,0.569079031998461,
