candidate_id,seed,outer_fold,qwk,ordinal_mae,one_step_error_rate,two_step_error_rate,brier,nll,ece
A1,42,0,0.8466698610445615,0.15625,0.15625,0.0,0.27193963367578766,0.4512923174774272,0.14025261623041918
A1,42,1,0.8932461873638344,0.1111111111111111,0.1111111111111111,0.0,0.2247355896443214,0.3761452085262876,0.1204588259202381
A1,42,2,0.8698347107438017,0.12698412698412698,0.12698412698412698,0.0,0.19584671910011556,0.3205207015779907,0.04160223752992946
A1,42,3,0.9015112037519541,0.09523809523809523,0.09523809523809523,0.0,0.14929675110721297,0.24303614991139347,0.05453423079071784
A1,42,4,0.8339324227174695,0.1746031746031746,0.1746031746031746,0.0,0.22079128962916847,0.34248386952977206,0.05892939821830544
A1,123,0,0.821501014198783,0.171875,0.171875,0.0,0.22293484694976184,0.36839254675794586,0.12028625180775641
A1,123,1,0.14634146341463405,0.47619047619047616,0.47619047619047616,0.0,0.5462502279821536,0.9003863737821997,0.19294314125445472
A1,123,2,0.817102137767221,0.1746031746031746,0.1746031746031746,0.0,0.218538822351983,0.35006328250399776,0.06221780233361439
A1,123,3,0.8992537313432836,0.09523809523809523,0.09523809523809523,0.0,0.11882321709821667,0.19463781852527587,0.05910727143949025
A1,123,4,0.8570780399274047,0.15873015873015872,0.15873015873015872,0.0,0.2031726539748026,0.3110373562976505,0.052492051737273636
A1,155,0,0.821501014198783,0.171875,0.171875,0.0,0.23434684278393467,0.39425141702433764,0.11926778412736944
A1,155,1,0.5420560747663551,0.3333333333333333,0.3333333333333333,0.0,0.4032131629062023,0.667272817592873,0.1271975419776385
A1,155,2,0.8739369684842421,0.12698412698412698,0.12698412698412698,0.0,0.20531158417648937,0.3431739440422294,0.08729367415216166
A1,155,3,0.8284313725490196,0.15873015873015872,0.15873015873015872,0.0,0.2314688958095642,0.38569517904668305,0.09722767921566446
A1,155,4,0.8661157024793389,0.14285714285714285,0.14285714285714285,0.0,0.18531546706518773,0.29357264742693406,0.05792118671840843
A2,42,0,0.8231155778894472,0.171875,0.171875,0.0,0.19315756688851093,0.28699557613941323,0.06445553648237945
A2,42,1,0.8149779735682819,0.19047619047619047,0.19047619047619047,0.0,0.2805658415066347,0.44860697704892594,0.09642702825232546
A2,42,2,0.850356294536817,0.14285714285714285,0.14285714285714285,0.0,0.20194759537308163,0.3130230817431289,0.050755454879500735
A2,42,3,0.8992537313432836,0.09523809523809523,0.09523809523809523,0.0,0.15176468005696286,0.2539581580981542,0.08263285998065813
A2,42,4,0.8665960825833774,0.12698412698412698,0.12698412698412698,0.0,0.18229055947796563,0.28496143148979164,0.0663068821938145
A2,123,0,0.8858307849133538,0.109375,0.109375,0.0,0.1846780249404156,0.2778825197482361,0.08292785799158751
A2,123,1,0.8609271523178808,0.14285714285714285,0.14285714285714285,0.0,0.1882451399555168,0.29446447352753813,0.02721579647640269
A2,123,2,0.8372933884297521,0.15873015873015872,0.15873015873015872,0.0,0.20250726128470597,0.3171517263723386,0.03547722043408501
A2,123,3,0.8992537313432836,0.09523809523809523,0.09523809523809523,0.0,0.13359401923485342,0.22364874410450375,0.04089308230450515
A2,123,4,0.7419354838709677,0.25396825396825395,0.25396825396825395,0.0,0.30620453997051056,0.48002159557490987,0.08098620443873489
A2,155,0,0.8585461689587426,0.140625,0.140625,0.0,0.18270517917440848,0.28378038804159045,0.05408098346244256
A2,155,1,0.8034557235421166,0.20634920634920634,0.20634920634920634,0.0,0.23569309706972183,0.370265916606959,0.09707472955624914
A2,155,2,0.8315508021390374,0.15873015873015872,0.15873015873015872,0.0,0.22784802777339488,0.37105510271938297,0.07730509650391898
A2,155,3,0.8811000269614452,0.1111111111111111,0.1111111111111111,0.0,0.25238258173961686,0.44543625879968707,0.22601098111528314
A2,155,4,0.8856624319419237,0.1111111111111111,0.1111111111111111,0.0,0.18334943901995224,0.2914180794334657,0.06380465766305052
M1,42,0,0.9054652880354506,0.09375,0.09375,0.0,0.17172286475251336,0.2728608457985602,0.041333795796442196
M1,42,1,0.9206349206349207,0.07936507936507936,0.07936507936507936,0.0,0.16179927363515284,0.2863730641513063,0.10095017653154326
M1,42,2,0.848759669245132,0.14285714285714285,0.14285714285714285,0.0,0.23148375834579282,0.9147026273789707,0.08686224501350574
M1,42,3,0.9015112037519541,0.09523809523809523,0.09523809523809523,0.0,0.12201782840241529,0.20629169515935006,0.0543959975346347
M1,42,4,0.8643702906350915,0.12698412698412698,0.12698412698412698,0.0,0.18794386147225264,0.2911997540029361,0.05077013935383725
M1,123,0,0.9054652880354506,0.09375,0.09375,0.0,0.17172286475251336,0.2728608457985602,0.041333795796442196
M1,123,1,0.9206349206349207,0.07936507936507936,0.07936507936507936,0.0,0.16179927363515284,0.2863730641513063,0.10095017653154326
M1,123,2,0.848759669245132,0.14285714285714285,0.14285714285714285,0.0,0.23148375834579282,0.9147026273789707,0.08686224501350574
M1,123,3,0.9015112037519541,0.09523809523809523,0.09523809523809523,0.0,0.12201782840241529,0.20629169515935006,0.0543959975346347
M1,123,4,0.8643702906350915,0.12698412698412698,0.12698412698412698,0.0,0.18794386147225264,0.2911997540029361,0.05077013935383725
M1,155,0,0.9054652880354506,0.09375,0.09375,0.0,0.17172286475251336,0.2728608457985602,0.041333795796442196
M1,155,1,0.9206349206349207,0.07936507936507936,0.07936507936507936,0.0,0.16179927363515284,0.2863730641513063,0.10095017653154326
M1,155,2,0.848759669245132,0.14285714285714285,0.14285714285714285,0.0,0.23148375834579282,0.9147026273789707,0.08686224501350574
M1,155,3,0.9015112037519541,0.09523809523809523,0.09523809523809523,0.0,0.12201782840241529,0.20629169515935006,0.0543959975346347
M1,155,4,0.8643702906350915,0.12698412698412698,0.12698412698412698,0.0,0.18794386147225264,0.2911997540029361,0.05077013935383725
M2,42,0,0.8909444985394352,0.109375,0.109375,0.0,0.17375767821594482,0.27222184927043147,0.058379575233549266
M2,42,1,0.8467153284671532,0.14285714285714285,0.14285714285714285,0.0,0.1700351877590307,0.29450806180728634,0.09187948464435955
M2,42,2,0.8452088452088452,0.14285714285714285,0.14285714285714285,0.0,0.22658445850947923,0.36465068423159425,0.05910477690261292
M2,42,3,0.9169960474308301,0.07936507936507936,0.07936507936507936,0.0,0.12347953891163885,0.2251984973383431,0.09650419316766332
M2,42,4,0.8874712936973718,0.1111111111111111,0.1111111111111111,0.0,0.18437705929442874,0.30164532823982565,0.09100898276731959
M2,123,0,0.8909444985394352,0.109375,0.109375,0.0,0.17375767821594482,0.27222184927043147,0.058379575233549266
M2,123,1,0.8467153284671532,0.14285714285714285,0.14285714285714285,0.0,0.1700351877590307,0.29450806180728634,0.09187948464435955
M2,123,2,0.8452088452088452,0.14285714285714285,0.14285714285714285,0.0,0.22658445850947923,0.36465068423159425,0.05910477690261292
M2,123,3,0.9169960474308301,0.07936507936507936,0.07936507936507936,0.0,0.12347953891163885,0.2251984973383431,0.09650419316766332
M2,123,4,0.8874712936973718,0.1111111111111111,0.1111111111111111,0.0,0.18437705929442874,0.30164532823982565,0.09100898276731959
M2,155,0,0.8909444985394352,0.109375,0.109375,0.0,0.17375767821594482,0.27222184927043147,0.058379575233549266
M2,155,1,0.8467153284671532,0.14285714285714285,0.14285714285714285,0.0,0.1700351877590307,0.29450806180728634,0.09187948464435955
M2,155,2,0.8452088452088452,0.14285714285714285,0.14285714285714285,0.0,0.22658445850947923,0.36465068423159425,0.05910477690261292
M2,155,3,0.9169960474308301,0.07936507936507936,0.07936507936507936,0.0,0.12347953891163885,0.2251984973383431,0.09650419316766332
M2,155,4,0.8874712936973718,0.1111111111111111,0.1111111111111111,0.0,0.18437705929442874,0.30164532823982565,0.09100898276731959
N0,42,0,0.8909444985394352,0.109375,0.109375,0.0,0.17976802174208834,0.302738152706166,0.051786764437225304
N0,42,1,0.8932461873638344,0.1111111111111111,0.1111111111111111,0.0,0.21488715498238897,0.3519484632797065,0.06953086818809771
N0,42,2,0.783256880733945,0.19047619047619047,0.19047619047619047,0.0,0.28533852304647406,0.5751131178851158,0.10880449524801603
N0,42,3,0.9169960474308301,0.07936507936507936,0.07936507936507936,0.0,0.14026104363136663,0.26537413255756076,0.06959354490066698
N0,42,4,0.8901071517567904,0.1111111111111111,0.1111111111111111,0.0,0.16635578338581883,0.27360459687886296,0.04847574467598502
N0,123,0,0.861671469740634,0.140625,0.140625,0.0,0.1933208306946541,0.30801121275714005,0.06472729366568963
N0,123,1,0.8149779735682819,0.19047619047619047,0.19047619047619047,0.0,0.19968825094083748,0.308615893723076,0.09883659588834603
N0,123,2,0.8318206086492259,0.15873015873015872,0.15873015873015872,0.0,0.20343666301626415,0.320492236210385,0.03921938874323279
N0,123,3,0.7607361963190183,0.20634920634920634,0.20634920634920634,0.0,0.2563841768190308,0.41621462538426196,0.11719853150100575
N0,123,4,0.8125,0.19047619047619047,0.19047619047619047,0.0,0.21047125170534162,0.3232535394821307,0.09003615771795845
N0,155,0,0.861671469740634,0.140625,0.140625,0.0,0.19458613460808044,0.3178985289129542,0.06851836695047919
N0,155,1,0.8149779735682819,0.19047619047619047,0.19047619047619047,0.0,0.2529119307508533,0.4114512164506074,0.08443810398696158
N0,155,2,0.8392036753445635,0.15873015873015872,0.15873015873015872,0.0,0.1925226679379976,0.2975983074546092,0.05927995627478204
N0,155,3,0.9015112037519541,0.09523809523809523,0.09523809523809523,0.0,0.15643769205362193,0.27212519050926604,0.04694132151965271
N0,155,4,0.8007783994162004,0.20634920634920634,0.20634920634920634,0.0,0.2537741537969306,0.3853034471592686,0.1036841450008905
N1,42,0,0.8414414414414415,0.171875,0.171875,0.0,0.26296284136605996,0.44156195338714754,0.13715620862570466
N1,42,1,0.7741935483870968,0.2698412698412698,0.2698412698412698,0.0,0.37763914836065937,0.6079481064810459,0.06955475971944175
N1,42,2,0.8472356935014549,0.15873015873015872,0.15873015873015872,0.0,0.2642584612181754,0.4511680208718452,0.15615184160218962
N1,42,3,0.8428927680798005,0.15873015873015872,0.15873015873015872,0.0,0.3200634209531748,0.5287313194817022,0.22879147513466136
N1,42,4,0.7879739735247925,0.23809523809523808,0.23809523809523808,0.0,0.34079722929541884,0.5547915813217866,0.12107729026595314
N1,123,0,0.861671469740634,0.140625,0.140625,0.0,0.2612108709269133,0.442372678781335,0.14593308953576997
N1,123,1,0.8523206751054853,0.15873015873015872,0.15873015873015872,0.0,0.28273146405745075,0.46618542982851896,0.14141541934263552
N1,123,2,0.8610634648370498,0.14285714285714285,0.14285714285714285,0.0,0.2643270670889547,0.44850067352051753,0.15801114769667868
N1,123,3,0.8428927680798005,0.15873015873015872,0.15873015873015872,0.0,0.27640125592209247,0.4734112346386825,0.18488781973982332
N1,123,4,0.8332598147331275,0.19047619047619047,0.19047619047619047,0.0,0.3202746527499491,0.5306186555372014,0.15844965087052443
N1,155,0,0.8710327455919396,0.125,0.125,0.0,0.2200146149725564,0.39109339801165943,0.11707863553491636
