model_family,outer_fold,prediction_stage,records,positive_prevalence,mean_probability,std_probability,calibration_mean_bias,pr_auc,roc_auc,brier,nll,ece,evidence_status
cnn_bilstm,0,E1_EARLY_20PCT,5513,0.4375113368401959,0.5698488758941451,0.22801663020673046,0.13233753905394924,0.7539390272478383,0.7784890446188919,0.20596959163122525,0.5976243641332306,0.13233753905394932,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,1,E1_EARLY_20PCT,5514,0.44124047878128403,0.553134882427944,0.23251852111663412,0.11189440364665992,0.7643550983661795,0.7789105709082609,0.20050173430464677,0.582960038025388,0.11386104755517058,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,2,E1_EARLY_20PCT,5539,0.44502617801047123,0.5807560100844781,0.21727750800632747,0.13572983207400685,0.7689745874697229,0.7804258315176296,0.20750440415600363,0.598047805035199,0.13611574709108748,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,0,E2_EARLY_35PCT,5299,0.41460652953387434,0.5196606148723995,0.2706643273904469,0.10505408533852512,0.8052983360456454,0.8287159355395537,0.17311228903083592,0.5182809351100249,0.1050540853385251,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,1,E2_EARLY_35PCT,5302,0.41852131271218407,0.5052973262011521,0.2757148707414187,0.08677601348896802,0.8042411510571575,0.8203601514768585,0.1732713010829616,0.5161615294448494,0.08677601348896807,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,2,E2_EARLY_35PCT,5345,0.4248830682881197,0.5256610546162799,0.26109710133724984,0.10077798632816015,0.816340031232259,0.827443749897938,0.17362506304689326,0.5153538171277692,0.10185730829737365,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,0,L1_LATE_75PCT,4863,0.3621221468229488,0.4122458742723503,0.3525742768886632,0.05012372744940152,0.9082366163971363,0.9202652132986686,0.09684877381376425,0.3178027469122473,0.050934864309143915,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,1,L1_LATE_75PCT,4875,0.36738461538461537,0.40279759030540785,0.3548549860065099,0.035412974920792484,0.8941060488287867,0.9099357212637622,0.10408381552072145,0.33661375053220705,0.036190912809891576,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,2,L1_LATE_75PCT,4897,0.3722687359607923,0.42664041716650314,0.34814118956254264,0.05437168120571084,0.908205197999134,0.919699345206251,0.10083153540807396,0.32604005124795304,0.05639357076863113,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,0,M1_MIDDLE_FROZEN,5120,0.394140625,0.4616083872284798,0.3157328776665933,0.06746776222847978,0.8587966468879695,0.8756272528545476,0.1369516392492927,0.42416509506433026,0.06746776222847982,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,1,M1_MIDDLE_FROZEN,5109,0.3963593658250147,0.44665102643826904,0.3198825374709816,0.05029166061325435,0.8538961942673873,0.8694648604505932,0.13762250751932043,0.42520042297384625,0.05029166061325444,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
cnn_bilstm,2,M1_MIDDLE_FROZEN,5149,0.4029908720139833,0.4704667466659526,0.3093395448205708,0.0674758746519693,0.8645220105969945,0.8760144546958164,0.13748766219702474,0.42364100293729956,0.06747587465196932,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,0,E1_EARLY_20PCT,5513,0.4375113368401959,0.4387747928935049,0.2633178229094572,0.00126345605330902,0.7685531779103301,0.7859173711149723,0.1829756641495283,0.5432411557493682,0.018911078523145955,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,1,E1_EARLY_20PCT,5514,0.44124047878128403,0.4326586815728826,0.25937830040461296,-0.00858179720840141,0.773317053218063,0.7830686147266709,0.18373390229790745,0.5441411753177933,0.016938621722857216,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,2,E1_EARLY_20PCT,5539,0.44502617801047123,0.4354350151515653,0.25858343121205934,-0.009591162858905933,0.7815770496022896,0.7874076366462947,0.1820502464671683,0.5398629220214298,0.020040150039443417,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,0,E2_EARLY_35PCT,5299,0.41460652953387434,0.42421619591264026,0.29656335587254096,0.009609666378765924,0.8142776340318747,0.8322885201583428,0.15854974466121502,0.48075963121511917,0.015394740434693098,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,1,E2_EARLY_35PCT,5302,0.41852131271218407,0.4188889223927092,0.2976994781860978,0.0003676096805251272,0.8116788195606685,0.825413814026446,0.16157482063350773,0.4876517825479367,0.016960105609467115,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,2,E2_EARLY_35PCT,5345,0.4248830682881197,0.42043455967570337,0.29361169796423864,-0.0044485086124163575,0.8250561684697667,0.8335227746411931,0.15799092886760382,0.476433548688297,0.01749969389908009,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,0,L1_LATE_75PCT,4863,0.3621221468229488,0.36889573450592056,0.36899529679322807,0.00677358768297176,0.9092321463438519,0.9222871361042371,0.0929312195097442,0.30314652992799124,0.01499851907563348,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,1,L1_LATE_75PCT,4875,0.36738461538461537,0.36205284135943844,0.3698082713728689,-0.0053317740251769274,0.9001246888913629,0.9139422794908394,0.10044385372423636,0.3251209326102884,0.0131572512811638,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,2,L1_LATE_75PCT,4897,0.3722687359607923,0.3685221637375346,0.3677802631148188,-0.0037465722232576937,0.9100726749364837,0.9218678342340746,0.09560393208156359,0.3090824136373428,0.014007858098836442,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,0,M1_MIDDLE_FROZEN,5120,0.394140625,0.3992379418395234,0.33244439256864583,0.005097316839523358,0.8602157655286278,0.875476450181762,0.13065004251685003,0.4055674393488852,0.011706509989193087,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,1,M1_MIDDLE_FROZEN,5109,0.3963593658250147,0.3918545104897505,0.3332295894819348,-0.00450485533526418,0.8558213148411199,0.8709618741093017,0.13377085669869443,0.4135280701070512,0.01742323676617727,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
hist_gradient_boosting,2,M1_MIDDLE_FROZEN,5149,0.4029908720139833,0.3937837296660384,0.3301629458625651,-0.009207142347944897,0.86662502589127,0.8770590494704911,0.13073441348239467,0.40443068693267387,0.015407520379566896,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,0,E1_EARLY_20PCT,5513,0.4375113368401959,0.43936178912319956,0.2560735299391925,0.0018504522830036785,0.7716804104193548,0.7887259392599509,0.1819574546401664,0.5401239533226061,0.012788385987341283,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,1,E1_EARLY_20PCT,5514,0.44124047878128403,0.4343151206622899,0.25193624052469354,-0.0069253581189941404,0.7755416154465085,0.7853270639173338,0.18278491568069768,0.5412296822479704,0.019087917575768738,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,2,E1_EARLY_20PCT,5539,0.44502617801047123,0.43748325890945355,0.25102899997311634,-0.0075429191010176755,0.780682233563311,0.7883615245842577,0.18192292996988874,0.5390871064807652,0.019666186318683863,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,0,E2_EARLY_35PCT,5299,0.41460652953387434,0.4253993545671014,0.2884219556710748,0.010792825033227038,0.8155668134835735,0.8341080842025069,0.1579949392184741,0.47849524589569514,0.0235230390665795,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,1,E2_EARLY_35PCT,5302,0.41852131271218407,0.42044997545284496,0.28938318382676764,0.0019286627406608914,0.8136264629101636,0.8277663331909116,0.16052160217559147,0.4844895102148446,0.013166959631607725,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,2,E2_EARLY_35PCT,5345,0.4248830682881197,0.42131110212592265,0.2861989904912115,-0.003571966162197071,0.8254743509730508,0.8353382598100516,0.15777364955017106,0.47583167101535284,0.016965967851078474,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,0,L1_LATE_75PCT,4863,0.3621221468229488,0.37128685665315536,0.36532553585089816,0.009164709830206563,0.9107958093256271,0.9232679837631086,0.09192104265418446,0.3007102934757039,0.015444779119628774,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,1,L1_LATE_75PCT,4875,0.36738461538461537,0.3628845355960421,0.3657332412435406,-0.004500079788573252,0.900749298072301,0.9152432793742455,0.09986209446098131,0.32244113013772285,0.015011776252625841,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,2,L1_LATE_75PCT,4897,0.3722687359607923,0.36988568643885095,0.36359932192548733,-0.0023830495219413494,0.9114405569163699,0.9238609097732258,0.09516629599199715,0.307579267961555,0.016327693826243765,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,0,M1_MIDDLE_FROZEN,5120,0.394140625,0.39958843236054237,0.32806919978335564,0.005447807360542345,0.8623122738742814,0.8771875173726595,0.12957854687396259,0.40295204731708834,0.014218835512656364,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,1,M1_MIDDLE_FROZEN,5109,0.3963593658250147,0.3922945956060987,0.32811712511889923,-0.004064770218915992,0.8563656761923235,0.872021104545964,0.13327525462310494,0.4117650044107281,0.0133897301354306,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,2,M1_MIDDLE_FROZEN,5149,0.4029908720139833,0.3938344060823721,0.32528542953465456,-0.009156465931611235,0.8677206639553696,0.8786470279295451,0.1301572749931161,0.40301538332941833,0.020960536286499652,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
