model_family,outer_fold,prediction_stage,threshold,threshold_policy,threshold_source,outer_labels_used_for_threshold_selection,macro_f1,risk_precision,risk_recall,evidence_status
hist_gradient_boosting,2,M1_MIDDLE_FROZEN,0.3884772213370434,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.7961667285460875,0.7785825142265907,0.7253012048192771,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,0,E1_EARLY_20PCT,0.5171389579772949,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.7039751657018206,0.7482993197278912,0.5472636815920398,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,1,E1_EARLY_20PCT,0.524095892906189,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.702039369002438,0.7638724911452184,0.5318536785861077,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,2,E1_EARLY_20PCT,0.5146003365516663,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.7148807636398078,0.7632296781232951,0.5675456389452332,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,0,E2_EARLY_35PCT,0.446447342634201,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.7560225708921436,0.7456676860346585,0.6659080564406008,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,1,E2_EARLY_35PCT,0.4581621885299682,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.7511134480468149,0.7567711099309612,0.6421811626858945,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,2,E2_EARLY_35PCT,0.4587222635746002,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.7501464141128333,0.7601668404588112,0.6420079260237781,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,0,L1_LATE_75PCT,0.2810201942920685,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.8340364216915693,0.7577319587628866,0.8347529812606473,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,1,L1_LATE_75PCT,0.2649493813514709,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.8302240966216277,0.7601856627127386,0.8230039084310441,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,2,L1_LATE_75PCT,0.264488935470581,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.8318176713322377,0.7576961271102284,0.8370817334064728,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,0,M1_MIDDLE_FROZEN,0.3694896697998047,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.7933169787989389,0.7475393700787402,0.7527254707631318,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,1,M1_MIDDLE_FROZEN,0.3673458397388458,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.7860708096272517,0.749746192893401,0.7293827160493828,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
xgboost,2,M1_MIDDLE_FROZEN,0.3658668398857116,INNER_OOF_STAGE_THRESHOLD,pooled_inner_oof,False,0.7939426922278213,0.7647352647352648,0.7378313253012048,RECOMPUTED_FOR_AUDIT_FROM_FROZEN_PREDICTIONS
